,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
0,LMP Simmons,c & b Unadkat,3,8,0,0,37.5,1,,,,,,,,,,
1,PA Patel,c Thakur b Unadkat,4,6,0,0,66.66,1,,,,,,,,,,
2,AT Rayudu,run out (Smith),12,15,1,0,80,1,,,,,,,,,,
3,RG Sharma,c Thakur b Zampa,24,22,4,0,109.09,1,,,,,,,,,,
4,KH Pandya,c Rahane b Christian,47,38,3,2,123.68,1,4,0,31,0,7.75,8,3,1,0,0
5,KA Pollard,c Tiwary b Zampa,7,3,0,1,233.33,1,,,,,,,,,,
6,HH Pandya,lbw b Christian,10,9,0,1,111.11,1,,,,,,,,,,
7,KV Sharma,run out (Christian/Thakur),1,5,0,0,20,1,4,0,18,0,4.5,12,1,0,2,0
8,MG Johnson,not out,13,14,0,1,92.85,1,4,0,26,3,6.5,10,3,0,0,0
9,AM Rahane,c Pollard b Johnson,44,38,5,0,115.78,2,,,,,,,,,,
10,RA Tripathi,lbw b Bumrah,3,8,0,0,37.5,2,,,,,,,,,,
11,SPD Smith,c Rayudu b Johnson,51,50,2,2,102,2,,,,,,,,,,
12,MS Dhoni,c †Patel b Bumrah,10,13,1,0,76.92,2,,,,,,,,,,
13,MK Tiwary,c Pollard b Johnson,7,8,1,0,87.5,2,,,,,,,,,,
14,DT Christian,not out,4,2,0,0,200,2,4,0,34,2,8.5,10,2,2,2,0
15,Washington Sundar,run out (sub [Suchith]/†Patel),0,1,0,0,0,2,4,0,13,0,3.25,15,1,0,0,0
16,JJ Bumrah,DNB,0,0,0,0,0,1,4,0,26,2,6.5,8,0,1,0,0
17,SL Malinga,DNB,0,0,0,0,0,1,4,0,21,0,5.25,11,2,0,1,0
18,LH Ferguson,DNB,0,0,0,0,0,2,2,0,21,0,10.5,5,4,0,1,0
19,A Zampa,DNB,0,0,0,0,0,2,4,0,32,2,8,7,1,2,1,0
20,SN Thakur,DNB,0,0,0,0,0,2,2,0,7,0,3.5,6,0,0,1,0
21,JD Unadkat,DNB,0,0,0,0,0,2,4,0,19,2,4.75,11,0,1,0,0
0,SP Narine,c Chahal b Binny,34,17,6,1,200,1,,,,,,,,,,
1,G Gambhir,c †Jadhav b Mills,14,11,1,1,127.27,1,,,,,,,,,,
2,RV Uthappa,lbw b Badree,11,9,2,0,122.22,1,,,,,,,,,,
3,MK Pandey,c Badree b Chahal,15,16,1,0,93.75,1,,,,,,,,,,
4,YK Pathan,st †Jadhav b Chahal,8,8,0,0,100,1,,,,,,,,,,
5,SA Yadav,c Mills b Negi,15,19,1,0,78.94,1,,,,,,,,,,
6,C de Grandhomme,c Kohli b Chahal,0,2,0,0,0,1,1.4,0,4,3,2.4,7,0,0,0,0
7,CR Woakes,c Mandeep Singh b Mills,18,21,3,0,85.71,1,2,0,6,3,3,10,1,0,1,0
