,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
0,DA Warner,c Iqbal Abdulla b Aravind,69,38,8,3,181.57,1,,,,,,,,,,
1,S Dhawan,c Jordan b Chahal,28,25,3,1,112,1,,,,,,,,,,
2,MC Henriques,c Chahal b Jordan,4,5,0,0,80,1,3,0,40,0,13.33,5,2,4,0,0
3,Yuvraj Singh,c Watson b Jordan,38,23,4,2,165.21,1,,,,,,,,,,
4,DJ Hooda,c Kohli b Aravind,3,6,0,0,50,1,,,,,,,,,,
5,BCJ Cutting,not out,39,15,3,4,260,1,4,0,35,2,8.75,7,2,2,1,0
6,NV Ojha,run out (Watson),7,4,1,0,175,1,,,,,,,,,,
7,Bipul Sharma,c Chahal b Jordan,5,3,1,0,166.66,1,2,0,17,1,8.5,1,2,0,0,0
8,B Kumar,not out,1,1,0,0,100,1,4,0,25,0,6.25,13,4,0,1,0
9,CH Gayle,c Bipul Sharma b Cutting,76,38,4,8,200,2,3,0,24,0,8,8,2,1,2,0
10,V Kohli,b Sran,54,35,5,2,154.28,2,,,,,,,,,,
11,AB de Villiers,c Henriques b Bipul Sharma,5,6,0,0,83.33,2,,,,,,,,,,
12,KL Rahul,b Cutting,11,9,1,0,122.22,2,,,,,,,,,,
13,SR Watson,c Henriques b Mustafizur Rahman,11,9,0,1,122.22,2,4,0,61,0,15.25,7,4,6,2,0
14,Sachin Baby,not out,18,10,1,1,180,2,,,,,,,,,,
15,STR Binny,run out (Hooda/†Ojha),9,7,0,1,128.57,2,,,,,,,,,,
16,CJ Jordan,run out (†Ojha),3,4,0,0,75,2,4,0,45,3,11.25,9,6,1,2,0
17,Iqbal Abdulla,not out,4,2,1,0,200,2,1,0,10,0,10,1,0,1,0,0
18,BB Sran,DNB,0,0,0,0,0,1,3,0,41,1,13.66,6,1,4,2,0
19,Mustafizur Rahman,DNB,0,0,0,0,0,1,4,0,37,1,9.25,9,1,3,0,0
20,S Aravind,DNB,0,0,0,0,0,2,4,0,30,2,7.5,9,5,0,0,0
21,YS Chahal,DNB,0,0,0,0,0,2,4,0,35,1,8.75,5,3,1,0,0
0,RV Uthappa,c †Karthik b Kulkarni,14,10,3,0,140,1,,,,,,,,,,
1,G Gambhir,b Kumar,5,6,0,0,83.33,1,,,,,,,,,,
2,MK Pandey,c †Karthik b Kumar,0,2,0,0,0,1,,,,,,,,,,
3,SA Yadav,c Raina b Smith,4,12,0,0,33.33,1,,,,,,,,,,
4,Shakib Al Hasan,not out,66,49,4,4,134.69,1,3,0,38,1,12.66,6,5,2,0,0
5,YK Pathan,not out,63,41,7,1,153.65,1,,,,,,,,,,
6,DR Smith,b Shakib Al Hasan,27,18,4,1,150,2,2,0,14,1,7,6,2,0,1,0
7,BB McCullum,c Pandey b Chawla,29,24,3,2,120.83,2,,,,,,,,,,
8,SK Raina,c Hogg b Russell,14,18,1,0,77.77,2,,,,,,,,,,
