team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
RCB,KKR,RCB,bowl,"M.Chinnaswamy Stadium, Bengaluru",08:00 PM,Asad Rauf,Rudi Koertzen,Amiesh Saheba,Javagal Srinath,"['Zaheer Khan', 'Praveen Kumar', 'Balachandra Akhil', 'Jacques Kallis', 'Wasim Jaffer', 'Sunil Joshi', 'Ashley Noffke', 'Mark Boucher', 'Cameron White', 'Virat Kohli', 'Rahul Dravid']","['Murali Kartik', 'Ajit Agarkar', 'Wriddhiman Saha', 'Laxmi Shukla', 'Ishant Sharma', 'Ashok Dinda', 'Mohammad Hafeez', 'David Hussey', 'Ricky Ponting', 'Brendon McCullum', 'Sourav Ganguly']",KKR
KXIP,CSK,CSK,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",05:00 PM,Aleem Dar,GA Pratapkumar,Ian Howell,Gundappa Viswanath,"['Piyush Chawla', 'Pankaj Dharmani', 'Irfan Pathan', 'Simon Katich', 'Yuvraj Singh', 'Kumar Sangakkara', 'James Hopes', 'S Sreesanth', 'Wilkin Mota', 'Brett Lee', 'Karan Goel']","['S Badrinath', 'Suresh Raina', 'Muttiah Muralitharan', 'Manpreet Gony', 'Palani Amarnath', 'Joginder Sharma', 'Jacob Oram', 'MS Dhoni', 'Michael Hussey', 'Matthew Hayden', 'Parthiv Patel']",CSK
DC,RR,RR,bat,"Arun Jaitley Stadium, Delhi",08:30 PM,Mark Benson,Suresh Shastri,Russell Tiffin,Srinivas Venkataraghavan,"['Farveez Maharoof', 'Daniel Vettori', 'Dinesh Karthik', 'Shikhar Dhawan', 'Gautam Gambhir', 'Glenn McGrath', 'Brett Geeves', 'Mithun Manhas', 'Rajat Bhatia', 'Manoj Tiwary', 'Virender Sehwag']","['Siddharth Trivedi', 'Shane Warne', 'Dinesh Salunkhe', 'Mahesh Rawat', 'Darren Lehmann', 'Munaf Patel', 'Ravindra Jadeja', 'Mohammad Kaif', 'Shane Watson', 'Yusuf Pathan', 'Taruwar Kohli']",DC
KKR,DCG,DCG,bat,"Eden Gardens, Kolkata",04:00 PM,Billy Bowden,Krishna Hariharan,Asad Rauf,Farokh Engineer,"['Ishant Sharma', 'Murali Kartik', 'Ashok Dinda', 'Ajit Agarkar', 'David Hussey', 'Sourav Ganguly', 'Brendon McCullum', 'Wriddhiman Saha', 'Laxmi Shukla', 'Mohammad Hafeez', 'Ricky Ponting']","['Pragyan Ojha', 'Chaminda Vaas', 'Sanjay Bangar', 'Arjun Yadav', 'RP Singh', 'Scott Styris', 'Rohit Sharma', 'Andrew Symonds', 'VVS Laxman', 'Venugopal Rao', 'Adam Gilchrist']",KKR
MI,RCB,MI,bat,"Wankhede Stadium, Mumbai",08:00 PM,Steven Davies,Daryl Harper,Arani Jayaprakash,Javagal Srinath,"['Harbhajan Singh', 'Shaun Pollock', 'Abhishek Nayar', 'Dhawal Kulkarni', 'Ashish Nehra', 'Musavir Khote', 'Pinal Shah', 'Robin Uthappa', 'Dominic Thornely', 'Sanath Jayasuriya', 'Luke Ronchi']","['Sunil Joshi', 'Zaheer Khan', 'Praveen Kumar', 'Virat Kohli', 'Ross Taylor', 'Rahul Dravid', 'Vinay Kumar', 'Balachandra Akhil', 'Mark Boucher', 'Jacques Kallis', 'Shivnarine Chanderpaul']",RCB
RR,KXIP,KXIP,bat,"Sawai Mansingh Stadium, Jaipur",08:00 PM,Aleem Dar,Russell Tiffin,Ivaturi Shivram,Srinivas Venkataraghavan,"['Munaf Patel', 'Siddharth Trivedi', 'Shane Warne', 'Dinesh Salunkhe', 'Pankaj Singh', 'Ravindra Jadeja', 'Darren Lehmann', 'Yusuf Pathan', 'Shane Watson', 'Kamran Akmal', 'Mohammad Kaif']","['Wilkin Mota', 'Piyush Chawla', 'Brett Lee', 'S Sreesanth', 'Sunny Sohal', 'Irfan Pathan', 'Yuvraj Singh', 'Mahela Jayawardene', 'Kumar Sangakkara', 'James Hopes', 'Karan Goel']",RR
DCG,DC,DCG,bat,"Rajiv Gandhi International Stadium, Hyderabad",08:00 PM,Ian Howell,Amiesh Saheba,Mark Benson,Talat Ali,"['RP Singh', 'Rohit Sharma', 'Pragyan Ojha', 'Chaminda Vaas', 'Arjun Yadav', 'Sanjay Bangar', 'Shahid Afridi', 'Andrew Symonds', 'VVS Laxman', 'Venugopal Rao', 'Adam Gilchrist']","['Yo Mahesh', 'Mohammad Asif', 'Farveez Maharoof', 'Shoaib Malik', 'Gautam Gambhir', 'Glenn McGrath', 'Rajat Bhatia', 'Manoj Tiwary', 'Dinesh Karthik', 'Shikhar Dhawan', 'Virender Sehwag']",DC
CSK,MI,MI,bowl,"MA Chidambaram Stadium, Chennai",08:00 PM,Daryl Harper,GA Pratapkumar,Billy Bowden,Farokh Engineer,"['Muttiah Muralitharan', 'Palani Amarnath', 'Joginder Sharma', 'Manpreet Gony', 'S Badrinath', 'Jacob Oram', 'MS Dhoni', 'Suresh Raina', 'Michael Hussey', 'Matthew Hayden', 'Parthiv Patel']","['Vikrant Yeligati', 'Ashish Nehra', 'Harbhajan Singh', 'Musavir Khote', 'Abhishek Nayar', 'Shaun Pollock', 'Robin Uthappa', 'Luke Ronchi', 'Dwayne Bravo', 'Sanath Jayasuriya', 'Dhawal Kulkarni']",CSK
DCG,RR,RR,bowl,"Rajiv Gandhi International Stadium, Hyderabad",08:00 PM,Asad Rauf,Mark Benson,Suresh Shastri,Srinivas Venkataraghavan,"['Doddapaneni Kalyankrishna', 'Andrew Symonds', 'Pragyan Ojha', 'RP Singh', 'Chaminda Vaas', 'Sanjay Bangar', 'Arjun Yadav', 'Rohit Sharma', 'Shahid Afridi', 'VVS Laxman', 'Adam Gilchrist']","['Siddharth Trivedi', 'Pankaj Singh', 'Yusuf Pathan', 'Graeme Smith', 'Kamran Akmal', 'Munaf Patel', 'Dinesh Salunkhe', 'Shane Warne', 'Ravindra Jadeja', 'Mohammad Kaif', 'Shane Watson']",RR
KXIP,MI,MI,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali",08:00 PM,Aleem Dar,Amiesh Saheba,Rudi Koertzen,Farokh Engineer,"['Vikram Singh', 'Piyush Chawla', 'Brett Lee', 'Sunny Sohal', 'S Sreesanth', 'Mahela Jayawardene', 'Ramnaresh Sarwan', 'Yuvraj Singh', 'Kumar Sangakkara', 'Irfan Pathan', 'Karan Goel']","['Musavir Khote', 'Harbhajan Singh', 'Abhishek Nayar', 'Shaun Pollock', 'Dwayne Bravo', 'Robin Uthappa', 'Sanath Jayasuriya', 'Luke Ronchi', 'Ashish Nehra', 'Dhawal Kulkarni', 'Saurabh Tiwary']",KXIP
