team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
CSK,KKR,KKR,bat,"MA Chidambaram Stadium, Chennai",04:00 PM,Billy Bowden,Arani Jayaprakash,Steve Davis,Talat Ali,"['Muttiah Muralitharan', 'Manpreet Gony', 'Joginder Sharma', 'Jacob Oram', 'S Badrinath', 'Parthiv Patel', 'Palani Amarnath', 'Suresh Raina', 'Michael Hussey', 'MS Dhoni', 'Matthew Hayden']","['Ashok Dinda', 'Ishant Sharma', 'Laxmi Shukla', 'Mohammad Hafeez', 'David Hussey', 'Murali Kartik', 'Ajit Agarkar', 'Wriddhiman Saha', 'Ricky Ponting', 'Brendon McCullum', 'Sourav Ganguly']",CSK
RCB,RR,RR,bowl,"M.Chinnaswamy Stadium, Bengaluru",08:00 PM,Mark Benson,Ian Howell,GA Pratapkumar,Javagal Srinath,"['Vinay Kumar', 'Praveen Kumar', 'Mark Boucher', 'Virat Kohli', 'Anil Kumble', 'Zaheer Khan', 'Sunil Joshi', 'Jacques Kallis', 'Ross Taylor', 'Rahul Dravid', 'Shivnarine Chanderpaul']","['Munaf Patel', 'Siddharth Trivedi', 'Dinesh Salunkhe', 'Sohail Tanvir', 'Shane Warne', 'Ravindra Jadeja', 'Mohammad Kaif', 'Shane Watson', 'Yusuf Pathan', 'Mahesh Rawat', 'Graeme Smith']",RR
KXIP,DC,DC,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",04:00 PM,Rudi Koertzen,Ivaturi Shivram,Aleem Dar,Farokh Engineer,"['S Sreesanth', 'Piyush Chawla', 'Brett Lee', 'Irfan Pathan', 'Mahela Jayawardene', 'Simon Katich', 'Karan Goel', 'Vikram Singh', 'Tanmay Srivastava', 'Yuvraj Singh', 'Kumar Sangakkara']","['Mohammad Asif', 'Yo Mahesh', 'Rajat Bhatia', 'Glenn McGrath', 'Farveez Maharoof', 'Dinesh Karthik', 'Manoj Tiwary', 'Shoaib Malik', 'Shikhar Dhawan', 'Virender Sehwag', 'Gautam Gambhir']",KXIP
MI,DCG,DCG,bowl,"Dr DY Patil Sports Academy, Mumbai",08:00 PM,Asad Rauf,Suresh Shastri,Daryl Harper,Srinivas Venkataraghavan,"['Dhawal Kulkarni', 'Ashish Nehra', 'Dwayne Bravo', 'Siddharth Chitnis', 'Musavir Khote', 'Abhishek Nayar', 'Shaun Pollock', 'Robin Uthappa', 'Ajinkya Rahane', 'Sanath Jayasuriya', 'Luke Ronchi']","['Doddapaneni Kalyankrishna', 'Pragyan Ojha', 'RP Singh', 'Arjun Yadav', 'Sanjay Bangar', 'Andrew Symonds', 'VVS Laxman', 'Nuwan Zoysa', 'Shahid Afridi', 'Rohit Sharma', 'Adam Gilchrist']",DCG
RCB,CSK,CSK,bat,"M.Chinnaswamy Stadium, Bengaluru",08:00 PM,Billy Doctrove,Russell Tiffin,Krishna Hariharan,Javagal Srinath,"['Rahul Dravid', 'Virat Kohli', 'Jacques Kallis', 'Wasim Jaffer', 'Dale Steyn', 'Balachandra Akhil', 'Zaheer Khan', 'Praveen Kumar', 'Mark Boucher', 'Ross Taylor', 'Bharath Chipli']","['Joginder Sharma', 'S Badrinath', 'Manpreet Gony', 'Palani Amarnath', 'Albie Morkel', 'Jacob Oram', 'MS Dhoni', 'Suresh Raina', 'Michael Hussey', 'Matthew Hayden', 'Parthiv Patel']",CSK
KKR,MI,KKR,bat,"Eden Gardens, Kolkata",08:00 PM,Billy Bowden,Arani Jayaprakash,Mark Benson,Srinivas Venkataraghavan,"['Ashok Dinda', 'Murali Kartik', 'Ajit Agarkar', 'Mohammad Hafeez', 'Ishant Sharma', 'Laxmi Shukla', 'David Hussey', 'Debabrata Das', 'Ricky Ponting', 'Sourav Ganguly', 'Brendon McCullum']","['Dilhara Fernando', 'Dhawal Kulkarni', 'Abhishek Nayar', 'Dwayne Bravo', 'Sanath Jayasuriya', 'Ajinkya Rahane', 'Pinal Shah', 'Ashish Nehra', 'Shaun Pollock', 'Robin Uthappa', 'Manish Pandey']",MI
DC,RCB,RCB,bowl,"Arun Jaitley Stadium, Delhi",08:00 PM,Aleem Dar,Ivaturi Shivram,Ian Howell,Clive Lloyd,"['Mohammad Asif', 'Rajat Bhatia', 'Glenn McGrath', 'Yo Mahesh', 'Daniel Vettori', 'Manoj Tiwary', 'Dinesh Karthik', 'Shoaib Malik', 'Shikhar Dhawan', 'Virender Sehwag', 'Gautam Gambhir']","['Sunil Joshi', 'Dale Steyn', 'Zaheer Khan', 'Mark Boucher', 'Rahul Dravid', 'Jacques Kallis', 'Ross Taylor', 'Vinay Kumar', 'Virat Kohli', 'Wasim Jaffer', 'Praveen Kumar']",DC
RR,KKR,RR,bat,"Sawai Mansingh Stadium, Jaipur",04:00 PM,Rudi Koertzen,GA Pratapkumar,Asad Rauf,Farokh Engineer,"['Shane Watson', 'Munaf Patel', 'Siddharth Trivedi', 'Mahesh Rawat', 'Sohail Tanvir', 'Shane Warne', 'Ravindra Jadeja', 'Yusuf Pathan', 'Mohammad Kaif', 'Swapnil Asnodkar', 'Graeme Smith']","['Ishant Sharma', 'Laxmi Shukla', 'David Hussey', 'Salman Butt', 'Ashok Dinda', 'Umar Gul', 'Wriddhiman Saha', 'Debabrata Das', 'Brad Hodge', 'Ajit Agarkar', 'Sourav Ganguly']",RR
DCG,KXIP,KXIP,bowl,"Rajiv Gandhi International Stadium, Hyderabad",08:00 PM,Billy Doctrove,Russell Tiffin,Steve Davis,Talat Ali,"['Pragyan Ojha', 'Nuwan Zoysa', 'Sanjay Bangar', 'RP Singh', 'Doddapaneni Kalyankrishna', 'Venugopal Rao', 'Shahid Afridi', 'Rohit Sharma', 'Herschelle Gibbs', 'VVS Laxman', 'Adam Gilchrist']","['Vikram Singh', 'S Sreesanth', 'Piyush Chawla', 'Mahela Jayawardene', 'Yuvraj Singh', 'Shaun Marsh', 'Gagandeep Singh', 'Irfan Pathan', 'Karan Goel', 'Kumar Sangakkara', 'Ramnaresh Sarwan']",KXIP
CSK,DC,CSK,bat,"MA Chidambaram Stadium, Chennai",08:00 PM,Billy Bowden,Krishna Hariharan,Mark Benson,Srinivas Venkataraghavan,"['Muttiah Muralitharan', 'Manpreet Gony', 'Makhaya Ntini', 'Joginder Sharma', 'Suresh Raina', 'S Badrinath', 'Albie Morkel', 'MS Dhoni', 'Vidyut Sivaramakrishnan', 'Stephen Fleming', 'Parthiv Patel']","['Yo Mahesh', 'Dinesh Karthik', 'Shoaib Malik', 'AB de Villiers', 'Virender Sehwag', 'Gautam Gambhir', 'Mohammad Asif', 'Pradeep Sangwan', 'Glenn McGrath', 'Rajat Bhatia', 'Shikhar Dhawan']",DC
RCB,DCG,DCG,bowl,"M.Chinnaswamy Stadium, Bengaluru",04:00 PM,Billy Doctrove,Suresh Shastri,Shavir Tarapore,Talat Ali,"['Anil Kumble', 'Dale Steyn', 'Zaheer Khan', 'Rahul Dravid', 'Praveen Kumar', 'Mark Boucher', 'Misbah-ul-Haq', 'Jacques Kallis', 'Virat Kohli', 'Wasim Jaffer', 'Bharath Chipli']","['RP Singh', 'Sanjay Bangar', 'Shahid Afridi', 'VVS Laxman', 'Adam Gilchrist', 'Pragyan Ojha', 'Paidikalva Vijaykumar', 'Arjun Yadav', 'Scott Styris', 'Rohit Sharma', 'Herschelle Gibbs']",RCB
KXIP,KKR,KXIP,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",08:00 PM,Daryl Harper,Ivaturi Shivram,Steve Davis,Clive Lloyd,"['Vikram Singh', 'S Sreesanth', 'Piyush Chawla', 'Gagandeep Singh', 'Irfan Pathan', 'Karan Goel', 'Mahela Jayawardene', 'Yuvraj Singh', 'Kumar Sangakkara', 'James Hopes', 'Shaun Marsh']","['Ajit Agarkar', 'Wriddhiman Saha', 'Laxmi Shukla', 'David Hussey', 'Brad Hodge', 'Sourav Ganguly', 'Mohammad Hafeez', 'Ishant Sharma', 'Umar Gul', 'Debabrata Das', 'Ashok Dinda']",KXIP
MI,DC,DC,bowl,"Dr DY Patil Sports Academy, Mumbai",04:00 PM,Ian Howell,Rudi Koertzen,Billy Bowden,Javagal Srinath,"['Dhawal Kulkarni', 'Ashish Nehra', 'Rohan Raje', 'Saurabh Tiwary', 'Shaun Pollock', 'Abhishek Nayar', 'Dwayne Bravo', 'Robin Uthappa', 'Dominic Thornely', 'Sanath Jayasuriya', 'Yogesh Takawale']","['Yo Mahesh', 'Dinesh Karthik', 'Shoaib Malik', 'Shikhar Dhawan', 'Gautam Gambhir', 'Glenn McGrath', 'Mohammad Asif', 'Pradeep Sangwan', 'Rajat Bhatia', 'AB de Villiers', 'Virender Sehwag']",MI
RR,CSK,CSK,bat,"Sawai Mansingh Stadium, Jaipur",08:00 PM,Asad Rauf,Arani Jayaprakash,Aleem Dar,Farokh Engineer,"['Siddharth Trivedi', 'Ravindra Jadeja', 'Mohammad Kaif', 'Mahesh Rawat', 'Graeme Smith', 'Munaf Patel', 'Sohail Tanvir', 'Shane Warne', 'Shane Watson', 'Yusuf Pathan', 'Swapnil Asnodkar']","['Muttiah Muralitharan', 'Manpreet Gony', 'Albie Morkel', 'Makhaya Ntini', 'Joginder Sharma', 'MS Dhoni', 'S Badrinath', 'Suresh Raina', 'Vidyut Sivaramakrishnan', 'Stephen Fleming', 'Parthiv Patel']",RR
RCB,KXIP,KXIP,bowl,"M.Chinnaswamy Stadium, Bengaluru",08:00 PM,Steve Davis,Billy Doctrove,Suresh Shastri,Clive Lloyd,"['Anil Kumble', 'Zaheer Khan', 'Misbah-ul-Haq', 'Rahul Dravid', 'Dale Steyn', 'Devraj Patil', 'Praveen Kumar', 'Jacques Kallis', 'Cameron White', 'Virat Kohli', 'Wasim Jaffer']","['Uday Kaul', 'Piyush Chawla', 'Vikram Singh', 'S Sreesanth', 'Gagandeep Singh', 'Irfan Pathan', 'Mahela Jayawardene', 'Yuvraj Singh', 'Ramnaresh Sarwan', 'James Hopes', 'Shaun Marsh']",KXIP
CSK,DCG,DCG,bowl,"MA Chidambaram Stadium, Chennai",08:00 PM,Mark Benson,Russell Tiffin,Sundaram Ravi,Javagal Srinath,"['Makhaya Ntini', 'Joginder Sharma', 'Muttiah Muralitharan', 'Manpreet Gony', 'Albie Morkel', 'MS Dhoni', 'S Badrinath', 'Suresh Raina', 'Srikkanth Anirudha', 'Stephen Fleming', 'Parthiv Patel']","['Pragyan Ojha', 'Paidikalva Vijaykumar', 'RP Singh', 'Arjun Yadav', 'Shahid Afridi', 'Rohit Sharma', 'Scott Styris', 'Herschelle Gibbs', 'Sanjay Bangar', 'Venugopal Rao', 'Adam Gilchrist']",DCG
MI,RR,MI,bowl,"Dr DY Patil Sports Academy, Mumbai",08:00 PM,Daryl Harper,Rudi Koertzen,Billy Bowden,Talat Ali,"['Ashish Nehra', 'Shaun Pollock', 'Dominic Thornely', 'Sanath Jayasuriya', 'Dhawal Kulkarni', 'Rohan Raje', 'Saurabh Tiwary', 'Abhishek Nayar', 'Dwayne Bravo', 'Robin Uthappa', 'Yogesh Takawale']","['Mahesh Rawat', 'Sohail Tanvir', 'Ravindra Jadeja', 'Mohammad Kaif', 'Munaf Patel', 'Siddharth Trivedi', 'Shane Warne', 'Shane Watson', 'Yusuf Pathan', 'Swapnil Asnodkar', 'Graeme Smith']",MI
DC,CSK,CSK,bowl,"Arun Jaitley Stadium, Delhi",04:00 PM,Aleem Dar,Russell Tiffin,Krishna Hariharan,Clive Lloyd,"['Pradeep Sangwan', 'Glenn McGrath', 'Yo Mahesh', 'Manoj Tiwary', 'Mohammad Asif', 'Dinesh Karthik', 'Shoaib Malik', 'Shikhar Dhawan', 'AB de Villiers', 'Virender Sehwag', 'Gautam Gambhir']","['Lakshmipathy Balaji', 'Muttiah Muralitharan', 'S Badrinath', 'MS Dhoni', 'Stephen Fleming', 'Vidyut Sivaramakrishnan', 'Palani Amarnath', 'Manpreet Gony', 'Chamara Kapugedera', 'Albie Morkel', 'Suresh Raina']",CSK
KKR,RCB,KKR,bat,"Eden Gardens, Kolkata",08:00 PM,Asad Rauf,Ian Howell,Billy Doctrove,Farokh Engineer,"['Murali Kartik', 'Wriddhiman Saha', 'Ashok Dinda', 'Ishant Sharma', 'Umar Gul', 'Laxmi Shukla', 'Tatenda Taibu', 'David Hussey', 'Sourav Ganguly', 'Brad Hodge', 'Aakash Chopra']","['Zaheer Khan', 'Vinay Kumar', 'Praveen Kumar', 'Cameron White', 'Mark Boucher', 'Shivnarine Chanderpaul', 'Jagadeesh Arunkumar', 'Dale Steyn', 'Anil Kumble', 'Virat Kohli', 'Rahul Dravid']",KKR
RR,DCG,RR,bowl,"Sawai Mansingh Stadium, Jaipur",08:00 PM,Mark Benson,Amiesh Saheba,Steve Davis,Srinivas Venkataraghavan,"['Munaf Patel', 'Shane Warne', 'Niraj Patel', 'Shane Watson', 'Graeme Smith', 'Siddharth Trivedi', 'Sohail Tanvir', 'Mahesh Rawat', 'Ravindra Jadeja', 'Mohammad Kaif', 'Yusuf Pathan']","['Paidikalva Vijaykumar', 'RP Singh', 'Sanjay Bangar', 'Shahid Afridi', 'Pragyan Ojha', 'Venugopal Rao', 'Dwaraka Ravi Teja', 'Rohit Sharma', 'Scott Styris', 'Herschelle Gibbs', 'Adam Gilchrist']",RR
CSK,KXIP,KXIP,bowl,"MA Chidambaram Stadium, Chennai",08:00 PM,Arani Jayaprakash,Brian Jerling,Ivaturi Shivram,Javagal Srinath,"['Manpreet Gony', 'Chamara Kapugedera', 'Lakshmipathy Balaji', 'Muttiah Muralitharan', 'Palani Amarnath', 'Albie Morkel', 'MS Dhoni', 'S Badrinath', 'Suresh Raina', 'Stephen Fleming', 'Vidyut Sivaramakrishnan']","['Piyush Chawla', 'Irfan Pathan', 'Yuvraj Singh', 'Ramnaresh Sarwan', 'Karan Goel', 'James Hopes', 'Shaun Marsh', 'Uday Kaul', 'Vikram Singh', 'S Sreesanth', 'Mahela Jayawardene']",CSK
DCG,KKR,KKR,bat,"Rajiv Gandhi International Stadium, Hyderabad",04:00 PM,Ian Howell,Amiesh Saheba,Billy Bowden,Talat Ali,"['Pragyan Ojha', 'Paidikalva Vijaykumar', 'Sanjay Bangar', 'Scott Styris', 'Dwaraka Ravi Teja', 'Herschelle Gibbs', 'Adam Gilchrist', 'RP Singh', 'Chaminda Vaas', 'Venugopal Rao', 'Rohit Sharma']","['Ishant Sharma', 'Tatenda Taibu', 'Murali Kartik', 'Ashok Dinda', 'Umar Gul', 'Wriddhiman Saha', 'Laxmi Shukla', 'David Hussey', 'Sourav Ganguly', 'Aakash Chopra', 'Salman Butt']",KKR
RR,DC,RR,bowl,"Sawai Mansingh Stadium, Jaipur",08:00 PM,Steve Davis,Rudi Koertzen,MSS Ranawat,Farokh Engineer,"['Munaf Patel', 'Mahesh Rawat', 'Niraj Patel', 'Shane Warne', 'Ravindra Jadeja', 'Mohammad Kaif', 'Graeme Smith', 'Siddharth Trivedi', 'Dimitri Mascarenhas', 'Shane Watson', 'Yusuf Pathan']","['Pradeep Sangwan', 'Glenn McGrath', 'Yo Mahesh', 'Amit Mishra', 'Farveez Maharoof', 'Tillakaratne Dilshan', 'Dinesh Karthik', 'AB de Villiers', 'Shikhar Dhawan', 'Virender Sehwag', 'Gautam Gambhir']",RR
KXIP,RCB,RCB,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",08:00 PM,Billy Doctrove,Ivaturi Shivram,Jasbir Singh,Clive Lloyd,"['Vikram Singh', 'S Sreesanth', 'Uday Kaul', 'Irfan Pathan', 'James Hopes', 'Shaun Marsh', 'Piyush Chawla', 'Tanmay Srivastava', 'Mahela Jayawardene', 'Yuvraj Singh', 'Luke Pomersbach']","['Anil Kumble', 'Vinay Kumar', 'Mark Boucher', 'Dale Steyn', 'Zaheer Khan', 'Praveen Kumar', 'Rahul Dravid', 'Cameron White', 'Misbah-ul-Haq', 'Virat Kohli', 'Jagadeesh Arunkumar']",KXIP
KKR,DC,KKR,bat,"Eden Gardens, Kolkata",08:00 PM,Asad Rauf,Ian Howell,Arani Jayaprakash,Talat Ali,"['Shoaib Akhtar', 'Iqbal Abdulla', 'Laxmi Shukla', 'Tatenda Taibu', 'Ashok Dinda', 'Ishant Sharma', 'Wriddhiman Saha', 'David Hussey', 'Sourav Ganguly', 'Aakash Chopra', 'Salman Butt']","['Yo Mahesh', 'Tillakaratne Dilshan', 'Glenn McGrath', 'Pradeep Sangwan', 'Farveez Maharoof', 'Amit Mishra', 'Shikhar Dhawan', 'Manoj Tiwary', 'AB de Villiers', 'Virender Sehwag', 'Gautam Gambhir']",KKR
MI,CSK,MI,bowl,"Wankhede Stadium, Mumbai",08:00 PM,Billy Doctrove,Amiesh Saheba,Rudi Koertzen,Javagal Srinath,"['Ashish Nehra', 'Shaun Pollock', 'Abhishek Nayar', 'Dominic Thornely', 'Robin Uthappa', 'Sachin Tendulkar', 'Dhawal Kulkarni', 'Rohan Raje', 'Yogesh Takawale', 'Dwayne Bravo', 'Sanath Jayasuriya']","['Muttiah Muralitharan', 'Manpreet Gony', 'Joginder Sharma', 'Albie Morkel', 'Lakshmipathy Balaji', 'MS Dhoni', 'Chamara Kapugedera', 'S Badrinath', 'Suresh Raina', 'Stephen Fleming', 'Vidyut Sivaramakrishnan']",MI
DC,DCG,DCG,bowl,"Arun Jaitley Stadium, Delhi",08:00 PM,Brian Jerling,GA Pratapkumar,Asad Rauf,Clive Lloyd,"['Mohammad Asif', 'Rajat Bhatia', 'Amit Mishra', 'Manoj Tiwary', 'Tillakaratne Dilshan', 'Glenn McGrath', 'Dinesh Karthik', 'Farveez Maharoof', 'Shikhar Dhawan', 'Virender Sehwag', 'Gautam Gambhir']","['Pragyan Ojha', 'RP Singh', 'Dwaraka Ravi Teja', 'Rohit Sharma', 'Adam Gilchrist', 'Paidikalva Vijaykumar', 'Venugopal Rao', 'Scott Styris', 'Herschelle Gibbs', 'Shahid Afridi', 'Sarvesh Kumar']",DC
MI,KKR,MI,bowl,"Wankhede Stadium, Mumbai",08:00 PM,Billy Doctrove,Daryl Harper,Ivaturi Shivram,Farokh Engineer,"['Ashish Nehra', 'Rohan Raje', 'Yogesh Takawale', 'Rajesh Pawar', 'Shaun Pollock', 'Abhishek Nayar', 'Dwayne Bravo', 'Robin Uthappa', 'Sachin Tendulkar', 'Sanath Jayasuriya', 'Dominic Thornely']","['Ishant Sharma', 'Shoaib Akhtar', 'Ajit Agarkar', 'Ashok Dinda', 'Laxmi Shukla', 'Wriddhiman Saha', 'Mohammad Hafeez', 'David Hussey', 'Sourav Ganguly', 'Aakash Chopra', 'Salman Butt']",MI
RR,RCB,RCB,bowl,"Sawai Mansingh Stadium, Jaipur",04:00 PM,Billy Bowden,Suresh Shastri,Steve Davis,Talat Ali,"['Shane Watson', 'Swapnil Asnodkar', 'Munaf Patel', 'Siddharth Trivedi', 'Mahesh Rawat', 'Sohail Tanvir', 'Shane Warne', 'Ravindra Jadeja', 'Mohammad Kaif', 'Yusuf Pathan', 'Graeme Smith']","['Anil Kumble', 'Abdur Razzak', 'Zaheer Khan', 'Praveen Kumar', 'Devraj Patil', 'Rahul Dravid', 'Cameron White', 'Jacques Kallis', 'Misbah-ul-Haq', 'Virat Kohli', 'Jagadeesh Arunkumar']",RR
DC,KXIP,DC,bat,"Arun Jaitley Stadium, Delhi",08:00 PM,Arani Jayaprakash,Rudi Koertzen,Brian Jerling,Clive Lloyd,"['Rajat Bhatia', 'Amit Mishra', 'Pradeep Sangwan', 'Glenn McGrath', 'Dinesh Karthik', 'Shoaib Malik', 'Farveez Maharoof', 'Tillakaratne Dilshan', 'Shikhar Dhawan', 'Virender Sehwag', 'Gautam Gambhir']","['S Sreesanth', 'Ramesh Powar', 'Irfan Pathan', 'Mahela Jayawardene', 'Yuvraj Singh', 'James Hopes', 'Vikram Singh', 'Uday Kaul', 'Piyush Chawla', 'Luke Pomersbach', 'Shaun Marsh']",KXIP
KKR,CSK,KKR,bat,"Eden Gardens, Kolkata",04:00 PM,Asad Rauf,Krishna Hariharan,Amiesh Saheba,Farokh Engineer,"['Ishant Sharma', 'Ajit Agarkar', 'Wriddhiman Saha', 'Laxmi Shukla', 'Shoaib Akhtar', 'Ashok Dinda', 'David Hussey', 'Debabrata Das', 'Sourav Ganguly', 'Mohammad Hafeez', 'Salman Butt']","['Muttiah Muralitharan', 'Lakshmipathy Balaji', 'Albie Morkel', 'Stephen Fleming', 'Parthiv Patel', 'Makhaya Ntini', 'Manpreet Gony', 'MS Dhoni', 'S Badrinath', 'Suresh Raina', 'Vidyut Sivaramakrishnan']",CSK
