,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
0,MEK Hussey,c Mithun b Syed Mohammad,63,45,3,3,140,1,,,,,,,,,,
1,M Vijay,c Vettori b Aravind,95,52,4,6,182.69,1,,,,,,,,,,
2,MS Dhoni,c Kohli b Aravind,22,13,0,2,169.23,1,,,,,,,,,,
3,SK Raina,b Gayle,8,5,0,1,160,1,4,0,39,1,9.75,11,3,3,0,0
4,JA Morkel,c Kohli b Gayle,2,4,0,0,50,1,3,0,24,0,8,5,2,0,0,0
5,S Badrinath,not out,0,0,0,0,0,1,,,,,,,,,,
6,DJ Bravo,not out,6,1,0,1,600,1,2,0,15,1,7.5,4,0,1,0,0
7,MA Agarwal,b Ashwin,10,5,2,0,200,2,,,,,,,,,,
8,CH Gayle,c †Dhoni b Ashwin,0,3,0,0,0,2,4,0,34,2,8.5,11,0,4,0,0
9,V Kohli,lbw b Raina,35,32,1,1,109.37,2,,,,,,,,,,
10,AB de Villiers,lbw b Jakati,18,12,3,0,150,2,,,,,,,,,,
11,LA Pomersbach,c & b Jakati,2,3,0,0,66.66,2,,,,,,,,,,
12,SS Tiwary,not out,42,34,1,3,123.52,2,,,,,,,,,,
13,DL Vettori,c & b Ashwin,0,1,0,0,0,2,4,0,34,0,8.5,5,2,1,0,0
14,A Mithun,c Bollinger b Bravo,11,8,2,0,137.5,2,2,0,22,0,11,2,3,0,0,0
15,Z Khan,c Hussey b Bollinger,21,21,2,0,100,2,4,0,30,0,7.5,7,1,1,0,0
16,J Syed Mohammad,not out,2,2,0,0,100,2,3,0,39,1,13,3,1,3,0,0
17,WP Saha,DNB,0,0,0,0,0,1,,,,,,,,,,
18,R Ashwin,DNB,0,0,0,0,0,1,4,0,16,3,4,11,1,0,0,0
19,DE Bollinger,DNB,0,0,0,0,0,1,3,0,28,1,9.33,5,4,0,1,0
20,SB Jakati,DNB,0,0,0,0,0,1,4,0,21,2,5.25,9,1,0,0,1
21,S Aravind,DNB,0,0,0,0,0,2,3,0,39,2,13,5,0,4,2,0
0,AC Gilchrist,c Jhunjhunwala b Sharma,3,8,0,0,37.5,1,,,,,,,,,,
1,PC Valthaty,c Kumar b Sharma,23,22,4,0,104.54,1,2.1,0,17,0,7.84,3,2,0,0,0
2,SE Marsh,b Kumar,32,28,3,1,114.28,1,,,,,,,,,,
3,KD Karthik,c Jhunjhunwala b Marsh,30,27,3,0,111.11,1,,,,,,,,,,
4,DJ Hussey,c †Uthappa b Kumar,4,5,0,0,80,1,,,,,,,,,,
5,Mandeep Singh,c Yuvraj Singh b Parnell,6,11,0,0,54.54,1,,,,,,,,,,
6,SD Chitnis,c Jhunjhunwala b Parnell,9,9,1,0,100,1,,,,,,,,,,
7,RJ Harris,c Yuvraj Singh b Marsh,4,4,1,0,100,1,4,0,26,1,6.5,13,3,0,3,0
8,P Kumar,not out,3,5,0,0,60,1,4,1,17,1,4.25,16,3,0,0,0
9,SJ Srivastava,not out,1,1,0,0,100,1,3,0,20,2,6.66,12,4,0,1,1
10,JD Ryder,c Hussey b Bhatt,15,18,3,0,83.33,2,,,,,,,,,,
11,MK Pandey,b Kumar,28,30,3,0,93.33,2,,,,,,,,,,
12,RV Uthappa,c Srivastava b Harris,22,18,3,0,122.22,2,,,,,,,,,,
13,Yuvraj Singh,c & b Srivastava,35,15,5,2,233.33,2,2,0,17,0,8.5,3,0,1,0,0
14,CJ Ferguson,not out,6,14,0,0,42.85,2,,,,,,,,,,
15,AA Jhunjhunwala,c †Gilchrist b Srivastava,0,3,0,0,0,2,1,0,11,0,11,0,1,0,0,0
16,MR Marsh,not out,2,6,0,0,33.33,2,4,0,26,2,6.5,9,3,0,0,0
17,BA Bhatt,DNB,0,0,0,0,0,1,4,0,35,1,8.75,7,2,2,1,0
18,SB Wagh,DNB,0,0,0,0,0,2,2,0,18,0,9,6,4,0,0,0
19,R Sharma,DNB,0,0,0,0,0,2,4,0,17,2,4.25,13,2,0,0,0
20,WD Parnell,DNB,0,0,0,0,0,2,4,0,12,2,3,13,0,0,0,0
21,B Kumar,DNB,0,0,0,0,0,2,3,0,14,2,4.66,10,2,0,0,0
0,S Dhawan,c Ryder b Yuvraj Singh,24,17,1,2,141.17,1,,,,,,,,,,
1,DB Ravi Teja,b Marsh,30,27,4,0,111.11,1,,,,,,,,,,
2,KC Sangakkara,lbw b Sharma,12,13,1,0,92.3,1,,,,,,,,,,
3,JP Duminy,c Sharma b Marsh,30,30,1,0,100,1,2,0,22,0,11,6,2,2,0,0
4,DT Christian,lbw b Yuvraj Singh,10,11,1,0,90.9,1,3,0,21,2,7,10,4,0,1,0
5,B Chipli,not out,18,14,2,0,128.57,1,,,,,,,,,,
6,S Sohal,c †Uthappa b Marsh,0,1,0,0,0,1,,,,,,,,,,
7,A Mishra,c Kumar b Marsh,0,1,0,0,0,1,3.2,0,26,1,7.8,12,2,2,0,1
8,DW Steyn,c Ferguson b Parnell,11,6,1,0,183.33,1,4,0,30,0,7.5,12,4,1,1,0
9,I Sharma,not out,0,0,0,0,0,1,3,0,25,0,8.33,7,4,0,0,0
10,JD Ryder,b Ojha,35,20,5,2,175,2,,,,,,,,,,
11,MK Pandey,lbw b Mishra,49,42,6,2,116.66,2,,,,,,,,,,
12,SC Ganguly,not out,32,32,3,1,100,2,,,,,,,,,,
13,RV Uthappa,c †Sangakkara b Christian,1,3,0,0,33.33,2,,,,,,,,,,
14,Yuvraj Singh,b Christian,2,6,0,0,33.33,2,4,0,17,2,4.25,9,0,0,0,0
15,CJ Ferguson,not out,15,8,3,0,187.5,2,,,,,,,,,,
16,PP Ojha,DNB,0,0,0,0,0,1,3,0,13,1,4.33,9,1,0,0,0
17,MR Marsh,DNB,0,0,0,0,0,2,4,0,25,4,6.25,8,3,0,0,0
18,WD Parnell,DNB,0,0,0,0,0,2,4,0,38,1,9.5,5,3,1,1,0
19,SB Wagh,DNB,0,0,0,0,0,2,1,0,8,0,8,4,2,0,0,0
20,R Sharma,DNB,0,0,0,0,0,2,4,0,24,1,6,5,0,1,0,0
21,B Kumar,DNB,0,0,0,0,0,2,3,0,24,0,8,3,3,0,0,0
0,MEK Hussey,b Botha,46,30,8,0,153.33,1,,,,,,,,,,
1,M Vijay,run out (Botha),53,40,2,3,132.5,1,,,,,,,,,,
2,SK Raina,b Singh,43,27,6,0,159.25,1,0.3,0,0,2,0,3,0,0,0,0
3,MS Dhoni,not out,41,19,3,3,215.78,1,,,,,,,,,,
4,JA Morkel,not out,5,4,0,0,125,1,3,0,21,1,7,6,2,0,1,0
5,SR Watson,c Jakati b Ashwin,11,10,1,0,110,2,4,0,47,0,11.75,4,5,1,1,0
6,R Dravid,c †Dhoni b Bollinger,20,16,2,0,125,2,,,,,,,,,,
