team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
SRH,RR,RR,bowl,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",8:00 PM,Sundaram Ravi,Pashchim Pathak,Chettithody Shamshuddin,Manu Nayyar,"['Shikhar Dhawan', 'David Warner', 'Lokesh Rahul', 'Naman Ojha', 'Eoin Morgan', 'Ravi Bopara', 'Ashish Reddy', 'Karn Sharma', 'Praveen Kumar', 'Bhuvneshwar Kumar', 'Trent Boult']","['Ajinkya Rahane', 'Sanju Samson', 'Steven Smith', 'Karun Nair', 'Deepak Hooda', 'Stuart Binny', 'James Faulkner', 'Chris Morris', 'Tim Southee', 'Dhawal Kulkarni', 'Pravin Tambe']",RR
MI,CSK,MI,bat,"Wankhede Stadium, Mumbai",8:00 PM,Marais Erasmus,Anil Chaudhary,Krishnamachari Srinivasan,Chinmay Sharma,"['Lendl Simmons', 'Parthiv Patel', 'Ambati Rayudu', 'Rohit Sharma', 'Corey Anderson', 'Kieron Pollard', 'Harbhajan Singh', 'Jagadeesha Suchith', 'Vinay Kumar', 'Lasith Malinga', 'Pawan Suyal']","['Dwayne Smith', 'Brendon McCullum', 'Suresh Raina', 'Faf du Plessis', 'Ravindra Jadeja', 'MS Dhoni', 'Dwayne Bravo', 'Ravichandran Ashwin', 'Mohit Sharma', 'Ishwar Pandey', 'Ashish Nehra']",CSK
SRH,DC,DC,bat,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4:00 PM,Sundaram Ravi,Pashchim Pathak,Chettithody Shamshuddin,Manu Nayyar,"['David Warner', 'Shikhar Dhawan', 'Lokesh Rahul', 'Naman Ojha', 'Eoin Morgan', 'Ravi Bopara', 'Ashish Reddy', 'Karn Sharma', 'Praveen Kumar', 'Bhuvneshwar Kumar', 'Dale Steyn']","['Mayank Agarwal', 'Shreyas Iyer', 'Jean-Paul Duminy', 'Yuvraj Singh', 'Angelo Mathews', 'Kedar Jadhav', 'Manoj Tiwary', 'Nathan Coulter-Nile', 'Amit Mishra', 'Imran Tahir', 'Domnic Muthuswami']",DC
KXIP,KKR,KKR,bowl,"Maharashtra Cricket Association Stadium, Pune",8:00 PM,Simon Fry,Nandan,Chris Gaffaney,Graeme Labrooy,"['Murali Vijay', 'Virender Sehwag', 'Wriddhiman Saha', 'Glenn Maxwell', 'Gurkeerat Singh Mann', 'Thisara Perera', 'George Bailey', 'Axar Patel', 'Mitchell Johnson', 'Sandeep Sharma', 'Anureet Singh']","['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Yusuf Pathan', 'Suryakumar Yadav', 'Ryan ten Doeschate', 'Andre Russell', 'Piyush Chawla', 'Sunil Narine', 'Morne Morkel', 'Umesh Yadav']",KKR
RR,CSK,CSK,bat,"Sardar Patel Stadium, Ahmedabad",4:00 PM,Marais Erasmus,Anil Chaudhary,Krishnaraj Srinath,Chinmay Sharma,"['Ajinkya Rahane', 'Sanju Samson', 'Steven Smith', 'Shane Watson', 'Karun Nair', 'Stuart Binny', 'James Faulkner', 'Deepak Hooda', 'Chris Morris', 'Ankit Sharma', 'Pravin Tambe']","['Dwayne Smith', 'Brendon McCullum', 'Suresh Raina', 'Faf du Plessis', 'MS Dhoni', 'Dwayne Bravo', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Mohit Sharma', 'Ishwar Pandey', 'Ashish Nehra']",RR
RCB,MI,RCB,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Richard Illingworth,Vineet Kulkarni,Rajesh Deshpande,Javagal Srinath,"['Chris Gayle', 'Virat Kohli', 'Manvinder Bisla', 'Dinesh Karthik', 'AB de Villiers', 'Rilee Rossouw', 'David Wiese', 'Iqbal Abdulla', 'Abu Nechim', 'Varun Aaron', 'Yuzvendra Chahal']","['Lendl Simmons', 'Parthiv Patel', 'Unmukt Chand', 'Rohit Sharma', 'Ambati Rayudu', 'Kieron Pollard', 'Hardik Pandya', 'Harbhajan Singh', 'Jasprit Bumrah', 'Mitchell McClenaghan', 'Lasith Malinga']",MI
DC,KKR,KKR,bowl,"Arun Jaitley Stadium, Delhi",8:00 PM,Simon Fry,Chris Gaffaney,Nandan,Graeme Labrooy,"['Mayank Agarwal', 'Shreyas Iyer', 'Jean-Paul Duminy', 'Yuvraj Singh', 'Angelo Mathews', 'Kedar Jadhav', 'Manoj Tiwary', 'Nathan Coulter-Nile', 'Amit Mishra', 'Imran Tahir', 'Domnic Muthuswami']","['Robin Uthappa', 'Gautam Gambhir', 'Manish Pandey', 'Suryakumar Yadav', 'Yusuf Pathan', 'Ryan ten Doeschate', 'Andre Russell', 'Piyush Chawla', 'Sunil Narine', 'Morne Morkel', 'Umesh Yadav']",KKR
RR,KXIP,KXIP,bowl,"Sardar Patel Stadium, Ahmedabad",8:00 PM,Marais Erasmus,Sundaram Ravi,Anil Chaudhary,Chinmay Sharma,"['Ajinkya Rahane', 'Shane Watson', 'Steven Smith', 'Karun Nair', 'Sanju Samson', 'Stuart Binny', 'Deepak Hooda', 'James Faulkner', 'Chris Morris', 'Rahul Tewatia', 'Pravin Tambe']","['Murali Vijay', 'Virender Sehwag', 'Wriddhiman Saha', 'Glenn Maxwell', 'Shaun Marsh', 'David Miller', 'Mitchell Johnson', 'Axar Patel', 'Anureet Singh', 'Sandeep Sharma', 'Shivam Sharma']",KXIP
SRH,KKR,KKR,bowl,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4:00 PM,Richard Illingworth,Vineet Kulkarni,Rajesh Deshpande,Manu Nayyar,"['David Warner', 'Shikhar Dhawan', 'Lokesh Rahul', 'Naman Ojha', 'Ravi Bopara', 'Moises Henriques', 'Karn Sharma', 'Bipul Sharma', 'Praveen Kumar', 'Bhuvneshwar Kumar', 'Dale Steyn']","['Robin Uthappa', 'Gautam Gambhir', 'Manish Pandey', 'Suryakumar Yadav', 'Yusuf Pathan', 'Andre Russell', 'Johan Botha', 'Piyush Chawla', 'Sunil Narine', 'Morne Morkel', 'Umesh Yadav']",SRH
RCB,CSK,RCB,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Johanes Cloete,Chettithody Shamshuddin,Pashchim Pathak,Javagal Srinath,"['Manvinder Bisla', 'Rilee Rossouw', 'Virat Kohli', 'Dinesh Karthik', 'AB de Villiers', 'Sarfaraz Khan', 'David Wiese', 'Mitchell Starc', 'Harshal Patel', 'Yuzvendra Chahal', 'Iqbal Abdulla']","['Brendon McCullum', 'Dwayne Smith', 'Suresh Raina', 'Faf du Plessis', 'Dwayne Bravo', 'MS Dhoni', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Mohit Sharma', 'Ashish Nehra', 'Ishwar Pandey']",CSK
DC,MI,MI,bowl,"Arun Jaitley Stadium, Delhi",8:00 PM,Simon Fry,Nandan,Chris Gaffaney,Graeme Labrooy,"['Mayank Agarwal', 'Shreyas Iyer', 'Jean-Paul Duminy', 'Yuvraj Singh', 'Angelo Mathews', 'Kedar Jadhav', 'Nathan Coulter-Nile', 'Amit Mishra', 'Shahbaz Nadeem', 'Imran Tahir', 'Domnic Muthuswami']","['Lendl Simmons', 'Parthiv Patel', 'Unmukt Chand', 'Rohit Sharma', 'Kieron Pollard', 'Ambati Rayudu', 'Harbhajan Singh', 'Hardik Pandya', 'Jasprit Bumrah', 'Mitchell McClenaghan', 'Lasith Malinga']",DC
RR,RCB,RCB,bowl,"Sardar Patel Stadium, Ahmedabad",8:00 PM,Marais Erasmus,Sundaram Ravi,Anil Chaudhary,Chinmay Sharma,"['Ajinkya Rahane', 'Shane Watson', 'Steven Smith', 'Sanju Samson', 'Karun Nair', 'Deepak Hooda', 'Stuart Binny', 'James Faulkner', 'Chris Morris', 'Dhawal Kulkarni', 'Pravin Tambe']","['Chris Gayle', 'Mandeep Singh', 'Virat Kohli', 'Dinesh Karthik', 'AB de Villiers', 'Sarfaraz Khan', 'David Wiese', 'Harshal Patel', 'Mitchell Starc', 'Iqbal Abdulla', 'Yuzvendra Chahal']",RCB
MI,SRH,MI,bat,"Wankhede Stadium, Mumbai",4:00 PM,Kumar Dharmasena,Chris Gaffaney,Simon Fry,Roshan Mahanama,"['Lendl Simmons', 'Parthiv Patel', 'Unmukt Chand', 'Rohit Sharma', 'Kieron Pollard', 'Ambati Rayudu', 'Jagadeesha Suchith', 'Harbhajan Singh', 'Vinay Kumar', 'Mitchell McClenaghan', 'Lasith Malinga']","['Shikhar Dhawan', 'David Warner', 'Lokesh Rahul', 'Naman Ojha', 'Ravi Bopara', 'Hanuma Vihari', 'Karn Sharma', 'Bhuvneshwar Kumar', 'Praveen Kumar', 'Dale Steyn', 'Trent Boult']",MI
CSK,KXIP,CSK,bat,"MA Chidambaram Stadium, Chennai",8:00 PM,Chettithody Shamshuddin,Johanes Cloete,Pashchim Pathak,Javagal Srinath,"['Brendon McCullum', 'Dwayne Smith', 'Suresh Raina', 'Faf du Plessis', 'MS Dhoni', 'Ravindra Jadeja', 'Dwayne Bravo', 'Ravichandran Ashwin', 'Ashish Nehra', 'Mohit Sharma', 'Ishwar Pandey']","['Murali Vijay', 'Virender Sehwag', 'Shaun Marsh', 'George Bailey', 'David Miller', 'Wriddhiman Saha', 'Axar Patel', 'Mitchell Johnson', 'Karanveer Singh', 'Anureet Singh', 'Sandeep Sharma']",CSK
DC,RCB,RCB,bowl,"Arun Jaitley Stadium, Delhi",8:00 PM,Marais Erasmus,Sundaram Ravi,Anil Chaudhary,Graeme Labrooy,"['Shreyas Iyer', 'Mayank Agarwal', 'Jean-Paul Duminy', 'Yuvraj Singh', 'Angelo Mathews', 'Kedar Jadhav', 'Nathan Coulter-Nile', 'Amit Mishra', 'Shahbaz Nadeem', 'Imran Tahir', 'Domnic Muthuswami']","['Virat Kohli', 'Chris Gayle', 'AB de Villiers', 'Dinesh Karthik', 'Mandeep Singh', 'Sarfaraz Khan', 'David Wiese', 'Harshal Patel', 'Mitchell Starc', 'Iqbal Abdulla', 'Varun Aaron']",RCB
KXIP,SRH,KXIP,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM,Kumar Dharmasena,Chris Gaffaney,Simon Fry,Roshan Mahanama,"['Murali Vijay', 'Shaun Marsh', 'Manan Vohra', 'George Bailey', 'David Miller', 'Wriddhiman Saha', 'Axar Patel', 'Rishi Dhawan', 'Mitchell Johnson', 'Anureet Singh', 'Sandeep Sharma']","['Shikhar Dhawan', 'David Warner', 'Naman Ojha', 'Ravi Bopara', 'Hanuma Vihari', 'Moises Henriques', 'Ashish Reddy', 'Karn Sharma', 'Praveen Kumar', 'Bhuvneshwar Kumar', 'Trent Boult']",SRH
CSK,KKR,KKR,bowl,"MA Chidambaram Stadium, Chennai",8:00 PM,Vineet Kulkarni,Rajesh Deshpande,Richard Illingworth,Javagal Srinath,"['Brendon McCullum', 'Dwayne Smith', 'Suresh Raina', 'Faf du Plessis', 'MS Dhoni', 'Ravindra Jadeja', 'Dwayne Bravo', 'Ravichandran Ashwin', 'Mohit Sharma', 'Ashish Nehra', 'Ishwar Pandey']","['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Suryakumar Yadav', 'Ryan ten Doeschate', 'Yusuf Pathan', 'Andre Russell', 'Piyush Chawla', 'Pat Cummins', 'Brad Hogg', 'Umesh Yadav']",CSK
KKR,CSK,KKR,bowl,"Eden Gardens, Kolkata",8:00 PM,Marais Erasmus,Anil Chaudhary,Rajesh Deshpande,Rajendra Jadeja,"['Robin Uthappa', 'Gautam Gambhir', 'Manish Pandey', 'Suryakumar Yadav', 'Yusuf Pathan', 'Ryan ten Doeschate', 'Andre Russell', 'Pat Cummins', 'Piyush Chawla', 'Umesh Yadav', 'Brad Hogg']","['Dwayne Smith', 'Brendon McCullum', 'Suresh Raina', 'Faf du Plessis', 'MS Dhoni', 'Ravindra Jadeja', 'Dwayne Bravo', 'Ashish Nehra', 'Mohit Sharma', 'Pawan Negi', 'Ronit More']",KKR
DC,KXIP,DC,bowl,"Arun Jaitley Stadium, Delhi",4:00 PM,Richard Illingworth,Sundaram Ravi,Vineet Kulkarni,Ranjan Madugalle,"['Mayank Agarwal', 'Shreyas Iyer', 'Jean-Paul Duminy', 'Yuvraj Singh', 'Angelo Mathews', 'Kedar Jadhav', 'Saurabh Tiwary', 'Nathan Coulter-Nile', 'Amit Mishra', 'Zaheer Khan', 'Imran Tahir']","['Virender Sehwag', 'Manan Vohra', 'Shaun Marsh', 'George Bailey', 'David Miller', 'Thisara Perera', 'Wriddhiman Saha', 'Axar Patel', 'Shardul Thakur', 'Anureet Singh', 'Sandeep Sharma']",DC
MI,RR,RR,bowl,"Wankhede Stadium, Mumbai",8:00 PM,Kumar Dharmasena,Nandan,Chris Gaffaney,Roshan Mahanama,"['Lendl Simmons', 'Parthiv Patel', 'Unmukt Chand', 'Rohit Sharma', 'Kieron Pollard', 'Ambati Rayudu', 'Harbhajan Singh', 'Jagadeesha Suchith', 'Vinay Kumar', 'Mitchell McClenaghan', 'Lasith Malinga']","['Ajinkya Rahane', 'Shane Watson', 'Steven Smith', 'Karun Nair', 'Sanju Samson', 'Stuart Binny', 'Deepak Hooda', 'Tim Southee', 'Rusty Theron', 'Ankit Sharma', 'Dhawal Kulkarni']",MI
RCB,KKR,RCB,bowl,"M.Chinnaswamy Stadium, Bengaluru",4:00 PM,Johanes Cloete,Pashchim Pathak,Chettithody Shamshuddin,Javagal Srinath,"['Virat Kohli', 'Chris Gayle', 'AB de Villiers', 'Mandeep Singh', 'Dinesh Karthik', 'Sarfaraz Khan', 'David Wiese', 'Harshal Patel', 'Mitchell Starc', 'Varun Aaron', 'Yuzvendra Chahal']","['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Suryakumar Yadav', 'Yusuf Pathan', 'Ryan ten Doeschate', 'Andre Russell', 'Piyush Chawla', 'Pat Cummins', 'Umesh Yadav', 'Brad Hogg']",RCB
SRH,CSK,CSK,bowl,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Anil Chaudhary,Krishnamachari Srinivasan,Marais Erasmus,Rajendra Jadeja,"['David Warner', 'Shikhar Dhawan', 'Naman Ojha', 'Hanuma Vihari', 'Eoin Morgan', 'Moises Henriques', 'Ashish Reddy', 'Karn Sharma', 'Bhuvneshwar Kumar', 'Praveen Kumar', 'Trent Boult']","['Brendon McCullum', 'Dwayne Smith', 'Suresh Raina', 'Faf du Plessis', 'MS Dhoni', 'Ravindra Jadeja', 'Dwayne Bravo', 'Pawan Negi', 'Mohit Sharma', 'Ashish Nehra', 'Ronit More']",SRH
KXIP,MI,MI,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",4:00 PM,Richard Illingworth,Vineet Kulkarni,Sundaram Ravi,Ranjan Madugalle,"['Virender Sehwag', 'Murali Vijay', 'Wriddhiman Saha', 'George Bailey', 'David Miller', 'Glenn Maxwell', 'Axar Patel', 'Mitchell Johnson', 'Karanveer Singh', 'Anureet Singh', 'Sandeep Sharma']","['Lendl Simmons', 'Parthiv Patel', 'Unmukt Chand', 'Rohit Sharma', 'Ambati Rayudu', 'Kieron Pollard', 'Harbhajan Singh', 'Jagadeesha Suchith', 'Mitchell McClenaghan', 'Vinay Kumar', 'Lasith Malinga']",MI
RR,DC,DC,bowl,"Brabourne Stadium, Mumbai",8:00 PM,Kumar Dharmasena,Chris Gaffaney,Nandan,Roshan Mahanama,"['Shane Watson', 'Ajinkya Rahane', 'Sanju Samson', 'Steven Smith', 'Karun Nair', 'Deepak Hooda', 'Stuart Binny', 'James Faulkner', 'Rajat Bhatia', 'Tim Southee', 'Dhawal Kulkarni']","['Shreyas Iyer', 'Mayank Agarwal', 'Jean-Paul Duminy', 'Yuvraj Singh', 'Angelo Mathews', 'Kedar Jadhav', 'Saurabh Tiwary', 'Nathan Coulter-Nile', 'Amit Mishra', 'Zaheer Khan', 'Gurinder Sandhu']",RR
CSK,RCB,CSK,bat,"MA Chidambaram Stadium, Chennai",4:00 PM,Chettithody Shamshuddin,Krishnaraj Srinath,Johanes Cloete,Javagal Srinath,"['Dwayne Smith', 'Brendon McCullum', 'Suresh Raina', 'Faf du Plessis', 'MS Dhoni', 'Dwayne Bravo', 'Ravindra Jadeja', 'Pawan Negi', 'Mohit Sharma', 'Ashish Nehra', 'Ishwar Pandey']","['Nic Maddinson', 'Virat Kohli', 'AB de Villiers', 'Mandeep Singh', 'Dinesh Karthik', 'Sarfaraz Khan', 'David Wiese', 'Harshal Patel', 'Mitchell Starc', 'Iqbal Abdulla', 'Yuzvendra Chahal']",CSK
KKR,SRH,SRH,bowl,"Eden Gardens, Kolkata",8:00 PM,Marais Erasmus,Anil Chaudhary,Krishnamachari Srinivasan,Rajendra Jadeja,"['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Ryan ten Doeschate', 'Yusuf Pathan', 'Suryakumar Yadav', 'Andre Russell', 'Piyush Chawla', 'Johan Botha', 'Brad Hogg', 'Umesh Yadav']","['Shikhar Dhawan', 'David Warner', 'Moises Henriques', 'Naman Ojha', 'Eoin Morgan', 'Hanuma Vihari', 'Bipul Sharma', 'Karn Sharma', 'Bhuvneshwar Kumar', 'Dale Steyn', 'Praveen Kumar']",KKR
MI,DC,DC,bat,"Wankhede Stadium, Mumbai",8:00 PM,Kumar Dharmasena,Chris Gaffaney,Nandan,Roshan Mahanama,"['Lendl Simmons', 'Parthiv Patel', 'Rohit Sharma', 'Kieron Pollard', 'Ambati Rayudu', 'Hardik Pandya', 'Harbhajan Singh', 'Jagadeesha Suchith', 'Vinay Kumar', 'Mitchell McClenaghan', 'Lasith Malinga']","['Mayank Agarwal', 'Shreyas Iyer', 'Jean-Paul Duminy', 'Yuvraj Singh', 'Angelo Mathews', 'Kedar Jadhav', 'Saurabh Tiwary', 'Nathan Coulter-Nile', 'Amit Mishra', 'Zaheer Khan', 'Imran Tahir']",MI
RCB,KXIP,KXIP,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Richard Illingworth,Vineet Kulkarni,Sundaram Ravi,Ranjan Madugalle,"['Chris Gayle', 'Virat Kohli', 'AB de Villiers', 'Mandeep Singh', 'Dinesh Karthik', 'Sarfaraz Khan', 'David Wiese', 'Harshal Patel', 'Mitchell Starc', 'Sreenath Aravind', 'Yuzvendra Chahal']","['Murali Vijay', 'Manan Vohra', 'Glenn Maxwell', 'David Miller', 'George Bailey', 'Wriddhiman Saha', 'Axar Patel', 'Mitchell Johnson', 'Karanveer Singh', 'Anureet Singh', 'Sandeep Sharma']",RCB
RR,SRH,RR,bowl,"Brabourne Stadium, Mumbai",4:00 PM,Johanes Cloete,Chettithody Shamshuddin,Kumar Dharmasena,Javagal Srinath,"['Ajinkya Rahane', 'Shane Watson', 'Karun Nair', 'Steven Smith', 'Sanju Samson', 'Deepak Hooda', 'James Faulkner', 'Stuart Binny', 'Dhawal Kulkarni', 'Chris Morris', 'Pravin Tambe']","['David Warner', 'Shikhar Dhawan', 'Naman Ojha', 'Moises Henriques', 'Eoin Morgan', 'Ravi Bopara', 'Hanuma Vihari', 'Karn Sharma', 'Bhuvneshwar Kumar', 'Praveen Kumar', 'Ishant Sharma']",SRH
KKR,DC,KKR,bat,"Eden Gardens, Kolkata",8:00 PM,Marais Erasmus,Anil Chaudhary,Krishnamachari Srinivasan,Roshan Mahanama,"['Robin Uthappa', 'Gautam Gambhir', 'Manish Pandey', 'Andre Russell', 'Yusuf Pathan', 'Johan Botha', 'Suryakumar Yadav', 'Piyush Chawla', 'Sunil Narine', 'Umesh Yadav', 'Brad Hogg']","['Manoj Tiwary', 'Shreyas Iyer', 'Jean-Paul Duminy', 'Yuvraj Singh', 'Saurabh Tiwary', 'Kedar Jadhav', 'Angelo Mathews', 'Albie Morkel', 'Zaheer Khan', 'Amit Mishra', 'Imran Tahir']",KKR
CSK,MI,CSK,bat,"MA Chidambaram Stadium, Chennai",8:00 PM,Chris Gaffaney,Nandan,Krishnaraj Srinath,Rajendra Jadeja,"['Dwayne Smith', 'Brendon McCullum', 'Suresh Raina', 'Faf du Plessis', 'MS Dhoni', 'Dwayne Bravo', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Pawan Negi', 'Mohit Sharma', 'Ashish Nehra']","['Lendl Simmons', 'Parthiv Patel', 'Rohit Sharma', 'Ambati Rayudu', 'Kieron Pollard', 'Hardik Pandya', 'Harbhajan Singh', 'Jagadeesha Suchith', 'Vinay Kumar', 'Mitchell McClenaghan', 'Marchant de Lange']",MI
