team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
KKR,MI,KKR,bowl,"Eden Gardens, Kolkata",8:00 PM,Sundaram Ravi,Chettithody Shamshuddin,Pashchim Pathak,Javagal Srinath,"['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Suryakumar Yadav', 'Yusuf Pathan', 'Shakib Al Hasan', 'Andre Russell', 'Piyush Chawla', 'Sunil Narine', 'Umesh Yadav', 'Morne Morkel']","['Rohit Sharma', 'Aaron Finch', 'Ambati Rayudu', 'Aditya Tare', 'Corey Anderson', 'Kieron Pollard', 'Harbhajan Singh', 'Lasith Malinga', 'Vinay Kumar', 'Jasprit Bumrah', 'Pragyan Ojha']",KKR
CSK,DC,DC,bowl,"MA Chidambaram Stadium, Chennai",8:00 PM,Richard Illingworth,Vineet Kulkarni,Rajesh Deshpande,Manu Nayyar,"['Brendon McCullum', 'Dwayne Smith', 'Suresh Raina', 'Faf du Plessis', 'Dwayne Bravo', 'Ravindra Jadeja', 'MS Dhoni', 'Ravichandran Ashwin', 'Mohit Sharma', 'Ishwar Pandey', 'Ashish Nehra']","['Mayank Agarwal', 'CM Gautam', 'Shreyas Iyer', 'Jean-Paul Duminy', 'Yuvraj Singh', 'Albie Morkel', 'Kedar Jadhav', 'Nathan Coulter-Nile', 'Amit Mishra', 'Domnic Muthuswami', 'Imran Tahir']",CSK
KXIP,RR,KXIP,bowl,"Maharashtra Cricket Association Stadium, Pune",8:00 PM,Simon Fry,Chris Gaffaney,Krishnaraj Srinath,Graeme Labrooy,"['Virender Sehwag', 'Murali Vijay', 'Glenn Maxwell', 'David Miller', 'George Bailey', 'Wriddhiman Saha', 'Mitchell Johnson', 'Axar Patel', 'Anureet Singh', 'Sandeep Sharma', 'Karanveer Singh']","['Ajinkya Rahane', 'Sanju Samson', 'Steven Smith', 'Karun Nair', 'Deepak Hooda', 'Stuart Binny', 'James Faulkner', 'Chris Morris', 'Tim Southee', 'Dhawal Kulkarni', 'Pravin Tambe']",RR
CSK,SRH,CSK,bat,"MA Chidambaram Stadium, Chennai",4:00 PM,Richard Illingworth,Vineet Kulkarni,Rajesh Deshpande,Manu Nayyar,"['Brendon McCullum', 'Dwayne Smith', 'Suresh Raina', 'Faf du Plessis', 'Dwayne Bravo', 'MS Dhoni', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Mohit Sharma', 'Ishwar Pandey', 'Ashish Nehra']","['David Warner', 'Shikhar Dhawan', 'Lokesh Rahul', 'Naman Ojha', 'Kane Williamson', 'Ravi Bopara', 'Parvez Rasool', 'Karn Sharma', 'Bhuvneshwar Kumar', 'Ishant Sharma', 'Trent Boult']",CSK
KKR,RCB,RCB,bowl,"Eden Gardens, Kolkata",8:00 PM,Sundaram Ravi,Chettithody Shamshuddin,Pashchim Pathak,Javagal Srinath,"['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Suryakumar Yadav', 'Yusuf Pathan', 'Shakib Al Hasan', 'Andre Russell', 'Piyush Chawla', 'Sunil Narine', 'Morne Morkel', 'KC Cariappa']","['Chris Gayle', 'Mandeep Singh', 'Virat Kohli', 'Dinesh Karthik', 'AB de Villiers', 'Daren Sammy', 'Sean Abbott', 'Harshal Patel', 'Yuzvendra Chahal', 'Varun Aaron', 'Abu Nechim']",RCB
DC,RR,RR,bowl,"Arun Jaitley Stadium, Delhi",4:00 PM,Simon Fry,Chris Gaffaney,Nandan,Graeme Labrooy,"['Mayank Agarwal', 'Shreyas Iyer', 'Jean-Paul Duminy', 'Yuvraj Singh', 'Manoj Tiwary', 'Angelo Mathews', 'Kedar Jadhav', 'Nathan Coulter-Nile', 'Amit Mishra', 'Imran Tahir', 'Jaydev Unadkat']","['Ajinkya Rahane', 'Sanju Samson', 'Steven Smith', 'Karun Nair', 'Deepak Hooda', 'Stuart Binny', 'James Faulkner', 'Chris Morris', 'Tim Southee', 'Dhawal Kulkarni', 'Pravin Tambe']",RR
MI,KXIP,MI,bowl,"Wankhede Stadium, Mumbai",8:00 PM,Anil Chaudhary,Krishnamachari Srinivasan,Krishnaraj Srinath,Chinmay Sharma,"['Rohit Sharma', 'Aaron Finch', 'Aditya Tare', 'Ambati Rayudu', 'Corey Anderson', 'Kieron Pollard', 'Harbhajan Singh', 'Lasith Malinga', 'Vinay Kumar', 'Pawan Suyal', 'Jagadeesha Suchith']","['Virender Sehwag', 'Murali Vijay', 'Wriddhiman Saha', 'Glenn Maxwell', 'David Miller', 'George Bailey', 'Axar Patel', 'Mitchell Johnson', 'Rishi Dhawan', 'Anureet Singh', 'Sandeep Sharma']",KXIP
RCB,SRH,SRH,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Richard Illingworth,Rajesh Deshpande,Vineet Kulkarni,Manu Nayyar,"['Chris Gayle', 'Mandeep Singh', 'Virat Kohli', 'Dinesh Karthik', 'AB de Villiers', 'Daren Sammy', 'Sean Abbott', 'Harshal Patel', 'Yuzvendra Chahal', 'Abu Nechim', 'Varun Aaron']","['Shikhar Dhawan', 'David Warner', 'Kane Williamson', 'Lokesh Rahul', 'Naman Ojha', 'Ravi Bopara', 'Ashish Reddy', 'Karn Sharma', 'Praveen Kumar', 'Bhuvneshwar Kumar', 'Trent Boult']",SRH
RR,MI,MI,bat,"Sardar Patel Stadium, Ahmedabad",8:00 PM,Simon Fry,Anil Chaudhary,Krishnamachari Srinivasan,Chinmay Sharma,"['Ajinkya Rahane', 'Sanju Samson', 'Steven Smith', 'Karun Nair', 'Stuart Binny', 'Deepak Hooda', 'James Faulkner', 'Chris Morris', 'Tim Southee', 'Dhawal Kulkarni', 'Pravin Tambe']","['Rohit Sharma', 'Aaron Finch', 'Parthiv Patel', 'Unmukt Chand', 'Corey Anderson', 'Kieron Pollard', 'Jagadeesha Suchith', 'Vinay Kumar', 'Shreyas Gopal', 'Lasith Malinga', 'Pawan Suyal']",RR
KXIP,DC,KXIP,bat,"Maharashtra Cricket Association Stadium, Pune",8:00 PM,Chris Gaffaney,Krishnaraj Srinath,Nandan,Graeme Labrooy,"['Virender Sehwag', 'Murali Vijay', 'Wriddhiman Saha', 'Glenn Maxwell', 'David Miller', 'George Bailey', 'Axar Patel', 'Mitchell Johnson', 'Rishi Dhawan', 'Anureet Singh', 'Sandeep Sharma']","['Mayank Agarwal', 'Shreyas Iyer', 'Jean-Paul Duminy', 'Yuvraj Singh', 'Manoj Tiwary', 'Angelo Mathews', 'Kedar Jadhav', 'Nathan Coulter-Nile', 'Amit Mishra', 'Imran Tahir', 'Domnic Muthuswami']",DC
