Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb,50,100,0,4_haul,5_haul,BSR,BWA,hard_hit,bat_consistency,pca_bat,Bowl_index,bowl_consistency,bowl_pca
MEK Hussey,0,212.0,197.0,20.0,7.0,107.07070707070707,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3082887376628571,0.3217870289602139,0.6715710569897757,-1.143114307046249,0.9457183191149982,-0.6951343136950905
M Vijay,0,335.0,262.0,39.0,10.0,127.3764258555133,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.8462211701765829,0.7012309323625027,1.504043639041413,-1.143114307046249,0.9435477514251085,-0.6951343136950905
SK Raina,0,441.0,324.0,36.0,19.0,135.69230769230768,23.0,14.0,0.0,105.0,2.0,7.0,22.0,5.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,28.0,35.0,0.6622617373063049,0.8357828369628418,2.130406351938963,1.0301614193764246,-1.143001124556682,1.321564899388864
MS Dhoni,0,307.0,258.0,20.0,7.0,118.53281853281854,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.03760042940843241,0.48048523512889074,1.2117690336473346,-1.143114307046249,0.944402434787967,-0.6951343136950905
MS Bisla,0,213.0,160.0,16.0,10.0,132.29813664596273,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5789024290778624,0.7772321862139184,0.7629715050573669,-1.143114307046249,0.9431212161329111,-0.6951343136950905
G Gambhir,0,590.0,411.0,64.0,17.0,143.20388349514565,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9570442508494897,0.9963326031752355,3.101750688015367,-1.143114307046249,0.9422798159203954,-0.6951343136950905
JH Kallis,0,409.0,384.0,34.0,10.0,106.23376623376623,26.0,54.0,0.0,403.0,15.0,7.327272727272727,118.0,46.0,6.0,10.0,2.0,2.0,0.0,1.0,0.0,0.0,20.25,25.1875,0.07051356161057173,0.28166410654705815,1.8002029017809809,0.4950628326450497,0.20314003267001937,-0.7465846735905417
LR Shukla,0,75.0,57.0,4.0,5.0,129.31034482758622,16.0,2.0,0.0,12.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,6.0,0.5108558247662242,0.683231784082607,-0.07059232280279873,-0.6463655695782093,-1.2411418891793808,-0.2766861525728353
YK Pathan,0,194.0,169.0,10.0,7.0,114.11764705882352,26.0,22.0,0.0,182.0,3.0,7.913043478260869,48.0,13.0,9.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,33.0,45.5,-0.08334096407031874,0.38678036627485585,0.5448515130245055,1.5397338334910577,-0.8949325867396536,1.5446974017488848
Shakib Al Hasan,0,91.0,74.0,6.0,3.0,121.33333333333334,12.0,30.0,0.0,195.0,12.0,6.290322580645161,72.0,11.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,13.846153846153847,15.0,0.13205537188292796,0.5424016198325208,-0.015636462506786984,-0.05223928804075249,-0.5266019440862659,-0.7203673064328675
MK Tiwary,0,260.0,246.0,21.0,3.0,105.26315789473684,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.11386271207988817,0.24065672132668314,0.9011877266179573,-1.143114307046249,0.945951744267094,-0.6951343136950905
DJ Bravo,0,338.0,250.0,17.0,18.0,134.6613545816733,24.0,57.4,0.0,462.0,15.0,7.910958904109589,119.0,42.0,13.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,21.525,28.875,0.34144463870600444,0.7761176953084097,1.4772220083931922,0.6672541439641998,0.29934654760041796,-0.5729034880373447
RA Jadeja,0,190.0,149.0,13.0,9.0,126.66666666666666,24.0,35.0,0.0,273.0,12.0,7.583333333333333,69.0,17.0,11.0,6.0,0.0,0.0,0.0,5.0,0.0,1.0,16.153846153846153,21.0,0.4192504864872571,0.6302067503378879,0.594879198904271,0.2458317822123443,-0.325473954681169,-0.36716421896933893
JA Morkel,0,107.0,68.0,5.0,6.0,155.07246376811594,19.0,49.3,0.0,385.0,13.0,7.654075546719683,125.0,44.0,9.0,17.0,1.0,0.0,0.0,4.0,0.0,0.0,21.128571428571426,27.5,0.5566046717328056,1.1397555171805167,0.20724300133883858,0.6042815570997034,0.035513034867105664,-0.6607615610023961
R Ashwin,0,18.0,15.0,2.0,0.0,112.5,24.0,65.1,0.0,431.0,14.0,6.520423600605144,148.0,25.0,13.0,6.0,1.0,0.0,0.0,15.0,0.0,0.0,26.04,28.733333333333334,0.18590445587123972,0.2982674532734073,-0.4719893666965294,0.7598604661791785,0.5590563188915093,-0.7767713621319869
BW Hilfenhaus,0,0.0,0.0,0.0,0.0,0.0,12.0,34.0,2.0,233.0,14.0,6.6571428571428575,109.0,23.0,9.0,9.0,2.0,0.0,0.0,9.0,0.0,0.0,13.6,15.533333333333333,-1.1603226438365528,-1.7153536975824042,-1.0034189764218926,-0.031934690733812644,1.267794310209623,-1.1918864598117496
SB Jakati,0,7.0,12.0,0.0,0.0,53.84615384615385,20.0,41.0,0.0,336.0,9.0,8.0,77.0,27.0,13.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,24.6,33.6,-1.1603226438365528,-0.8102434774900494,-0.7622058392303284,0.9121835942277652,-0.23650677645060125,0.3496914297417619
S Badrinath,0,149.0,142.0,17.0,1.0,104.19580419580419,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.19531863139367195,0.22618686087750808,0.2763251302288954,-1.143114307046249,0.9460933482481642,-0.6951343136950905
R Bhatia,0,35.0,28.0,4.0,0.0,120.6896551724138,26.0,53.1,0.0,389.0,13.0,7.190388170055453,89.0,21.0,13.0,3.0,1.0,0.0,0.0,11.0,0.0,0.0,22.75714285714286,27.785714285714285,0.32516932825480444,0.4783641163929846,-0.3408209812533747,0.6493179878988731,0.1636481342793967,-0.17894420031075153
Iqbal Abdulla,0,2.0,3.0,0.0,0.0,50.0,12.0,22.0,0.0,144.0,4.0,6.260869565217392,49.0,9.0,4.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,26.4,28.8,-1.1603226438365528,-0.8359389588252322,-0.8034448282025171,0.7650487779668512,-0.8447414141345923,0.6618298271391437
SP Narine,0,9.0,7.0,2.0,0.0,112.5,24.0,59.1,1.0,324.0,24.0,5.391014975041597,169.0,17.0,10.0,2.0,0.0,0.0,0.0,14.0,1.0,1.0,14.184000000000001,12.96,1.5321315555790322,0.41160287987680266,-0.5200083250421117,-0.13300633127401915,0.6815726888968638,-2.2582120400044348
B Lee,0,42.0,20.0,2.0,4.0,200.0,17.0,38.0,1.0,299.0,7.0,7.666666666666667,102.0,30.0,12.0,4.0,2.0,0.0,0.0,7.0,0.0,0.0,28.5,37.375,1.9167678697812585,2.0048725505376366,0.006679965894641089,1.140118822201381,-0.26249138417631807,0.35959488105245513
MA Agarwal,0,225.0,158.0,19.0,15.0,141.50943396226415,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.1426570487453314,0.960886157484842,0.9002329359391972,-1.143114307046249,0.9424020961672719,-0.6951343136950905
CH Gayle,0,733.0,456.0,46.0,59.0,160.39387308533918,22.0,4.4,0.0,66.0,0.0,12.222222222222221,6.0,7.0,4.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,26.400000000000002,66.0,1.3141429223659542,1.343171344547673,4.057781665053261,2.1050704929530992,-1.5009426811847038,2.7154920443228727
V Kohli,0,364.0,326.0,33.0,9.0,111.31498470948011,23.0,3.0,0.0,49.0,0.0,12.25,2.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,49.0,0.222956577881546,0.38852749411142873,1.5697817517696058,1.317344283225135,-1.5305490458934137,1.884608101710724
AB de Villiers,0,319.0,198.0,26.0,15.0,160.30150753768845,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.058584334576291,1.285220284823844,1.5160850923565916,-1.143114307046249,0.9411897101956322,-0.6951343136950905
AB McDonald,0,47.0,35.0,6.0,2.0,130.55555555555557,4.0,10.0,0.0,61.0,5.0,5.545454545454546,20.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.166666666666666,1.2329699778661893,0.7960154379467987,-0.22031439245638657,-0.34483532268709816,-1.1171362678939891,-0.24067270253327713
AUK Pathan,0,6.0,7.0,0.0,0.0,75.0,3.0,1.0,0.0,14.0,0.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,-1.1603226438365528,-0.3553285783416613,-0.6874514346443017,-0.3048508125689321,-1.4666442852127686,0.1333882942834196
