,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
0,V Sehwag,c Gambhir b UT Yadav,7,10,1,0,70,1,,,,,,,,,,
1,M Vohra,c & b Chawla,67,52,6,2,128.84,1,,,,,,,,,,
2,GJ Bailey,b Narine,1,2,0,0,50,1,,,,,,,,,,
3,WP Saha,not out,115,55,10,8,209.09,1,,,,,,,,,,
4,GJ Maxwell,c Morkel b Chawla,0,1,0,0,0,1,,,,,,,,,,
5,DA Miller,not out,1,1,0,0,100,1,,,,,,,,,,
6,RV Uthappa,c Patel b Johnson,5,3,1,0,166.66,2,,,,,,,,,,
7,G Gambhir,c Miller b Karanveer Singh,23,17,3,0,135.29,2,,,,,,,,,,
8,MK Pandey,c Bailey b Karanveer Singh,94,50,7,6,188,2,,,,,,,,,,
9,YK Pathan,c Maxwell b Karanveer Singh,36,22,0,4,163.63,2,,,,,,,,,,
10,Shakib Al Hasan,run out (Bailey),12,7,2,0,171.42,2,4,0,26,0,6.5,8,1,1,0,0
11,RN ten Doeschate,c Miller b Karanveer Singh,4,3,1,0,133.33,2,,,,,,,,,,
12,SA Yadav,c Vohra b Johnson,5,6,0,0,83.33,2,,,,,,,,,,
13,PP Chawla,not out,13,5,1,1,260,2,4,0,44,2,11,7,3,3,0,0
14,SP Narine,not out,2,4,0,0,50,2,4,0,46,1,11.5,10,5,3,0,1
15,AR Patel,DNB,0,0,0,0,0,1,4,0,21,0,5.25,10,2,0,1,0
16,MG Johnson,DNB,0,0,0,0,0,1,4,0,41,2,10.25,8,5,1,2,0
17,L Balaji,DNB,0,0,0,0,0,1,4,0,41,0,10.25,6,3,2,0,0
18,Karanveer Singh,DNB,0,0,0,0,0,1,4,0,54,4,13.5,9,2,6,3,0
19,P Awana,DNB,0,0,0,0,0,1,3.3,0,43,0,12.28,3,3,2,0,0
20,M Morkel,DNB,0,0,0,0,0,2,4,0,40,0,10,9,3,2,0,0
21,UT Yadav,DNB,0,0,0,0,0,2,4,0,39,1,9.75,10,5,1,1,0
0,CA Pujara,c †Gautam b Anderson,19,18,4,0,105.55,1,,,,,,,,,,
1,V Sehwag,run out (Sharma),1,2,0,0,50,1,,,,,,,,,,
2,WP Saha,not out,59,47,4,3,125.53,1,,,,,,,,,,
3,GJ Maxwell,c Dunk b Harbhajan Singh,45,27,5,2,166.66,1,,,,,,,,,,
4,GJ Bailey,c Anderson b Harbhajan Singh,15,14,2,0,107.14,1,,,,,,,,,,
5,DA Miller,c Dunk b Malinga,16,12,1,1,133.33,1,,,,,,,,,,
6,MG Johnson,not out,0,1,0,0,0,1,4,0,37,0,9.25,11,3,2,2,0
