Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb,50,100,0,4_haul,5_haul,BSR,BWA,hard_hit,bat_consistency,pca_bat,Bowl_index,bowl_consistency,bowl_pca
DR Smith,0,418.0,341.0,40.0,19.0,122.22222222222223,18.0,5.0,0.0,59.0,2.0,9.833333333333334,7.0,7.0,2.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,10.0,19.666666666666668,0.8359020428441702,0.789698089033839,1.9608656159055156,0.17923360872333025,-1.4903811714729647,0.5062410905933574
AP Tare,0,123.0,84.0,14.0,5.0,144.70588235294116,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3980572828923739,1.229188731460739,0.3340920100913981,-1.0701294412913402,0.8973082833183321,-0.5659312634904795
KD Karthik,0,510.0,411.0,54.0,14.0,123.78640776699028,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.7536299468482714,0.7983090487517379,2.4684675100813314,-1.0701294412913402,0.8990530527576546,-0.5659312634904795
RG Sharma,0,538.0,409.0,35.0,28.0,131.21951219512195,27.0,1.2,0.0,6.0,0.0,2.727272727272727,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,7.199999999999999,6.0,0.6281182679507716,0.9414495150207232,2.6272673804999367,-0.5663586556467597,-1.3508555908627076,-0.10577095922522324
AT Rayudu,0,265.0,231.0,22.0,4.0,114.22413793103448,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.16982383127962689,0.5601883146310102,0.9774709121323328,-1.0701294412913402,0.9000615666513025,-0.5659312634904795
KA Pollard,0,420.0,281.0,27.0,29.0,148.93617021276594,25.0,31.0,0.0,292.0,10.0,9.125,60.0,25.0,13.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,16.90909090909091,26.545454545454547,1.1231455382648496,1.2958757960356069,2.050757185169682,0.5929323632017208,-0.645847683543205,0.14571285111235557
Harbhajan Singh,0,116.0,79.0,12.0,5.0,145.0,27.0,70.0,0.0,456.0,24.0,6.422535211267606,167.0,29.0,15.0,8.0,2.0,0.0,0.0,7.0,0.0,0.0,16.8,18.24,1.2765191683674546,1.1794785414718052,0.2853954070752424,0.24130750688308933,0.7143599372639701,-1.7596433055681377
R Dhawan,0,21.0,21.0,3.0,0.0,95.45454545454545,9.0,15.0,1.0,109.0,2.0,6.8125,37.0,10.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,30.0,36.333333333333336,0.4375378808287696,0.25212702088067407,-0.44533429661534996,1.2434326202073458,-1.0974588608432057,1.3057004792736853
MG Johnson,0,39.0,36.0,2.0,2.0,105.40540540540539,24.0,64.0,0.0,459.0,24.0,7.061538461538461,196.0,59.0,9.0,19.0,0.0,0.0,0.0,11.0,0.0,0.0,15.36,18.36,0.12617733845862455,0.34914723227643296,-0.31223057648301394,0.21976795811621125,0.5134163524246828,-2.119030474611209
SL Malinga,0,9.0,18.0,1.0,0.0,47.368421052631575,24.0,65.2,0.0,468.0,20.0,7.069486404833836,160.0,52.0,9.0,8.0,2.0,0.0,0.0,14.0,0.0,0.0,18.62857142857143,22.285714285714285,-0.485143817956901,-0.7616520953386676,-0.6906506046467614,0.44757060645428276,0.5489261491609729,-1.3725070625820892
