team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
DCG,KKR,DCG,bowl,"Dr DY Patil Sports Academy, Mumbai",8:00 PM,Rudi Koertzen,Russell Tiffin,Brian Jerling,Andy Pycroft,"['Tirumalsetti Suman', 'VVS Laxman', 'Herschelle Gibbs', 'Andrew Symonds', 'Pragyan Ojha', 'RP Singh', 'Jaskaran Singh', 'Chaminda Vaas', 'Anirudh Singh', 'Rohit Sharma', 'Adam Gilchrist']","['Wriddhiman Saha', 'Sourav Ganguly', 'Cheteshwar Pujara', 'Owais Shah', 'Angelo Mathews', 'Ishant Sharma', 'Charl Langeveldt', 'Murali Kartik', 'Laxmi Shukla', 'Brad Hodge', 'Manoj Tiwary']",KKR
MI,RR,MI,bat,"Brabourne Stadium, Mumbai",3:00 PM,Rudi Koertzen,Russell Tiffin,Brian Jerling,Andy Pycroft,"['Lasith Malinga', 'Ali Murtaza', 'Sachin Tendulkar', 'Sanath Jayasuriya', 'Zaheer Khan', 'Ryan McLaren', 'Harbhajan Singh', 'Rajagopal Sathish', 'Ambati Rayudu', 'Saurabh Tiwary', 'Aditya Tare']","['Shaun Tait', 'Kamran Khan', 'Swapnil Asnodkar', 'Naman Ojha', 'Abhishek Jhunjhunwala', 'Yusuf Pathan', 'Paras Dogra', 'Shane Warne', 'Amit Uniyal', 'Dimitri Mascarenhas', 'Graeme Smith']",MI
KXIP,DC,DC,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM,Billy Doctrove,Sundaram Ravi,Shavir Tarapore,Srinivas Venkataraghavan,"['Yusuf Abdulla', 'Ramesh Powar', 'S Sreesanth', 'Piyush Chawla', 'Mohammad Kaif', 'Irfan Pathan', 'Mahela Jayawardene', 'Yuvraj Singh', 'Kumar Sangakkara', 'Manvinder Bisla', 'Ravi Bopara']","['Dirk Nannes', 'Yo Mahesh', 'Pradeep Sangwan', 'Farveez Maharoof', 'Dinesh Karthik', 'AB de Villiers', 'Virender Sehwag', 'Gautam Gambhir', 'Amit Mishra', 'Mithun Manhas', 'Tillakaratne Dilshan']",DC
KKR,RCB,KKR,bowl,"Eden Gardens, Kolkata",4:00 PM,Kumar Dharmasena,Amiesh Saheba,Marais Erasmus,Yashpal Sharma,"['Murali Kartik', 'Wriddhiman Saha', 'Owais Shah', 'Ishant Sharma', 'Charl Langeveldt', 'Angelo Mathews', 'Rohan Gavaskar', 'Cheteshwar Pujara', 'Sourav Ganguly', 'Manoj Tiwary', 'Brad Hodge']","['Dale Steyn', 'Anil Kumble', 'Praveen Kumar', 'Roelof van der Merwe', 'Robin Uthappa', 'Rahul Dravid', 'Eoin Morgan', 'Virat Kohli', 'Manish Pandey', 'Shreevats Goswami', 'Jacques Kallis']",KKR
CSK,DCG,DCG,bat,"MA Chidambaram Stadium, Chennai",8:00 PM,Krishna Hariharan,Daryl Harper,Subrat Das,Dev Govindjee,"['Sudeep Tyagi', 'Muttiah Muralitharan', 'MS Dhoni', 'Justin Kemp', 'S Badrinath', 'Suresh Raina', 'Matthew Hayden', 'Murali Vijay', 'Lakshmipathy Balaji', 'Ravichandran Ashwin', 'Albie Morkel']","['RP Singh', 'Chaminda Vaas', 'Anirudh Singh', 'Pragyan Ojha', 'Jaskaran Singh', 'Tirumalsetti Suman', 'Rohit Sharma', 'Andrew Symonds', 'Herschelle Gibbs', 'VVS Laxman', 'Adam Gilchrist']",DCG
RR,DC,DC,bowl,"Sardar Patel Stadium, Ahmedabad",8:00 PM,Brian Jerling,Rudi Koertzen,Russell Tiffin,Andy Pycroft,"['Munaf Patel', 'Shaun Tait', 'Dimitri Mascarenhas', 'Shane Warne', 'Amit Uniyal', 'Paras Dogra', 'Abhishek Jhunjhunwala', 'Yusuf Pathan', 'Naman Ojha', 'Graeme Smith', 'Swapnil Asnodkar']","['Dirk Nannes', 'Pradeep Sangwan', 'Sarabjit Ladda', 'Farveez Maharoof', 'Tillakaratne Dilshan', 'Virender Sehwag', 'Gautam Gambhir', 'Amit Mishra', 'Mithun Manhas', 'Dinesh Karthik', 'AB de Villiers']",DC
RCB,KXIP,KXIP,bat,"M.Chinnaswamy Stadium, Bengaluru",4:00 PM,Subrat Das,Daryl Harper,Krishna Hariharan,Dev Govindjee,"['Vinay Kumar', 'Anil Kumble', 'Mark Boucher', 'Dale Steyn', 'Praveen Kumar', 'Eoin Morgan', 'Rahul Dravid', 'Virat Kohli', 'Robin Uthappa', 'Jacques Kallis', 'Manish Pandey']","['Yusuf Abdulla', 'Piyush Chawla', 'Mohammad Kaif', 'Irfan Pathan', 'S Sreesanth', 'Bipul Sharma', 'Kumar Sangakkara', 'Mahela Jayawardene', 'Yuvraj Singh', 'Manvinder Bisla', 'Ravi Bopara']",RCB
KKR,CSK,CSK,bat,"Eden Gardens, Kolkata",8:00 PM,Kumar Dharmasena,Amiesh Saheba,Marais Erasmus,Yashpal Sharma,"['Murali Kartik', 'Shane Bond', 'Rohan Gavaskar', 'Laxmi Shukla', 'Wriddhiman Saha', 'Sourav Ganguly', 'Brad Hodge', 'Ishant Sharma', 'Angelo Mathews', 'Owais Shah', 'Manoj Tiwary']","['Lakshmipathy Balaji', 'Manpreet Gony', 'Muttiah Muralitharan', 'Ravichandran Ashwin', 'Albie Morkel', 'Justin Kemp', 'MS Dhoni', 'S Badrinath', 'Suresh Raina', 'Matthew Hayden', 'Murali Vijay']",CSK
DC,MI,DC,bowl,"Arun Jaitley Stadium, Delhi",8:00 PM,Billy Doctrove,Shavir Tarapore,Sundaram Ravi,Srinivas Venkataraghavan,"['Dirk Nannes', 'Sarabjit Ladda', 'Pradeep Sangwan', 'Amit Mishra', 'Mithun Manhas', 'Dinesh Karthik', 'Farveez Maharoof', 'AB de Villiers', 'Virender Sehwag', 'Gautam Gambhir', 'Tillakaratne Dilshan']","['Zaheer Khan', 'Harbhajan Singh', 'Rajagopal Sathish', 'Lasith Malinga', 'Dwayne Bravo', 'Kieron Pollard', 'Ambati Rayudu', 'Saurabh Tiwary', 'Aditya Tare', 'Sachin Tendulkar', 'Sanath Jayasuriya']",MI
RCB,RR,RCB,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Krishna Hariharan,Daryl Harper,Subrat Das,Dev Govindjee,"['Dale Steyn', 'Anil Kumble', 'Eoin Morgan', 'Vinay Kumar', 'Praveen Kumar', 'Mark Boucher', 'Rahul Dravid', 'Virat Kohli', 'Robin Uthappa', 'Jacques Kallis', 'Manish Pandey']","['Siddharth Trivedi', 'Shane Warne', 'Sumit Narwal', 'Yusuf Pathan', 'Abhishek Jhunjhunwala', 'Munaf Patel', 'Morne Morkel', 'Paras Dogra', 'Damien Martyn', 'Michael Lumb', 'Naman Ojha']",RCB
DC,CSK,DC,bat,"Arun Jaitley Stadium, Delhi",4:00 PM,Billy Doctrove,Shavir Tarapore,Sundaram Ravi,Srinivas Venkataraghavan,"['Dirk Nannes', 'Pradeep Sangwan', 'Amit Mishra', 'Rajat Bhatia', 'Mithun Manhas', 'AB de Villiers', 'Umesh Yadav', 'Dinesh Karthik', 'Tillakaratne Dilshan', 'Virender Sehwag', 'David Warner']","['Lakshmipathy Balaji', 'Ravichandran Ashwin', 'Murali Vijay', 'S Badrinath', 'Matthew Hayden', 'Joginder Sharma', 'Muttiah Muralitharan', 'Justin Kemp', 'Albie Morkel', 'Suresh Raina', 'Parthiv Patel']",CSK
