team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
SRH,RCB,RCB,bowl,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Anil Dandekar,Nigel Llong,Abhijit Deshmukh,Javagal Srinath,"['David Warner', 'Shikhar Dhawan', 'Moises Henriques', 'Yuvraj Singh', 'Deepak Hooda', 'Naman Ojha', 'Ben Cutting', 'Bipul Sharma', 'Bhuvneshwar Kumar', 'Rashid Khan', 'Ashish Nehra']","['Chris Gayle', 'Mandeep Singh', 'Shane Watson', 'Kedar Jadhav', 'Travis Head', 'Sachin Baby', 'Stuart Binny', 'Tymal Mills', 'Sreenath Aravind', 'Aniket Choudhary', 'Yuzvendra Chahal']",SRH
RPS,MI,RPS,bowl,"Maharashtra Cricket Association Stadium, Pune",8:00 PM,Nand Kishore,Sundaram Ravi,Virender Sharma,Manu Nayyar,"['Ajinkya Rahane', 'Mayank Agarwal', 'Steven Smith', 'Manoj Tiwary', 'MS Dhoni', 'Ben Stokes', 'Rajat Bhatia', 'Deepak Chahar', 'Adam Zampa', 'Imran Tahir', 'Ashok Dinda']","['Rohit Sharma', 'Parthiv Patel', 'Ambati Rayudu', 'Kieron Pollard', 'Nitish Rana', 'Jos Buttler', 'Hardik Pandya', 'Krunal Pandya', 'Mitchell McClenaghan', 'Tim Southee', 'Jasprit Bumrah']",RPS
GL,KKR,KKR,bowl,"Saurashtra Cricket Association Stadium, Rajkot",8:00 PM,Nitin Menon,Nandan,Yeshwant Barde,Vengalil Narayan Kutty,"['Brendon McCullum', 'Dwayne Smith', 'Jason Roy', 'Suresh Raina', 'Aaron Finch', 'Dinesh Karthik', 'Manpreet Gony', 'Praveen Kumar', 'Shadab Jakati', 'Dhawal Kulkarni', 'Shivil Koushik']","['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Chris Lynn', 'Yusuf Pathan', 'Suryakumar Yadav', 'Chris Woakes', 'Piyush Chawla', 'Kuldeep Yadav', 'Sunil Narine', 'Trent Boult']",KKR
KXIP,RPS,KXIP,bowl,"Holkar Cricket Stadium, Indore",4:00 PM,Anil Kumar Chaudhary,Chettithody Shamshuddin,KN Anantha Padmanabhan,Chinmay Sharma,"['Hashim Amla', 'Manan Vohra', 'Wriddhiman Saha', 'Glenn Maxwell', 'David Miller', 'Marcus Stoinis', 'Axar Patel', 'Swapnil Singh', 'Mohit Sharma', 'Sandeep Sharma', 'T Natarajan']","['Ajinkya Rahane', 'Mayank Agarwal', 'Steven Smith', 'Ben Stokes', 'MS Dhoni', 'Manoj Tiwary', 'Daniel Christian', 'Rajat Bhatia', 'Rahul Chahar', 'Imran Tahir', 'Ashok Dinda']",KXIP
RCB,DC,RCB,bat,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Sundaram Ravi,Virender Sharma,Nand Kishore,Javagal Srinath,"['Chris Gayle', 'Mandeep Singh', 'Vishnu Vinod', 'Kedar Jadhav', 'Shane Watson', 'Stuart Binny', 'Pawan Negi', 'Iqbal Abdulla', 'Tymal Mills', 'Yuzvendra Chahal', 'Billy Stanlake']","['Sam Billings', 'Aditya Tare', 'Sanju Samson', 'Karun Nair', 'Rishabh Pant', 'Carlos Brathwaite', 'Chris Morris', 'Pat Cummins', 'Shahbaz Nadeem', 'Zaheer Khan', 'Amit Mishra']",RCB
SRH,GL,SRH,bowl,"Rajiv Gandhi International Stadium, Hyderabad",4:00 PM,Abhijit Deshmukh,Nigel Llong,Anil Dandekar,Manu Nayyar,"['David Warner', 'Shikhar Dhawan', 'Moises Henriques', 'Yuvraj Singh', 'Deepak Hooda', 'Naman Ojha', 'Ben Cutting', 'Bipul Sharma', 'Bhuvneshwar Kumar', 'Rashid Khan', 'Ashish Nehra']","['Jason Roy', 'Brendon McCullum', 'Suresh Raina', 'Aaron Finch', 'Dinesh Karthik', 'Dwayne Smith', 'Praveen Kumar', 'Tejas Baroka', 'Dhawal Kulkarni', 'Shivil Koushik', 'Basil Thampi']",SRH
MI,KKR,MI,bowl,"Wankhede Stadium, Mumbai",8:00 PM,Nitin Menon,Nandan,Yeshwant Barde,Sunil Chaturvedi,"['Parthiv Patel', 'Jos Buttler', 'Rohit Sharma', 'Nitish Rana', 'Krunal Pandya', 'Kieron Pollard', 'Hardik Pandya', 'Harbhajan Singh', 'Lasith Malinga', 'Mitchell McClenaghan', 'Jasprit Bumrah']","['Gautam Gambhir', 'Chris Lynn', 'Robin Uthappa', 'Manish Pandey', 'Yusuf Pathan', 'Suryakumar Yadav', 'Ankit Rajpoot', 'Chris Woakes', 'Kuldeep Yadav', 'Sunil Narine', 'Trent Boult']",MI
KXIP,RCB,RCB,bat,"Holkar Cricket Stadium, Indore",8:00 PM,Anil Chaudhary,Chettithody Shamshuddin,KN Anantha Padmanabhan,Chinmay Sharma,"['Hashim Amla', 'Manan Vohra', 'Wriddhiman Saha', 'Axar Patel', 'Glenn Maxwell', 'David Miller', 'Marcus Stoinis', 'Mohit Sharma', 'Sandeep Sharma', 'T Natarajan', 'Varun Aaron']","['Shane Watson', 'Mandeep Singh', 'AB de Villiers', 'Kedar Jadhav', 'Stuart Binny', 'Vishnu Vinod', 'Pawan Negi', 'Iqbal Abdulla', 'Tymal Mills', 'Yuzvendra Chahal', 'Billy Stanlake']",KXIP
RPS,DC,RPS,bowl,"Maharashtra Cricket Association Stadium, Pune",8:00 PM,Anil Dandekar,Sundaram Ravi,Nand Kishore,Javagal Srinath,"['Ajinkya Rahane', 'Faf du Plessis', 'Mayank Agarwal', 'Rahul Tripathi', 'Ben Stokes', 'MS Dhoni', 'Rajat Bhatia', 'Deepak Chahar', 'Adam Zampa', 'Ashok Dinda', 'Imran Tahir']","['Aditya Tare', 'Sam Billings', 'Karun Nair', 'Sanju Samson', 'Rishabh Pant', 'Corey Anderson', 'Chris Morris', 'Pat Cummins', 'Amit Mishra', 'Shahbaz Nadeem', 'Zaheer Khan']",DC
MI,SRH,MI,bowl,"Wankhede Stadium, Mumbai",8:00 PM,Nitin Menon,Nandan,Yeshwant Barde,Manu Nayyar,"['Parthiv Patel', 'Jos Buttler', 'Nitish Rana', 'Rohit Sharma', 'Krunal Pandya', 'Kieron Pollard', 'Hardik Pandya', 'Harbhajan Singh', 'Lasith Malinga', 'Mitchell McClenaghan', 'Jasprit Bumrah']","['David Warner', 'Shikhar Dhawan', 'Yuvraj Singh', 'Deepak Hooda', 'Vijay Shankar', 'Naman Ojha', 'Ben Cutting', 'Bhuvneshwar Kumar', 'Rashid Khan', 'Ashish Nehra', 'Mustafizur Rahman']",MI
