team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
MI,RPS,MI,bat,"Wankhede Stadium, Mumbai",08:00 PM,Kumar Dharmasena,Nandan,Vineet Kulkarni,Javagal Srinath,"['Lendl Simmons', 'Rohit Sharma', 'Jos Buttler', 'Ambati Rayudu', 'Kieron Pollard', 'Hardik Pandya', 'Harbhajan Singh', 'Mitchell McClenaghan', 'Vinay Kumar', 'Shreyas Gopal', 'Jasprit Bumrah']","['Ajinkya Rahane', 'Faf du Plessis', 'Steven Smith', 'Kevin Pietersen', 'Mitchell Marsh', 'MS Dhoni', 'Rajat Bhatia', 'Ravichandran Ashwin', 'Murugan Ashwin', 'Ishant Sharma', 'RP Singh']",RPS
KKR,DC,KKR,bowl,"Eden Gardens, Kolkata",08:00 PM,Sundaram Ravi,Chettithody Shamshuddin,Nitin Menon,Manu Nayyar,"['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Colin Munro', 'Suryakumar Yadav', 'Yusuf Pathan', 'Andre Russell', 'Piyush Chawla', 'John Hastings', 'Brad Hogg', 'Umesh Yadav']","['Quinton de Kock', 'Mayank Agarwal', 'Shreyas Iyer', 'Karun Nair', 'Sanju Samson', 'Carlos Brathwaite', 'Pawan Negi', 'Chris Morris', 'Amit Mishra', 'Zaheer Khan', 'Nathan Coulter-Nile']",KKR
KXIP,GL,GL,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali",08:00 PM,Anil Chaudhary,Vineet Kulkarni,Nand Kishore,Chinmay Sharma,"['Murali Vijay', 'Manan Vohra', 'Wriddhiman Saha', 'Glenn Maxwell', 'David Miller', 'Axar Patel', 'Marcus Stoinis', 'Pardeep Sahu', 'Mitchell Johnson', 'Mohit Sharma', 'Sandeep Sharma']","['Aaron Finch', 'Brendon McCullum', 'Suresh Raina', 'Dinesh Karthik', 'Ishan Kishan', 'Dwayne Bravo', 'Ravindra Jadeja', 'James Faulkner', 'Praveen Kumar', 'Pradeep Sangwan', 'Sarabjit Ladda']",GL
RCB,SRH,SRH,bowl,"M.Chinnaswamy Stadium, Bengaluru",08:00 PM,Kumar Dharmasena,Virender Sharma,KN Anantha Padmanabhan,Javagal Srinath,"['Chris Gayle', 'Virat Kohli', 'AB de Villiers', 'Shane Watson', 'Sarfaraz Khan', 'Kedar Jadhav', 'Stuart Binny', 'Parvez Rasool', 'Adam Milne', 'Harshal Patel', 'Yuzvendra Chahal']","['David Warner', 'Shikhar Dhawan', 'Moises Henriques', 'Ashish Reddy', 'Naman Ojha', 'Eoin Morgan', 'Deepak Hooda', 'Karn Sharma', 'Ashish Nehra', 'Bhuvneshwar Kumar', 'Mustafizur Rahman']",RCB
KKR,MI,MI,bowl,"Eden Gardens, Kolkata",08:00 PM,Sundaram Ravi,Chettithody Shamshuddin,Nitin Menon,Manu Nayyar,"['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Colin Munro', 'Yusuf Pathan', 'Suryakumar Yadav', 'Andre Russell', 'John Hastings', 'Piyush Chawla', 'Kuldeep Yadav', 'Brad Hogg']","['Rohit Sharma', 'Parthiv Patel', 'Jos Buttler', 'Ambati Rayudu', 'Kieron Pollard', 'Hardik Pandya', 'Harbhajan Singh', 'Jagadeesha Suchith', 'Mitchell McClenaghan', 'Tim Southee', 'Jasprit Bumrah']",MI
GL,RPS,RPS,bat,"Saurashtra Cricket Association Stadium, Rajkot",08:00 PM,Vineet Kulkarni,Nandan,Anil Dandekar,Chinmay Sharma,"['Brendon McCullum', 'Aaron Finch', 'Suresh Raina', 'Dinesh Karthik', 'Dwayne Bravo', 'Akshdeep Nath', 'Ravindra Jadeja', 'James Faulkner', 'Praveen Kumar', 'Shadab Jakati', 'Pravin Tambe']","['Ajinkya Rahane', 'Faf du Plessis', 'Kevin Pietersen', 'Steven Smith', 'Mitchell Marsh', 'MS Dhoni', 'Rajat Bhatia', 'Ravichandran Ashwin', 'Ishant Sharma', 'RP Singh', 'Murugan Ashwin']",GL
DC,KXIP,DC,bowl,"Arun Jaitley Stadium, Delhi",08:00 PM,Sundaram Ravi,Chettithody Shamshuddin,Nitin Menon,Roshan Mahanama,"['Quinton de Kock', 'Shreyas Iyer', 'Karun Nair', 'Jean-Paul Duminy', 'Sanju Samson', 'Pawan Negi', 'Carlos Brathwaite', 'Chris Morris', 'Amit Mishra', 'Jayant Yadav', 'Zaheer Khan']","['Murali Vijay', 'Manan Vohra', 'Shaun Marsh', 'Glenn Maxwell', 'David Miller', 'Wriddhiman Saha', 'Axar Patel', 'Mitchell Johnson', 'Pardeep Sahu', 'Mohit Sharma', 'Sandeep Sharma']",DC
SRH,KKR,SRH,bat,"Rajiv Gandhi International Stadium, Hyderabad",04:00 PM,Anil Chaudhary,Nandan,Krishnamachari Bharatan,Javagal Srinath,"['David Warner', 'Shikhar Dhawan', 'Moises Henriques', 'Ashish Reddy', 'Naman Ojha', 'Eoin Morgan', 'Deepak Hooda', 'Karn Sharma', 'Bhuvneshwar Kumar', 'Mustafizur Rahman', 'Barinder Sran']","['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Shakib Al Hasan', 'Yusuf Pathan', 'Suryakumar Yadav', 'Andre Russell', 'Piyush Chawla', 'Sunil Narine', 'Morne Morkel', 'Umesh Yadav']",KKR
MI,GL,GL,bowl,"Wankhede Stadium, Mumbai",08:00 PM,Kumar Dharmasena,Virender Sharma,KN Anantha Padmanabhan,Chinmay Sharma,"['Rohit Sharma', 'Parthiv Patel', 'Hardik Pandya', 'Jos Buttler', 'Ambati Rayudu', 'Kieron Pollard', 'Harbhajan Singh', 'Mitchell McClenaghan', 'Tim Southee', 'Krunal Pandya', 'Jasprit Bumrah']","['Aaron Finch', 'Brendon McCullum', 'Suresh Raina', 'Dinesh Karthik', 'Dwayne Bravo', 'Akshdeep Nath', 'James Faulkner', 'Shadab Jakati', 'Praveen Kumar', 'Dhawal Kulkarni', 'Pravin Tambe']",GL
KXIP,RPS,RPS,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",04:00 PM,Sundaram Ravi,Chettithody Shamshuddin,Nitin Menon,Manu Nayyar,"['Murali Vijay', 'Manan Vohra', 'Shaun Marsh', 'David Miller', 'Glenn Maxwell', 'Wriddhiman Saha', 'Axar Patel', 'Kyle Abbott', 'Mohit Sharma', 'Pardeep Sahu', 'Sandeep Sharma']","['Ajinkya Rahane', 'Faf du Plessis', 'Kevin Pietersen', 'Steven Smith', 'MS Dhoni', 'Thisara Perera', 'Irfan Pathan', 'Ravichandran Ashwin', 'Ankit Sharma', 'Ishant Sharma', 'Murugan Ashwin']",KXIP
