team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
CSK,KKR,CSK,bat,"MA Chidambaram Stadium, Chennai",8:00 PM,Billy Doctrove,Paul Reiffel,Sudhir Asnani,Javagal Srinath,"['Murali Vijay', 'Srikkanth Anirudha', 'Suresh Raina', 'MS Dhoni', 'S Badrinath', 'Scott Styris', 'Albie Morkel', 'Ravichandran Ashwin', 'Tim Southee', 'Shadab Jakati', 'Suraj Randiv']","['Jacques Kallis', 'Manoj Tiwary', 'Gautam Gambhir', 'Eoin Morgan', 'Yusuf Pathan', 'Manvinder Bisla', 'Laxmi Shukla', 'Iqbal Abdulla', 'Rajat Bhatia', 'Sarabjit Ladda', 'Lakshmipathy Balaji']",CSK
DCG,RR,RR,bowl,"Rajiv Gandhi International Stadium, Hyderabad",4:00 PM,Rudi Koertzen,Shavir Tarapore,Sanjay Hazare,Andy Pycroft,"['Shikhar Dhawan', 'Kumar Sangakkara', 'Jean-Paul Duminy', 'Bharath Chipli', 'Daniel Christian', 'Dwaraka Ravi Teja', 'Ishank Jaggi', 'Amit Mishra', 'Dale Steyn', 'Ishant Sharma', 'Pragyan Ojha']","['Abhishek Raut', 'Amit Paunikar', 'Ashok Menaria', 'Ross Taylor', 'Rahul Dravid', 'Stuart Binny', 'Amit Singh', 'Jacob Oram', 'Johan Botha', 'Shane Warne', 'Siddharth Trivedi']",RR
KTK,RCB,KTK,bat,"Nehru Stadium, Kochi",8:00 PM,Kumar Dharmasena,Krishna Hariharan,Tony Hill,Raju Mukherjee,"['Mahela Jayawardene', 'Parthiv Patel', 'VVS Laxman', 'Brendon McCullum', 'Brad Hodge', 'Ravindra Jadeja', 'Raiphi Gomez', 'Muttiah Muralitharan', 'Vinay Kumar', 'RP Singh', 'S Sreesanth']","['Mayank Agarwal', 'Tillakaratne Dilshan', 'Cheteshwar Pujara', 'AB de Villiers', 'Virat Kohli', 'Saurabh Tiwary', 'Asad Pathan', 'Zaheer Khan', 'Daniel Vettori', 'Dirk Nannes', 'Abhimanyu Mithun']",RCB
DC,MI,DC,bat,"Arun Jaitley Stadium, Delhi",4:00 PM,Amiesh Saheba,Russell Tiffin,Suresh Shastri,Srinivas Venkataraghavan,"['Virender Sehwag', 'David Warner', 'Aaron Finch', 'Unmukt Chand', 'Naman Ojha', 'Venugopal Rao', 'Irfan Pathan', 'Roelof van der Merwe', 'Morne Morkel', 'Umesh Yadav', 'Ashok Dinda']","['Sachin Tendulkar', 'Ambati Rayudu', 'Rohit Sharma', 'Kieron Pollard', 'Rajagopal Sathish', 'Davy Jacobs', 'James Franklin', 'Harbhajan Singh', 'Ali Murtaza', 'Lasith Malinga', 'Munaf Patel']",MI
PWI,KXIP,KXIP,bat,"Dr DY Patil Sports Academy, Mumbai",8:00 PM,Billy Doctrove,Paul Reiffel,Sudhir Asnani,Javagal Srinath,"['Graeme Smith', 'Jesse Ryder', 'Robin Uthappa', 'Yuvraj Singh', 'Mithun Manhas', 'Mohnish Mishra', 'Rahul Sharma', 'Murali Kartik', 'Shrikant Wagh', 'Wayne Parnell', 'Alfonso Thomas']","['Adam Gilchrist', 'Shaun Marsh', 'Dinesh Karthik', 'Sunny Singh', 'Abhishek Nayar', 'Paul Valthaty', 'Ryan McLaren', 'Praveen Kumar', 'Piyush Chawla', 'Nathan Rimmington', 'Bhargav Bhatt']",PWI
KKR,DCG,KKR,bat,"Eden Gardens, Kolkata",8:00 PM,Rudi Koertzen,Shavir Tarapore,Sundaram Ravi,Dev Govindjee,"['Jacques Kallis', 'Manvinder Bisla', 'Gautam Gambhir', 'Manoj Tiwary', 'Ryan ten Doeschate', 'Eoin Morgan', 'Yusuf Pathan', 'Iqbal Abdulla', 'Jaydev Unadkat', 'Rajat Bhatia', 'Lakshmipathy Balaji']","['Shikhar Dhawan', 'Ishank Jaggi', 'Kumar Sangakkara', 'Jean-Paul Duminy', 'Bharath Chipli', 'Daniel Christian', 'Dwaraka Ravi Teja', 'Dale Steyn', 'Amit Mishra', 'Ishant Sharma', 'Pragyan Ojha']",KKR
RR,DC,DC,bat,"Sawai Mansingh Stadium, Jaipur",4:00 PM,Aleem Dar,Russell Tiffin,Sanjay Hazare,Andy Pycroft,"['Amit Paunikar', 'Rahul Dravid', 'Johan Botha', 'Ross Taylor', 'Ajinkya Rahane', 'Abhishek Raut', 'Ashok Menaria', 'Amit Singh', 'Shane Warne', 'Siddharth Trivedi', 'Shaun Tait']","['Virender Sehwag', 'David Warner', 'Unmukt Chand', 'Aaron Finch', 'Naman Ojha', 'Venugopal Rao', 'Irfan Pathan', 'Roelof van der Merwe', 'Morne Morkel', 'Ashok Dinda', 'Shahbaz Nadeem']",RR
RCB,MI,MI,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Kumar Dharmasena,Tony Hill,Krishna Hariharan,Raju Mukherjee,"['Mayank Agarwal', 'Tillakaratne Dilshan', 'Virat Kohli', 'AB de Villiers', 'Saurabh Tiwary', 'Cheteshwar Pujara', 'Asad Pathan', 'Abhimanyu Mithun', 'Daniel Vettori', 'Zaheer Khan', 'Dirk Nannes']","['Sachin Tendulkar', 'Davy Jacobs', 'Ambati Rayudu', 'Rohit Sharma', 'Rajagopal Sathish', 'Kieron Pollard', 'James Franklin', 'Harbhajan Singh', 'Lasith Malinga', 'Ali Murtaza', 'Munaf Patel']",MI
KXIP,CSK,KXIP,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali",4:00 PM,Asad Rauf,Suresh Shastri,Amiesh Saheba,Srinivas Venkataraghavan,"['Adam Gilchrist', 'Shaun Marsh', 'Paul Valthaty', 'Dinesh Karthik', 'Abhishek Nayar', 'Sunny Singh', 'Ryan McLaren', 'Piyush Chawla', 'Praveen Kumar', 'Bhargav Bhatt', 'Ryan Harris']","['Murali Vijay', 'Srikkanth Anirudha', 'Suresh Raina', 'MS Dhoni', 'S Badrinath', 'Scott Styris', 'Albie Morkel', 'Ravichandran Ashwin', 'Suraj Randiv', 'Tim Southee', 'Shadab Jakati']",KXIP
PWI,KTK,KTK,bat,"Dr DY Patil Sports Academy, Mumbai",8:00 PM,Sudhir Asnani,Paul Reiffel,Billy Doctrove,Javagal Srinath,"['Graeme Smith', 'Jesse Ryder', 'Mithun Manhas', 'Robin Uthappa', 'Yuvraj Singh', 'Mohnish Mishra', 'Rahul Sharma', 'Wayne Parnell', 'Murali Kartik', 'Shrikant Wagh', 'Alfonso Thomas']","['Brendon McCullum', 'VVS Laxman', 'Mahela Jayawardene', 'Brad Hodge', 'Ravindra Jadeja', 'Raiphi Gomez', 'Parthiv Patel', 'RP Singh', 'Muttiah Muralitharan', 'Vinay Kumar', 'S Sreesanth']",PWI
