url,match_id,team_1,team_2,win_runs,win_wickets,winner,match_drawn,match_abandoned,no_result,toss_winner,winner_choice,series,pom,match_number,city,date,day_night
https://www.espncricinfo.com/series/8048/scorecard/501271/chennai-super-kings-vs-royal-challengers-bangalore-final-indian-premier-league-2011,501271,Chennai Super Kings,Royal Challengers Bangalore,58,NA,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2011,Murali Vijay,Final,Chennai,May 28 2011,N
https://www.espncricinfo.com/series/8048/scorecard/501248/kings-xi-punjab-vs-pune-warriors-51st-match-indian-premier-league-2011,501248,Kings XI Punjab,Pune Warriors,NA,5,Pune Warriors,NA,NA,NA,Kings XI Punjab,Bat,Indian Premier League 2011,Rahul Sharma,51,Mohali,May 8 2011,N
https://www.espncricinfo.com/series/8048/scorecard/501250/deccan-chargers-vs-pune-warriors-53rd-match-indian-premier-league-2011,501250,Deccan Chargers,Pune Warriors,NA,6,Pune Warriors,NA,NA,NA,Deccan Chargers,Bat,Indian Premier League 2011,Mitchell Marsh,53,Hyderabad (Deccan),May 10 2011,D/N
https://www.espncricinfo.com/series/8048/scorecard/501249/rajasthan-royals-vs-chennai-super-kings-52nd-match-indian-premier-league-2011,501249,Chennai Super Kings,Rajasthan Royals,63,NA,Chennai Super Kings,NA,NA,NA,Rajasthan Royals,Field,Indian Premier League 2011,Murali Vijay,52,Jaipur,May 9 2011,N
https://www.espncricinfo.com/series/8048/scorecard/501246/mumbai-indians-vs-delhi-daredevils-49th-match-indian-premier-league-2011,501246,Mumbai Indians,Delhi Daredevils,32,NA,Mumbai Indians,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2011,Ambati Rayudu,49,Mumbai,May 7 2011,N
https://www.espncricinfo.com/series/8048/scorecard/501251/kings-xi-punjab-vs-mumbai-indians-54th-match-indian-premier-league-2011,501251,Kings XI Punjab,Mumbai Indians,76,NA,Kings XI Punjab,NA,NA,NA,Mumbai Indians,Field,Indian Premier League 2011,Bhargav Bhatt,54,Mohali,May 10 2011,N
https://www.espncricinfo.com/series/8048/scorecard/501255/royal-challengers-bangalore-vs-kolkata-knight-riders-58th-match-indian-premier-league-2011,501255,Kolkata Knight Riders,Royal Challengers Bangalore,NA,4,Royal Challengers Bangalore,NA,NA,NA,Royal Challengers Bangalore,Field,Indian Premier League 2011,Chris Gayle,58,Bengaluru,May 14 2011,D/N
https://www.espncricinfo.com/series/8048/scorecard/501244/royal-challengers-bangalore-vs-kings-xi-punjab-47th-match-indian-premier-league-2011,501244,Royal Challengers Bangalore,Kings XI Punjab,85,NA,Royal Challengers Bangalore,NA,NA,NA,Kings XI Punjab,Field,Indian Premier League 2011,Chris Gayle,47,Bengaluru,May 6 2011,N
https://www.espncricinfo.com/series/8048/scorecard/501253/chennai-super-kings-vs-delhi-daredevils-56th-match-indian-premier-league-2011,501253,Chennai Super Kings,Delhi Daredevils,18,NA,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2011,MS Dhoni,56,Chennai,May 12 2011,N
https://www.espncricinfo.com/series/8048/scorecard/501252/rajasthan-royals-vs-royal-challengers-bangalore-55th-match-indian-premier-league-2011,501252,Rajasthan Royals,Royal Challengers Bangalore,NA,9,Royal Challengers Bangalore,NA,NA,NA,Royal Challengers Bangalore,Field,Indian Premier League 2011,Sreenath Aravind,55,Jaipur,May 11 2011,N
https://www.espncricinfo.com/series/8048/scorecard/501243/deccan-chargers-vs-delhi-daredevils-46th-match-indian-premier-league-2011,501243,Deccan Chargers,Delhi Daredevils,NA,4,Delhi Daredevils,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2011,Virender Sehwag,46,Hyderabad (Deccan),May 5 2011,N
https://www.espncricinfo.com/series/8048/scorecard/501245/kolkata-knight-riders-vs-chennai-super-kings-48th-match-indian-premier-league-2011,501245,Chennai Super Kings,Kolkata Knight Riders,10,NA,Kolkata Knight Riders,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2011,Iqbal Abdulla,48,Kolkata,May 7 2011,D/N
https://www.espncricinfo.com/series/8048/scorecard/501257/kings-xi-punjab-vs-delhi-daredevils-60th-match-indian-premier-league-2011,501257,Kings XI Punjab,Delhi Daredevils,29,NA,Kings XI Punjab,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2011,Piyush Chawla,60,Dharamsala,May 15 2011,D/N
https://www.espncricinfo.com/series/8048/scorecard/501198/chennai-super-kings-vs-kolkata-knight-riders-1st-match-indian-premier-league-2011,501198,Chennai Super Kings,Kolkata Knight Riders,2,NA,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2011,Srikkanth Anirudha,1,Chennai,Apr 8 2011,N
https://www.espncricinfo.com/series/8048/scorecard/501199/deccan-chargers-vs-rajasthan-royals-2nd-match-indian-premier-league-2011,501199,Deccan Chargers,Rajasthan Royals,NA,8,Rajasthan Royals,NA,NA,NA,Rajasthan Royals,Field,Indian Premier League 2011,Siddharth Trivedi,2,Hyderabad (Deccan),Apr 9 2011,D/N
https://www.espncricinfo.com/series/8048/scorecard/501206/kings-xi-punjab-vs-chennai-super-kings-9th-match-indian-premier-league-2011,501206,Chennai Super Kings,Kings XI Punjab,NA,6,Kings XI Punjab,NA,NA,NA,Kings XI Punjab,Field,Indian Premier League 2011,Paul Valthaty,9,Mohali,Apr 13 2011,D/N
https://www.espncricinfo.com/series/8048/scorecard/501256/mumbai-indians-vs-deccan-chargers-59th-match-indian-premier-league-2011,501256,Deccan Chargers,Mumbai Indians,10,NA,Deccan Chargers,NA,NA,NA,Deccan Chargers,Bat,Indian Premier League 2011,Amit Mishra,59,Mumbai,May 14 2011,N
https://www.espncricinfo.com/series/8048/scorecard/501205/royal-challengers-bangalore-vs-mumbai-indians-8th-match-indian-premier-league-2011,501205,Royal Challengers Bangalore,Mumbai Indians,NA,9,Mumbai Indians,NA,NA,NA,Mumbai Indians,Field,Indian Premier League 2011,Sachin Tendulkar,8,Bengaluru,Apr 12 2011,N
https://www.espncricinfo.com/series/8048/scorecard/501202/pune-warriors-vs-kings-xi-punjab-5th-match-indian-premier-league-2011,501202,Kings XI Punjab,Pune Warriors,NA,7,Pune Warriors,NA,NA,NA,Kings XI Punjab,Bat,Indian Premier League 2011,Shrikant Wagh,5,Mumbai,Apr 10 2011,N
