Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb,50,100,0,4_haul,5_haul,BSR,BWA,hard_hit,bat_consistency,pca_bat,Bowl_index,bowl_consistency,bowl_pca
LMP Simmons,0,137.0,112.0,10.0,8.0,121.23893805309736,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5457886408954699,0.506994212633017,0.2768383663617447,-0.9531168085129494,1.0194106294128047,-0.6226097527032747
PA Patel,0,325.0,249.0,40.0,7.0,130.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.864668916472231,0.6681092535568364,1.454856465928245,-0.9531168085129494,1.0185448356338174,-0.6226097527032747
AT Rayudu,0,91.0,78.0,7.0,3.0,115.18987341772151,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18245754290574706,0.3760046591560101,-0.03749307469469302,-0.9531168085129494,1.0200846124276755,-0.6226097527032747
RG Sharma,0,328.0,260.0,31.0,9.0,125.67049808429118,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.47874982942311,0.5723575884943162,1.431444099029381,-0.9531168085129494,1.0189577212334129,-0.6226097527032747
KH Pandya,0,214.0,159.0,22.0,6.0,133.75,20.0,36.0,0.0,259.0,7.0,7.0,61.0,18.0,6.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,27.0,32.375,0.720268446428377,0.7109077980072264,0.776195084644934,0.6983396192478724,-0.428102158323553,0.37547468003487994
KA Pollard,0,370.0,265.0,24.0,22.0,139.09774436090225,26.0,1.5,0.0,30.0,0.0,12.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,9.0,30.0,0.6973013387001759,0.8200791167340384,1.7386559230838647,0.3157988647948007,-1.644185134833017,0.6270109839505973
HH Pandya,0,246.0,155.0,11.0,20.0,157.69230769230768,26.0,26.0,0.0,213.0,6.0,7.888888888888889,51.0,18.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,22.285714285714285,30.428571428571427,0.9837209805320551,1.1446845986306953,1.0555481869983832,0.5547325661179219,-0.778840191635821,0.32761445394250555
KV Sharma,0,49.0,41.0,5.0,2.0,116.66666666666667,14.0,30.4,0.0,214.0,13.0,6.815286624203822,78.0,12.0,11.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,13.028571428571427,15.285714285714286,0.6277040425541117,0.4178905419601327,-0.2773040758656318,-0.07906847641671876,-0.49592630449106617,-0.720397207943961
MG Johnson,0,20.0,17.0,1.0,1.0,111.11111111111111,7.0,20.0,1.0,141.0,7.0,6.714285714285714,58.0,16.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,17.625,0.010608016725676262,0.2790389039983319,-0.4784859492773802,0.025672136969184148,-0.8194941335556704,-0.3089765300306304
AM Rahane,0,382.0,323.0,35.0,9.0,117.90123456790123,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2848729170938698,0.4251298780185104,1.7063068698619355,-0.9531168085129494,1.0197740339905308,-0.6226097527032747
RA Tripathi,0,391.0,267.0,43.0,17.0,145.8955223880597,21.0,1.0,0.0,12.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,12.0,1.2632208452729483,0.9732365071831238,1.9387538307301726,-0.3559800210740082,-1.5328951320193436,-0.03990914224169894
SPD Smith,0,472.0,387.0,38.0,12.0,121.64948453608247,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20782427240280504,0.4980884954131405,2.238825758433809,-0.9531168085129494,1.0193672957285884,-0.6226097527032747
MS Dhoni,0,290.0,250.0,15.0,16.0,115.5378486055777,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14828681133281732,0.37929743790431847,1.13598779370064,-0.9531168085129494,1.0200439445436065,-0.6226097527032747
MK Tiwary,0,324.0,236.0,31.0,11.0,136.70886075949366,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.7448741740405236,0.7677026209542253,1.456740411466564,-0.9531168085129494,1.0179563251944983,-0.6226097527032747
DT Christian,0,79.0,49.0,5.0,5.0,158.0,19.0,40.0,0.0,298.0,11.0,7.2682926829268295,79.0,20.0,9.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,24.833333333333332,0.9979616580511732,1.1311116889746853,0.056519822389552166,0.34320809064099866,-0.26687117315519343,-0.24561548726112933
Washington Sundar,0,9.0,12.0,0.0,0.0,69.23076923076923,17.0,30.0,0.0,185.0,8.0,5.967741935483871,85.0,17.0,6.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,20.0,20.555555555555557,-1.2235840349311946,-0.5404309414762464,-0.7071970532797031,0.20441537502311052,-0.5817232470112607,-0.3797048784216954
JJ Bumrah,0,16.0,11.0,0.0,1.0,133.33333333333331,25.0,55.2,2.0,408.0,18.0,7.259786476868327,120.0,32.0,9.0,2.0,5.0,0.0,0.0,14.0,0.0,0.0,17.431578947368422,21.473684210526315,-0.29793999618854144,0.5558262720198103,-0.41993738935741054,0.19550191777295403,0.49576530337245656,-0.9127423716485338
SL Malinga,0,7.0,2.0,0.0,1.0,233.33333333333334,19.0,40.5,0.0,349.0,9.0,8.409638554216867,87.0,25.0,15.0,12.0,2.0,0.0,0.0,10.0,0.0,0.0,24.3,34.9,2.478992120039418,2.46329606898054,-0.08658727787941102,0.7290582900775942,-0.2836955431000786,0.12245002250786363
LH Ferguson,0,1.0,1.0,0.0,0.0,50.0,5.0,13.0,1.0,93.0,3.0,6.642857142857143,43.0,9.0,4.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,19.5,23.25,-1.2235840349311946,-0.8361705576262642,-0.8236546262303298,0.2758120263502286,-1.0813785778757532,0.17209636605887654
A Zampa,0,5.0,7.0,1.0,0.0,62.5,11.0,19.5,0.0,163.0,7.0,7.951219512195122,39.0,8.0,9.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,14.625,20.375,0.1648820231827852,-0.5369434460027791,-0.7496440413629278,0.11553957632442406,-0.9531387140283061,-0.04981258832503679
SN Thakur,0,0.0,3.0,0.0,0.0,0.0,18.0,38.1,0.0,315.0,11.0,8.05626598465473,89.0,39.0,5.0,10.0,0.0,0.0,0.0,12.0,0.0,0.0,19.05,26.25,-1.2235840349311946,-1.7330275753848092,-1.0199198197807706,0.3744244106459832,1.231683470199377,-0.30935691041056856
JD Unadkat,0,2.0,5.0,0.0,0.0,33.33333333333333,18.0,45.5,3.0,322.0,24.0,6.924731182795699,126.0,23.0,17.0,4.0,0.0,0.0,0.0,11.0,0.0,1.0,10.92,12.88,-1.2235840349311946,-1.1680955813555296,-0.8819029906716425,-0.18866400545379589,0.45593978544024694,-1.4897347961732499
