,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
0,DR Smith,lbw b Sharma,4,4,1,0,100,1,,,,,,,,,,
1,AP Tare,b Morkel,0,1,0,0,0,1,,,,,,,,,,
2,KD Karthik,b Morris,21,26,3,0,80.76,1,,,,,,,,,,
3,RG Sharma,c & b Morkel,2,5,0,0,40,1,,,,,,,,,,
4,AT Rayudu,b Bravo,37,36,4,0,102.77,1,,,,,,,,,,
5,KA Pollard,not out,60,32,7,3,187.5,1,4,0,34,1,8.5,11,1,3,3,0
6,Harbhajan Singh,c Hussey b Bravo,14,8,3,0,175,1,3,0,14,2,4.66,11,0,1,0,0
7,R Dhawan,run out (Sharma/Morris),3,3,0,0,100,1,1,0,6,1,6,3,1,0,0,0
8,MG Johnson,c †Dhoni b Bravo,1,2,0,0,50,1,4,0,19,2,4.75,14,2,0,2,0
9,SL Malinga,c †Dhoni b Bravo,0,2,0,0,0,1,4,0,22,2,5.5,14,3,0,2,0
10,PP Ojha,not out,1,1,0,0,100,1,4,0,28,1,7,11,1,2,0,0
11,MEK Hussey,b Malinga,1,2,0,0,50,2,,,,,,,,,,
12,M Vijay,c Sharma b Johnson,18,20,2,0,90,2,,,,,,,,,,
13,SK Raina,c Smith b Malinga,0,1,0,0,0,2,,,,,,,,,,
14,S Badrinath,c †Karthik b Johnson,0,3,0,0,0,2,,,,,,,,,,
15,DJ Bravo,c Johnson b Dhawan,15,16,3,0,93.75,2,4,0,42,4,10.5,9,5,2,1,0
16,RA Jadeja,c Pollard b Harbhajan Singh,0,2,0,0,0,2,2,0,19,0,9.5,2,3,0,0,0
17,MS Dhoni,not out,63,45,3,5,140,2,,,,,,,,,,
18,JA Morkel,b Ojha,10,10,0,1,100,2,3,0,12,2,4,12,2,0,0,0
19,CH Morris,c †Karthik b Harbhajan Singh,0,1,0,0,0,2,4,0,25,1,6.25,9,2,0,1,0
20,R Ashwin,c sub (AR Patel) b Pollard,9,18,0,0,50,2,3,0,22,0,7.33,5,1,1,1,0
21,MM Sharma,not out,0,2,0,0,0,2,4,0,26,1,6.5,13,5,0,0,0
0,RV Uthappa,lbw b Malinga,11,13,1,0,84.61,1,,,,,,,,,,
1,AJ Finch,c Smith b Johnson,10,11,2,0,90.9,1,,,,,,,,,,
2,MK Pandey,c Rayudu b Malinga,29,29,1,1,100,1,,,,,,,,,,
3,Yuvraj Singh,lbw b Harbhajan Singh,33,29,1,2,113.79,1,4,0,21,1,5.25,11,1,1,0,0
4,AD Mathews,run out (Tendulkar),0,2,0,0,0,1,,,,,,,,,,
5,AM Nayar,c Harbhajan Singh b Ahmed,11,14,0,0,78.57,1,,,,,,,,,,
6,KW Richardson,c Harbhajan Singh b Johnson,8,16,0,0,50,1,3.5,0,28,1,7.3,12,3,1,1,0
7,Parvez Rasool,not out,4,5,0,0,80,1,1,0,5,0,5,1,0,0,0,0
8,B Kumar,c Smith b Ahmed,2,2,0,0,100,1,2,0,12,0,6,6,1,0,2,0
9,DR Smith,b Dinda,0,1,0,0,0,2,,,,,,,,,,
10,SR Tendulkar,c Pandey b Mendis,15,13,3,0,115.38,2,,,,,,,,,,
11,KD Karthik,c Pandey b Yuvraj Singh,17,25,1,1,68,2,,,,,,,,,,
12,RG Sharma,c Dinda b Richardson,37,41,3,0,90.24,2,,,,,,,,,,
13,AT Rayudu,c Mathews b Dinda,26,23,2,1,113.04,2,,,,,,,,,,
14,GJ Maxwell,not out,13,7,1,1,185.71,2,1,0,5,0,5,2,0,0,0,0
15,Harbhajan Singh,not out,4,3,1,0,133.33,2,4,0,14,1,3.5,11,0,0,0,0
16,AB Dinda,DNB,0,0,0,0,0,1,4,0,35,2,8.75,10,5,1,0,0
17,BAW Mendis,DNB,0,0,0,0,0,1,4,0,15,1,3.75,12,1,0,0,0
18,MG Johnson,DNB,0,0,0,0,0,2,4,0,8,2,2,16,0,0,0,0
19,SL Malinga,DNB,0,0,0,0,0,2,4,0,27,2,6.75,6,2,0,0,1
20,PP Ojha,DNB,0,0,0,0,0,2,3,0,28,0,9.33,6,0,3,0,0
21,AN Ahmed,DNB,0,0,0,0,0,2,4,0,27,2,6.75,10,3,0,0,0
0,Mandeep Singh,c & b Chandila,0,3,0,0,0,1,,,,,,,,,,
1,AC Gilchrist,c & b Cooper,42,32,6,0,131.25,1,,,,,,,,,,
2,SE Marsh,b Cooper,77,64,6,2,120.31,1,,,,,,,,,,
3,DJ Hussey,b Watson,1,3,0,0,33.33,1,,,,,,,,,,
4,DA Miller,c Rahane b Cooper,8,11,0,0,72.72,1,,,,,,,,,,
5,MS Gony,c Samson b Faulkner,3,3,0,0,100,1,2,0,22,0,11,4,1,2,0,0
6,R Sathish,not out,4,3,0,0,133.33,1,1,0,10,0,10,0,1,0,0,0
7,PP Chawla,not out,1,1,0,0,100,1,4,0,27,1,6.75,8,2,1,0,0
8,R Dravid,b Bipul Sharma,4,7,1,0,57.14,2,,,,,,,,,,
9,AM Rahane,not out,59,49,3,3,120.4,2,,,,,,,,,,
10,SR Watson,b Chawla,31,25,3,1,124,2,4,0,19,1,4.75,10,1,0,0,0
11,SV Samson,not out,47,33,5,1,142.42,2,,,,,,,,,,
12,Bipul Sharma,DNB,0,0,0,0,0,1,4,0,21,1,5.25,11,1,1,0,0
13,P Kumar,DNB,0,0,0,0,0,1,4,0,27,0,6.75,10,3,0,1,0
14,P Awana,DNB,0,0,0,0,0,1,4,0,39,0,9.75,7,4,1,2,0
15,BJ Hodge,DNB,0,0,0,0,0,2,,,,,,,,,,
16,DH Yagnik,DNB,0,0,0,0,0,2,,,,,,,,,,
17,KK Cooper,DNB,0,0,0,0,0,2,4,0,23,3,5.75,6,0,0,2,0
18,JP Faulkner,DNB,0,0,0,0,0,2,4,0,37,1,9.25,8,4,1,1,0
19,A Chandila,DNB,0,0,0,0,0,2,4,0,24,1,6,11,1,1,0,0
20,S Sreesanth,DNB,0,0,0,0,0,2,2,0,18,0,9,6,4,0,0,0
21,SK Trivedi,DNB,0,0,0,0,0,2,2,0,18,0,9,2,2,0,0,0
0,MEK Hussey,b Perera,67,42,5,4,159.52,1,,,,,,,,,,
1,M Vijay,c †Patel b Perera,29,20,2,3,145,1,,,,,,,,,,
2,SK Raina,not out,99,52,11,3,190.38,1,1,0,4,1,4,2,0,0,0,0
3,MS Dhoni,c KV Sharma b Perera,4,3,0,0,133.33,1,,,,,,,,,,
4,RA Jadeja,not out,14,6,3,0,233.33,1,2,0,14,0,7,6,1,1,0,0
5,PA Patel,c Vijay b Sharma,44,30,6,1,146.66,2,,,,,,,,,,
6,S Dhawan,run out (†Dhoni),3,3,0,0,100,2,,,,,,,,,,
7,KC Sangakkara,c Morris b Ashwin,3,9,0,0,33.33,2,,,,,,,,,,
8,GH Vihari,c Vijay b Raina,3,8,0,0,37.5,2,,,,,,,,,,
9,DJG Sammy,c Morris b Sharma,7,3,0,1,233.33,2,2,0,33,0,16.5,1,4,1,1,1
10,NLTC Perera,c Badrinath b Bravo,23,13,1,2,176.92,2,4,0,45,3,11.25,8,6,1,0,1
11,KV Sharma,not out,39,33,3,1,118.18,2,2,0,19,0,9.5,4,0,2,1,0
12,A Mishra,run out (Jadeja),6,8,0,0,75,2,4,0,41,0,10.25,3,3,1,0,1
13,DW Steyn,c Holder b Morris,14,13,1,1,107.69,2,4,1,17,0,4.25,13,2,0,0,0
14,I Sharma,not out,0,0,0,0,0,2,4,0,66,0,16.5,5,6,5,3,0
15,S Badrinath,DNB,0,0,0,0,0,1,,,,,,,,,,
16,DJ Bravo,DNB,0,0,0,0,0,1,4,0,25,1,6.25,9,1,1,0,0
17,CH Morris,DNB,0,0,0,0,0,1,2,0,24,1,12,3,1,2,1,0
18,R Ashwin,DNB,0,0,0,0,0,1,4,0,23,1,5.75,8,2,0,1,0
19,JO Holder,DNB,0,0,0,0,0,1,3,0,28,0,9.33,8,3,1,1,0
20,MM Sharma,DNB,0,0,0,0,0,1,4,0,28,2,7,12,3,1,1,0
21,A Ashish Reddy,DNB,0,0,0,0,0,2,,,,,,,,,,
0,PA Patel,run out (Sathish/Harmeet Singh),61,47,5,2,129.78,1,,,,,,,,,,
1,S Dhawan,c & b Harmeet Singh,15,14,2,0,107.14,1,,,,,,,,,,
2,GH Vihari,c Miller b Sandeep Sharma,5,7,1,0,71.42,1,2,0,5,0,2.5,8,0,0,1,0
3,CL White,lbw b Sandeep Sharma,10,8,2,0,125,1,,,,,,,,,,
4,BB Samantray,b Sandeep Sharma,0,1,0,0,0,1,,,,,,,,,,
5,DJG Sammy,lbw b Chawla,0,3,0,0,0,1,4,0,22,4,5.5,12,1,1,0,0
6,KV Sharma,c †Gilchrist b Awana,22,18,2,1,122.22,1,1,0,6,0,6,3,0,0,0,0
7,NLTC Perera,not out,32,19,2,2,168.42,1,4,0,19,1,4.75,12,2,0,0,0
8,DW Steyn,not out,1,3,0,0,33.33,1,4,0,20,2,5,13,2,0,1,0
9,AC Gilchrist,b Sammy,26,22,4,0,118.18,2,,,,,,,,,,
10,Mandeep Singh,c White b Steyn,0,2,0,0,0,2,,,,,,,,,,
11,SE Marsh,c Perera b Sammy,18,20,3,0,90,2,,,,,,,,,,
12,LA Pomersbach,not out,33,40,1,1,82.5,2,,,,,,,,,,
13,DA Miller,c White b Sammy,6,7,1,0,85.71,2,,,,,,,,,,
14,R Sathish,run out (Perera/†Patel),25,18,1,2,138.88,2,,,,,,,,,,
15,PP Chawla,c Dhawan b Perera,0,2,0,0,0,2,4,0,20,1,5,10,0,0,0,0
16,P Kumar,b Steyn,1,3,0,0,33.33,2,4,0,32,0,8,9,3,1,1,0
17,Harmeet Singh,run out (I Sharma/Sammy),3,4,0,0,75,2,4,0,39,1,9.75,8,4,2,0,0
18,P Awana,c I Sharma b Sammy,0,1,0,0,0,2,4,0,35,1,8.75,11,4,2,0,0
19,Sandeep Sharma,not out,0,1,0,0,0,2,4,0,21,3,5.25,13,3,0,0,0
20,A Mishra,DNB,0,0,0,0,0,1,2,0,20,0,10,5,1,2,0,0
21,I Sharma,DNB,0,0,0,0,0,1,3,0,22,0,7.33,10,4,0,0,0
0,MS Bisla,st †Rawat b Kumar,12,13,2,0,92.3,1,,,,,,,,,,
1,G Gambhir,c Mathews b Marsh,50,44,6,0,113.63,1,,,,,,,,,,
2,JH Kallis,c Mathews b Parvez Rasool,2,6,0,0,33.33,1,4,0,27,2,6.75,8,0,2,0,1
3,EJG Morgan,c Uthappa b Marsh,15,15,1,0,100,1,,,,,,,,,,
4,RN ten Doeschate,c Upadhyay b Kumar,31,21,3,1,147.61,1,1,0,3,0,3,3,0,0,0,0
5,YK Pathan,c †Rawat b Kumar,3,6,0,0,50,1,,,,,,,,,,
6,MK Tiwary,not out,15,10,2,0,150,1,,,,,,,,,,
7,R Bhatia,not out,13,5,1,1,260,1,3,0,19,1,6.33,4,0,1,0,0
8,RV Uthappa,c Gambhir b Iqbal Abdulla,31,35,2,0,88.57,2,,,,,,,,,,
9,AJ Finch,b Kallis,5,5,1,0,100,2,,,,,,,,,,
10,Yuvraj Singh,c †Bisla b Balaji,1,2,0,0,50,2,,,,,,,,,,
11,UA Birla,b Iqbal Abdulla,7,14,1,0,50,2,,,,,,,,,,
12,AD Mathews,c Tiwary b Narine,40,28,0,4,142.85,2,4,0,31,0,7.75,9,2,1,0,0
13,MR Marsh,c Tiwary b Bhatia,5,8,0,0,62.5,2,2,0,7,2,3.5,6,0,0,0,0
14,M Rawat,c †Bisla b Kallis,5,11,0,0,45.45,2,,,,,,,,,,
15,WD Parnell,c Tiwary b Narine,5,7,0,0,71.42,2,4,0,40,0,10,5,4,1,2,0
