url,match_id,team_1,team_2,win_runs,win_wickets,winner,match_drawn,match_abandoned,no_result,toss_winner,winner_choice,series,pom,match_number,city,date,day_night
https://www.espncricinfo.com/series/8048/scorecard/734049/kolkata-knight-riders-vs-kings-xi-punjab-final-pepsi-indian-premier-league-2014,734049,Kings XI Punjab,Kolkata Knight Riders,NA,3,Kolkata Knight Riders,NA,NA,NA,Kolkata Knight Riders,Field,Pepsi Indian Premier League 2014,Manish Pandey,Final,Bengaluru,Jun 1 2014,N
https://www.espncricinfo.com/series/8048/scorecard/733973/mumbai-indians-vs-kings-xi-punjab-22nd-match-pepsi-indian-premier-league-2014,733973,Kings XI Punjab,Mumbai Indians,NA,5,Mumbai Indians,NA,NA,NA,Kings XI Punjab,Bat,Pepsi Indian Premier League 2014,Corey Anderson,22,Mumbai,May 3 2014,D/N
https://www.espncricinfo.com/series/8048/scorecard/729317/mumbai-indians-vs-sunrisers-hyderabad-20th-match-pepsi-indian-premier-league-2014,729317,Sunrisers Hyderabad,Mumbai Indians,15,NA,Sunrisers Hyderabad,NA,NA,NA,Mumbai Indians,Field,Pepsi Indian Premier League 2014,Bhuvneshwar Kumar,20,Dubai (DSC),Apr 30 2014,N
https://www.espncricinfo.com/series/8048/scorecard/729313/kings-xi-punjab-vs-royal-challengers-bangalore-18th-match-pepsi-indian-premier-league-2014,729313,Royal Challengers Bangalore,Kings XI Punjab,NA,5,Kings XI Punjab,NA,NA,NA,Kings XI Punjab,Field,Pepsi Indian Premier League 2014,Sandeep Sharma,18,Dubai (DSC),Apr 28 2014,N
https://www.espncricinfo.com/series/8048/scorecard/729311/sunrisers-hyderabad-vs-chennai-super-kings-17th-match-pepsi-indian-premier-league-2014,729311,Sunrisers Hyderabad,Chennai Super Kings,NA,5,Chennai Super Kings,NA,NA,NA,Sunrisers Hyderabad,Bat,Pepsi Indian Premier League 2014,Dwayne Smith,17,Sharjah,Apr 27 2014,N
https://www.espncricinfo.com/series/8048/scorecard/733977/royal-challengers-bangalore-vs-sunrisers-hyderabad-24th-match-pepsi-indian-premier-league-2014,733977,Sunrisers Hyderabad,Royal Challengers Bangalore,NA,4,Royal Challengers Bangalore,NA,NA,NA,Royal Challengers Bangalore,Field,Pepsi Indian Premier League 2014,AB de Villiers,24,Bengaluru,May 4 2014,N
https://www.espncricinfo.com/series/8048/scorecard/733971/chennai-super-kings-vs-kolkata-knight-riders-21st-match-pepsi-indian-premier-league-2014,733971,Chennai Super Kings,Kolkata Knight Riders,34,NA,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Bat,Pepsi Indian Premier League 2014,Ravindra Jadeja,21,Ranchi,May 2 2014,N
https://www.espncricinfo.com/series/8048/scorecard/733975/delhi-daredevils-vs-rajasthan-royals-23rd-match-pepsi-indian-premier-league-2014,733975,Delhi Daredevils,Rajasthan Royals,NA,7,Rajasthan Royals,NA,NA,NA,Rajasthan Royals,Field,Pepsi Indian Premier League 2014,Karun Nair,23,Delhi,May 3 2014,N
https://www.espncricinfo.com/series/8048/scorecard/733987/kings-xi-punjab-vs-chennai-super-kings-29th-match-pepsi-indian-premier-league-2014,733987,Kings XI Punjab,Chennai Super Kings,44,NA,Kings XI Punjab,NA,NA,NA,Chennai Super Kings,Field,Pepsi Indian Premier League 2014,Glenn Maxwell,29,Cuttack,May 7 2014,N
https://www.espncricinfo.com/series/8048/scorecard/729279/mumbai-indians-vs-kolkata-knight-riders-1st-match-pepsi-indian-premier-league-2014,729279,Kolkata Knight Riders,Mumbai Indians,41,NA,Kolkata Knight Riders,NA,NA,NA,Kolkata Knight Riders,Bat,Pepsi Indian Premier League 2014,Jacques Kallis,1,Abu Dhabi,Apr 16 2014,N
https://www.espncricinfo.com/series/8048/scorecard/733983/mumbai-indians-vs-royal-challengers-bangalore-27th-match-pepsi-indian-premier-league-2014,733983,Mumbai Indians,Royal Challengers Bangalore,19,NA,Mumbai Indians,NA,NA,NA,Royal Challengers Bangalore,Field,Pepsi Indian Premier League 2014,Rohit Sharma,27,Mumbai,May 6 2014,N
https://www.espncricinfo.com/series/8048/scorecard/733981/delhi-daredevils-vs-chennai-super-kings-26th-match-pepsi-indian-premier-league-2014,733981,Delhi Daredevils,Chennai Super Kings,NA,8,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Field,Pepsi Indian Premier League 2014,Dwayne Smith,26,Delhi,May 5 2014,N
https://www.espncricinfo.com/series/8048/scorecard/733985/delhi-daredevils-vs-kolkata-knight-riders-28th-match-pepsi-indian-premier-league-2014,733985,Delhi Daredevils,Kolkata Knight Riders,NA,8,Kolkata Knight Riders,NA,NA,NA,Delhi Daredevils,Bat,Pepsi Indian Premier League 2014,Gautam Gambhir,28,Delhi,May 7 2014,D/N
https://www.espncricinfo.com/series/8048/scorecard/733979/rajasthan-royals-vs-kolkata-knight-riders-25th-match-pepsi-indian-premier-league-2014,733979,Rajasthan Royals,Kolkata Knight Riders,10,NA,Rajasthan Royals,NA,NA,NA,Kolkata Knight Riders,Field,Pepsi Indian Premier League 2014,Pravin Tambe,25,Ahmedabad,May 5 2014,D/N
https://www.espncricinfo.com/series/8048/scorecard/729281/delhi-daredevils-vs-royal-challengers-bangalore-2nd-match-pepsi-indian-premier-league-2014,729281,Delhi Daredevils,Royal Challengers Bangalore,NA,8,Royal Challengers Bangalore,NA,NA,NA,Royal Challengers Bangalore,Field,Pepsi Indian Premier League 2014,Yuzvendra Chahal,2,Sharjah,Apr 17 2014,N
https://www.espncricinfo.com/series/8048/scorecard/729285/sunrisers-hyderabad-vs-rajasthan-royals-4th-match-pepsi-indian-premier-league-2014,729285,Sunrisers Hyderabad,Rajasthan Royals,NA,4,Rajasthan Royals,NA,NA,NA,Rajasthan Royals,Field,Pepsi Indian Premier League 2014,Ajinkya Rahane,4,Abu Dhabi,Apr 18 2014,N
https://www.espncricinfo.com/series/8048/scorecard/729287/royal-challengers-bangalore-vs-mumbai-indians-5th-match-pepsi-indian-premier-league-2014,729287,Mumbai Indians,Royal Challengers Bangalore,NA,7,Royal Challengers Bangalore,NA,NA,NA,Royal Challengers Bangalore,Field,Pepsi Indian Premier League 2014,Parthiv Patel,5,Dubai (DSC),Apr 19 2014,DSC
https://www.espncricinfo.com/series/8048/scorecard/733989/rajasthan-royals-vs-sunrisers-hyderabad-30th-match-pepsi-indian-premier-league-2014,733989,Sunrisers Hyderabad,Rajasthan Royals,32,NA,Sunrisers Hyderabad,NA,NA,NA,Rajasthan Royals,Field,Pepsi Indian Premier League 2014,Bhuvneshwar Kumar,30,Ahmedabad,May 8 2014,N
https://www.espncricinfo.com/series/8048/scorecard/729291/rajasthan-royals-vs-kings-xi-punjab-7th-match-pepsi-indian-premier-league-2014,729291,Rajasthan Royals,Kings XI Punjab,NA,7,Kings XI Punjab,NA,NA,NA,Kings XI Punjab,Field,Pepsi Indian Premier League 2014,Glenn Maxwell,7,Sharjah,Apr 20 2014,N
https://www.espncricinfo.com/series/8048/scorecard/729295/kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-pepsi-indian-premier-league-2014,729295,Kings XI Punjab,Sunrisers Hyderabad,72,NA,Kings XI Punjab,NA,NA,NA,Sunrisers Hyderabad,Field,Pepsi Indian Premier League 2014,Glenn Maxwell,9,Sharjah,Apr 22 2014,N
https://www.espncricinfo.com/series/8048/scorecard/729299/royal-challengers-bangalore-vs-kolkata-knight-riders-11th-match-pepsi-indian-premier-league-2014,729299,Kolkata Knight Riders,Royal Challengers Bangalore,2,NA,Kolkata Knight Riders,NA,NA,NA,Royal Challengers Bangalore,Field,Pepsi Indian Premier League 2014,Chris Lynn,11,Sharjah,Apr 24 2014,N
https://www.espncricinfo.com/series/8048/scorecard/729289/kolkata-knight-riders-vs-delhi-daredevils-6th-match-pepsi-indian-premier-league-2014,729289,Kolkata Knight Riders,Delhi Daredevils,NA,4,Delhi Daredevils,NA,NA,NA,Kolkata Knight Riders,Bat,Pepsi Indian Premier League 2014,Jean-Paul Duminy,6,Dubai (DSC),Apr 19 2014,N
https://www.espncricinfo.com/series/8048/scorecard/729301/sunrisers-hyderabad-vs-delhi-daredevils-12th-match-pepsi-indian-premier-league-2014,729301,Sunrisers Hyderabad,Delhi Daredevils,4,NA,Sunrisers Hyderabad,NA,NA,NA,Sunrisers Hyderabad,Bat,Pepsi Indian Premier League 2014,Aaron Finch,12,Dubai (DSC),Apr 25 2014,DSC
https://www.espncricinfo.com/series/8048/scorecard/729293/chennai-super-kings-vs-delhi-daredevils-8th-match-pepsi-indian-premier-league-2014,729293,Chennai Super Kings,Delhi Daredevils,93,NA,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Bat,Pepsi Indian Premier League 2014,Suresh Raina,8,Abu Dhabi,Apr 21 2014,N
https://www.espncricinfo.com/series/8048/scorecard/729307/kolkata-knight-riders-vs-kings-xi-punjab-15th-match-pepsi-indian-premier-league-2014,729307,Kings XI Punjab,Kolkata Knight Riders,23,NA,Kings XI Punjab,NA,NA,NA,Kolkata Knight Riders,Field,Pepsi Indian Premier League 2014,Sandeep Sharma,15,Abu Dhabi,Apr 26 2014,N
