Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb,50,100,0,4_haul,5_haul,BSR,BWA,hard_hit,bat_consistency,pca_bat,Bowl_index,bowl_consistency,bowl_pca
SB Jakati,0,1.0,2.0,0.0,0.0,33.33333333333333,11.0,20.0,0.0,178.0,2.0,8.476190476190476,33.0,12.0,9.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,40.0,59.333333333333336,-1.233506321295029,-1.06715775466425,-0.8033501402601384,1.6379098188150403,-1.00803722342724,1.7203853377467697
IK Pathan,0,11.0,13.0,0.0,0.0,78.57142857142857,6.0,8.0,0.0,61.0,0.0,6.777777777777778,18.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,61.0,-1.233506321295029,-0.3109255156461165,-0.601063192032801,1.8338832765636797,-1.4456717840367839,2.112384962258738
SP Narine,0,7.0,13.0,0.0,0.0,50.0,18.0,42.4,0.0,304.0,11.0,7.0046082949308754,113.0,26.0,11.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,21.2,25.333333333333332,-1.233506321295029,-0.8169984317051076,-0.7176965320583187,0.30313940864430766,-0.18989481055009833,-0.5794283462019669
AS Rajpoot,0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,98.0,3.0,8.166666666666666,21.0,10.0,1.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,16.5,24.5,-1.233506321295029,-1.5992763145180182,-0.9218048771029748,0.19563105456733085,0.250096307048013,0.28007757755278756
LMP Simmons,0,8.0,8.0,0.0,1.0,88.88888888888889,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05664324944934529,-0.04956050872875589,-0.5759464662925712,-1.0135876414016174,0.9763218924896961,-0.6849071043545125
S Gopal,0,2.0,16.0,0.0,0.0,11.76470588235294,1.0,3.0,0.0,18.0,0.0,4.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,-1.233506321295029,-1.3837851330257962,-0.8720835826680566,-0.01751935963736508,-1.4123657197592085,0.2839967459302359
R Vinay Kumar,0,13.0,12.0,0.0,1.0,100.0,3.0,9.0,1.0,64.0,3.0,6.4,26.0,7.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,13.5,16.0,-0.34032584924123127,0.09639294241103032,-0.5140392899555275,-0.1306530410229345,-1.1997861517656974,-0.09751743494733321
SS Iyer,0,30.0,43.0,2.0,1.0,68.18181818181817,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.44182363015643566,-0.43727855030275786,-0.5323237415441758,-1.0135876414016174,0.9815003006919744,-0.6849071043545125
MJ Guptill,0,57.0,55.0,3.0,3.0,101.78571428571428,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010566479065617638,0.15562465023591598,-0.275055891725944,-1.0135876414016174,0.974151093308983,-0.6849071043545125
SE Marsh,0,159.0,134.0,13.0,4.0,117.77777777777779,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2286631922152618,0.43150623373806857,0.3210338502834553,-1.0135876414016174,0.972113994238709,-0.6849071043545125
