,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
0,LMP Simmons,b Smith,68,45,8,3,151.11,1,,,,,,,,,,
1,PA Patel,run out (du Plessis),0,3,0,0,0,1,,,,,,,,,,
2,RG Sharma,c Jadeja b Bravo,50,26,6,2,192.3,1,,,,,,,,,,
3,KA Pollard,c Raina b Sharma,36,18,2,3,200,1,,,,,,,,,,
4,AT Rayudu,not out,36,24,0,3,150,1,,,,,,,,,,
5,HH Pandya,c Raina b Bravo,0,2,0,0,0,1,4,0,36,0,9,9,6,0,0,1
6,Harbhajan Singh,not out,6,3,0,1,200,1,4,0,34,2,8.5,7,3,1,1,0
7,DR Smith,lbw b Harbhajan Singh,57,48,9,1,118.75,2,2,0,17,1,8.5,4,0,1,0,0
8,MEK Hussey,c Suchith b McClenaghan,4,9,1,0,44.44,2,,,,,,,,,,
9,SK Raina,st †Patel b Harbhajan Singh,28,19,3,1,147.36,2,,,,,,,,,,
10,MS Dhoni,b Malinga,18,13,1,1,138.46,2,,,,,,,,,,
11,DJ Bravo,c Simmons b McClenaghan,9,6,0,1,150,2,4,0,36,2,9,8,3,2,0,0
12,P Negi,c Pandya b Malinga,3,5,0,0,60,2,2,0,18,0,9,2,1,1,0,0
13,F du Plessis,c Sharma b Vinay Kumar,1,3,0,0,33.33,2,,,,,,,,,,
14,RA Jadeja,not out,11,8,1,0,137.5,2,2,0,26,0,13,3,4,1,0,0
15,R Ashwin,c Suchith b McClenaghan,2,4,0,0,50,2,2,0,21,0,10.5,6,1,2,0,1
16,MM Sharma,not out,21,7,1,2,300,2,4,0,38,1,9.5,9,3,2,0,0
17,J Suchith,DNB,0,0,0,0,0,1,,,,,,,,,,
18,MJ McClenaghan,DNB,0,0,0,0,0,1,4,0,25,3,6.25,15,2,2,0,0
19,R Vinay Kumar,DNB,0,0,0,0,0,1,4,0,39,1,9.75,10,4,2,1,0
20,SL Malinga,DNB,0,0,0,0,0,1,4,0,25,2,6.25,11,1,1,1,1
21,A Nehra,DNB,0,0,0,0,0,2,4,0,41,0,10.25,10,4,3,0,0
0,LMP Simmons,c Patel b Anureet Singh,71,56,9,1,126.78,1,,,,,,,,,,
1,PA Patel,c Vijay b Karanveer Singh,59,36,5,3,163.88,1,,,,,,,,,,
2,RG Sharma,c Anureet Singh b Johnson,26,20,2,0,130,1,,,,,,,,,,
3,KA Pollard,not out,7,7,0,0,100,1,1,0,7,0,7,1,0,0,0,0
4,AT Rayudu,not out,4,1,1,0,400,1,,,,,,,,,,
5,M Vijay,c Chand b Harbhajan Singh,39,34,3,1,114.7,2,1,0,12,0,12,1,2,0,0,0
6,V Sehwag,c Pollard b Malinga,2,5,0,0,40,2,,,,,,,,,,
7,GJ Maxwell,c Vinay Kumar b Suchith,12,9,2,0,133.33,2,1,0,8,0,8,3,0,1,0,0
8,DA Miller,c Sharma b Malinga,43,37,3,1,116.21,2,,,,,,,,,,
9,GJ Bailey,run out (†Patel),21,18,1,0,116.66,2,,,,,,,,,,
10,WP Saha,run out (Suchith/Vinay Kumar),12,12,1,0,100,2,,,,,,,,,,
11,AR Patel,run out (Malinga),0,1,0,0,0,2,3,0,24,0,8,3,0,1,0,0
12,MG Johnson,not out,8,4,0,1,200,2,4,0,41,1,10.25,9,4,2,0,0
13,UBT Chand,DNB,0,0,0,0,0,1,,,,,,,,,,
14,Harbhajan Singh,DNB,0,0,0,0,0,1,4,0,27,1,6.75,9,3,0,0,0
15,J Suchith,DNB,0,0,0,0,0,1,4,0,33,1,8.25,6,1,2,1,0
16,R Vinay Kumar,DNB,0,0,0,0,0,1,3,0,17,0,5.66,9,1,1,0,0
17,MJ McClenaghan,DNB,0,0,0,0,0,1,4,0,25,0,6.25,10,2,0,1,0
18,SL Malinga,DNB,0,0,0,0,0,1,4,0,31,2,7.75,7,3,0,1,0
