team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
CSK,MI,MI,bowl,"MA Chidambaram Stadium, Chennai",8:00 PM,Simon Taufel,Johanes Cloete,Sundaram Ravi,Ranjan Madugalle,"['Murali Vijay', 'Faf du Plessis', 'S Badrinath', 'Suresh Raina', 'MS Dhoni', 'Albie Morkel', 'Dwayne Bravo', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Shadab Jakati', 'Doug Bollinger']","['Sachin Tendulkar', 'Richard Levi', 'Ambati Rayudu', 'Rohit Sharma', 'Dinesh Karthik', 'Kieron Pollard', 'James Franklin', 'Harbhajan Singh', 'Lasith Malinga', 'Abu Nechim', 'Pragyan Ojha']",MI
KKR,DC,DC,bowl,"Eden Gardens, Kolkata",8:00 PM,Sudhir Asnani,Kumar Dharmasena,Subrat Das,Graeme Labrooy,"['Gautam Gambhir', 'Jacques Kallis', 'Brendon McCullum', 'Manoj Tiwary', 'Yusuf Pathan', 'Rajat Bhatia', 'Debabrata Das', 'Laxmi Shukla', 'Brett Lee', 'Marchant de Lange', 'Iqbal Abdulla']","['Virender Sehwag', 'Naman Ojha', 'Aaron Finch', 'Glenn Maxwell', 'Venugopal Rao', 'Irfan Pathan', 'Yogesh Nagar', 'Roelof van der Merwe', 'Morne Morkel', 'Shahbaz Nadeem', 'Umesh Yadav']",DC
MI,PWI,MI,bowl,"Wankhede Stadium, Mumbai",4:00 PM,Anil Chaudhary,Simon Taufel,Johanes Cloete,Rajendra Jadeja,"['Suryakumar Yadav', 'Richard Levi', 'Ambati Rayudu', 'Rohit Sharma', 'James Franklin', 'Dinesh Karthik', 'Kieron Pollard', 'Harbhajan Singh', 'Lasith Malinga', 'Munaf Patel', 'Pragyan Ojha']","['Robin Uthappa', 'Sourav Ganguly', 'Callum Ferguson', 'Marlon Samuels', 'Manish Pandey', 'Steven Smith', 'Bhuvneshwar Kumar', 'Wayne Parnell', 'Rahul Sharma', 'Murali Kartik', 'Ashok Dinda']",PWI
RR,KXIP,KXIP,bowl,"Sawai Mansingh Stadium, Jaipur",8:00 PM,Billy Bowden,Shavir Tarapore,Vineet Kulkarni,Ranjan Madugalle,"['Ajinkya Rahane', 'Rahul Dravid', 'Brad Hodge', 'Ashok Menaria', 'Owais Shah', 'Ankeet Chavan', 'Shreevats Goswami', 'Johan Botha', 'Kevon Cooper', 'Amit Singh', 'Siddharth Trivedi']","['Adam Gilchrist', 'Paul Valthaty', 'Shaun Marsh', 'David Hussey', 'Abhishek Nayar', 'Mandeep Singh', 'Praveen Kumar', 'Bipul Sharma', 'James Faulkner', 'Piyush Chawla', 'Harmeet Singh']",RR
RCB,DC,DC,bowl,"M.Chinnaswamy Stadium, Bengaluru",4:00 PM,Sudhir Asnani,Sundaram Ravi,Subrat Das,Raju Mukherjee,"['Mayank Agarwal', 'Andrew McDonald', 'Virat Kohli', 'AB de Villiers', 'Saurabh Tiwary', 'Cheteshwar Pujara', 'Daniel Vettori', 'Harshal Patel', 'Vinay Kumar', 'Zaheer Khan', 'Muttiah Muralitharan']","['Virender Sehwag', 'Aaron Finch', 'Glenn Maxwell', 'Naman Ojha', 'Yogesh Nagar', 'Venugopal Rao', 'Irfan Pathan', 'Doug Bracewell', 'Morne Morkel', 'Shahbaz Nadeem', 'Umesh Yadav']",RCB
DCG,CSK,DCG,bowl,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",8:00 PM,Johanes Cloete,Kumar Dharmasena,Anil Chaudhary,Graeme Labrooy,"['Daniel Harris', 'Shikhar Dhawan', 'Parthiv Patel', 'Bharath Chipli', 'Cameron White', 'Daniel Christian', 'Dwaraka Ravi Teja', 'Ankit Sharma', 'Dale Steyn', 'Manpreet Gony', 'TP Sudhindra']","['Faf du Plessis', 'Murali Vijay', 'Suresh Raina', 'Dwayne Bravo', 'Albie Morkel', 'S Badrinath', 'MS Dhoni', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Shadab Jakati', 'Doug Bollinger']",CSK
RR,KKR,KKR,bowl,"Sawai Mansingh Stadium, Jaipur",4:00 PM,Billy Bowden,Vineet Kulkarni,Shavir Tarapore,Ranjan Madugalle,"['Rahul Dravid', 'Ajinkya Rahane', 'Ashok Menaria', 'Brad Hodge', 'Owais Shah', 'Kevon Cooper', 'Ankeet Chavan', 'Shreevats Goswami', 'Johan Botha', 'Amit Singh', 'Siddharth Trivedi']","['Brendon McCullum', 'Jacques Kallis', 'Gautam Gambhir', 'Manoj Tiwary', 'Yusuf Pathan', 'Debabrata Das', 'Laxmi Shukla', 'Rajat Bhatia', 'Brett Lee', 'Sunil Narine', 'Iqbal Abdulla']",RR
PWI,KXIP,PWI,bat,"Maharashtra Cricket Association Stadium, Pune",8:00 PM,Simon Taufel,Subroto Das,Sudhir Asnani,Rajendra Jadeja,"['Sourav Ganguly', 'Jesse Ryder', 'Manish Pandey', 'Robin Uthappa', 'Callum Ferguson', 'Marlon Samuels', 'Steven Smith', 'Murali Kartik', 'Rahul Sharma', 'Ashok Dinda', 'Ashish Nehra']","['Adam Gilchrist', 'Paul Valthaty', 'Abhishek Nayar', 'David Hussey', 'Dimitri Mascarenhas', 'Mandeep Singh', 'Bipul Sharma', 'Piyush Chawla', 'James Faulkner', 'Praveen Kumar', 'Harmeet Singh']",PWI
DCG,MI,DCG,bat,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",8:00 PM,Anil Chaudhary,Johanes Cloete,Kumar Dharmasena,Graeme Labrooy,"['Shikhar Dhawan', 'Parthiv Patel', 'Kumar Sangakkara', 'Cameron White', 'Bharath Chipli', 'Daniel Christian', 'Dwaraka Ravi Teja', 'Dale Steyn', 'Ankit Sharma', 'Amit Mishra', 'Anand Rajan']","['Richard Levi', 'Tirumalsetti Suman', 'Rohit Sharma', 'Ambati Rayudu', 'James Franklin', 'Dinesh Karthik', 'Kieron Pollard', 'Harbhajan Singh', 'Lasith Malinga', 'Munaf Patel', 'Pragyan Ojha']",MI
RCB,KKR,RCB,bowl,"M.Chinnaswamy Stadium, Bengaluru",4:00 PM,Sundaram Ravi,Rod Tucker,Sudhir Asnani,Raju Mukherjee,"['Cheteshwar Pujara', 'Chris Gayle', 'Virat Kohli', 'AB de Villiers', 'Saurabh Tiwary', 'Mayank Agarwal', 'Daniel Vettori', 'Vinay Kumar', 'Harshal Patel', 'Zaheer Khan', 'Muttiah Muralitharan']","['Manvinder Bisla', 'Jacques Kallis', 'Gautam Gambhir', 'Manoj Tiwary', 'Shakib Al Hasan', 'Yusuf Pathan', 'Ryan ten Doeschate', 'Rajat Bhatia', 'Brett Lee', 'Laxmi Shukla', 'Lakshmipathy Balaji']",KKR
