team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
MI,KKR,KKR,bat,"Sheikh Zayed Stadium, Abu Dhabi",6:30 PM,Marais Erasmus,Richard Illingworth,Billy Bowden,Andy Pycroft,"['Rohit Sharma', 'Michael Hussey', 'Aditya Tare', 'Ambati Rayudu', 'CM Gautam', 'Kieron Pollard', 'Corey Anderson', 'Harbhajan Singh', 'Lasith Malinga', 'Zaheer Khan', 'Pragyan Ojha']","['Gautam Gambhir', 'Jacques Kallis', 'Manish Pandey', 'Robin Uthappa', 'Shakib Al Hasan', 'Yusuf Pathan', 'Suryakumar Yadav', 'Piyush Chawla', 'Vinay Kumar', 'Sunil Narine', 'Morne Morkel']",KKR
DC,RCB,RCB,bowl,"Sharjah Cricket Stadium, Sharjah",6:30 PM,Aleem Dar,Sundaram Ravi,Vineet Kulkarni,Graeme Labrooy,"['Murali Vijay', 'Mayank Agarwal', 'Dinesh Karthik', 'Jean-Paul Duminy', 'Ross Taylor', 'Manoj Tiwary', 'James Neesham', 'Wayne Parnell', 'Shahbaz Nadeem', 'Rahul Sharma', 'Mohammed Shami']","['Parthiv Patel', 'Nic Maddinson', 'Virat Kohli', 'Yuvraj Singh', 'AB de Villiers', 'Albie Morkel', 'Sachin Rana', 'Ashok Dinda', 'Mitchell Starc', 'Yuzvendra Chahal', 'Varun Aaron']",RCB
CSK,KXIP,CSK,bat,"Sheikh Zayed Stadium, Abu Dhabi",2:30 PM,Richard Illingworth,Chettithody Shamshuddin,Billy Bowden,Andy Pycroft,"['Faf du Plessis', 'Brendon McCullum', 'Suresh Raina', 'Dwayne Smith', 'MS Dhoni', 'Dwayne Bravo', 'Ravichandran Ashwin', 'Ravindra Jadeja', 'Pawan Negi', 'Ashish Nehra', 'Mohit Sharma']","['Virender Sehwag', 'Cheteshwar Pujara', 'David Miller', 'Glenn Maxwell', 'George Bailey', 'Wriddhiman Saha', 'Mitchell Johnson', 'Axar Patel', 'Rishi Dhawan', 'Parvinder Awana', 'Lakshmipathy Balaji']",KXIP
SRH,RR,RR,bowl,"Sheikh Zayed Stadium, Abu Dhabi",6:30 PM,Billy Bowden,Richard Illingworth,Chettithody Shamshuddin,Andy Pycroft,"['Aaron Finch', 'Shikhar Dhawan', 'David Warner', 'Venugopal Rao', 'Lokesh Rahul', 'Daren Sammy', 'Karn Sharma', 'Amit Mishra', 'Bhuvneshwar Kumar', 'Dale Steyn', 'Ishant Sharma']","['Ajinkya Rahane', 'Shane Watson', 'Sanju Samson', 'Stuart Binny', 'Brad Hodge', 'Abhishek Nayar', 'James Faulkner', 'Rajat Bhatia', 'Kane Richardson', 'Dhawal Kulkarni', 'Pravin Tambe']",RR
RCB,MI,RCB,bowl,"Dubai International Cricket Stadium , Dubai",2:30 PM,Aleem Dar,Anil Chaudhary,Vineet Kulkarni,Graeme Labrooy,"['Nic Maddinson', 'Parthiv Patel', 'Virat Kohli', 'Yuvraj Singh', 'AB de Villiers', 'Albie Morkel', 'Sachin Rana', 'Mitchell Starc', 'Varun Aaron', 'Yuzvendra Chahal', 'Ashok Dinda']","['Michael Hussey', 'Aditya Tare', 'Ambati Rayudu', 'Rohit Sharma', 'Kieron Pollard', 'Corey Anderson', 'Harbhajan Singh', 'Lasith Malinga', 'Zaheer Khan', 'Pragyan Ojha', 'Jasprit Bumrah']",RCB
KKR,DC,KKR,bat,"Dubai International Cricket Stadium , Dubai",6:30 PM,Aleem Dar,Vineet Kulkarni,Anil Chaudhary,Graeme Labrooy,"['Gautam Gambhir', 'Jacques Kallis', 'Manish Pandey', 'Robin Uthappa', 'Shakib Al Hasan', 'Yusuf Pathan', 'Suryakumar Yadav', 'Piyush Chawla', 'Vinay Kumar', 'Sunil Narine', 'Morne Morkel']","['Mayank Agarwal', 'Murali Vijay', 'Dinesh Karthik', 'Jean-Paul Duminy', 'Ross Taylor', 'Manoj Tiwary', 'James Neesham', 'Shahbaz Nadeem', 'Nathan Coulter-Nile', 'Mohammed Shami', 'Jaydev Unadkat']",DC
RR,KXIP,KXIP,bowl,"Sharjah Cricket Stadium, Sharjah",6:30 PM,Billy Bowden,Marais Erasmus,Sundaram Ravi,Andy Pycroft,"['Ajinkya Rahane', 'Abhishek Nayar', 'Sanju Samson', 'Shane Watson', 'Stuart Binny', 'Steven Smith', 'Rajat Bhatia', 'James Faulkner', 'Kane Richardson', 'Pravin Tambe', 'Dhawal Kulkarni']","['Virender Sehwag', 'Cheteshwar Pujara', 'Glenn Maxwell', 'David Miller', 'George Bailey', 'Wriddhiman Saha', 'Axar Patel', 'Mitchell Johnson', 'Lakshmipathy Balaji', 'Parvinder Awana', 'Murali Kartik']",KXIP
CSK,DC,CSK,bat,"Sheikh Zayed Stadium, Abu Dhabi",6:30 PM,Richard Illingworth,Chettithody Shamshuddin,Kumar Dharmasena,Graeme Labrooy,"['Dwayne Smith', 'Brendon McCullum', 'Suresh Raina', 'Faf du Plessis', 'MS Dhoni', 'Mithun Manhas', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Mohit Sharma', 'Ben Hilfenhaus', 'Ishwar Pandey']","['Mayank Agarwal', 'Murali Vijay', 'Dinesh Karthik', 'Jean-Paul Duminy', 'Manoj Tiwary', 'Ross Taylor', 'James Neesham', 'Nathan Coulter-Nile', 'Shahbaz Nadeem', 'Mohammed Shami', 'Jaydev Unadkat']",CSK
KXIP,SRH,SRH,bowl,"Sharjah Cricket Stadium, Sharjah",6:30 PM,Marais Erasmus,Sundaram Ravi,Billy Bowden,Andy Pycroft,"['Cheteshwar Pujara', 'Virender Sehwag', 'Wriddhiman Saha', 'Glenn Maxwell', 'David Miller', 'George Bailey', 'Axar Patel', 'Rishi Dhawan', 'Mitchell Johnson', 'Lakshmipathy Balaji', 'Sandeep Sharma']","['Shikhar Dhawan', 'Aaron Finch', 'David Warner', 'Lokesh Rahul', 'Venugopal Rao', 'Daren Sammy', 'Irfan Pathan', 'Karn Sharma', 'Amit Mishra', 'Dale Steyn', 'Bhuvneshwar Kumar']",KXIP
RR,CSK,RR,bowl,"Dubai International Cricket Stadium , Dubai",6:30 PM,Kumar Dharmasena,Richard Illingworth,Chettithody Shamshuddin,Graeme Labrooy,"['Abhishek Nayar', 'Ajinkya Rahane', 'Sanju Samson', 'Shane Watson', 'Stuart Binny', 'Steven Smith', 'James Faulkner', 'Rajat Bhatia', 'Tim Southee', 'Pravin Tambe', 'Dhawal Kulkarni']","['Brendon McCullum', 'Dwayne Smith', 'Suresh Raina', 'Faf du Plessis', 'MS Dhoni', 'Mithun Manhas', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Mohit Sharma', 'Ben Hilfenhaus', 'Ishwar Pandey']",CSK
