team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
RCB,KKR,RCB,bowl,"Sharjah Cricket Stadium, Sharjah",6:30 PM,Aleem Dar,Vineet Kulkarni,Anil Chaudhary,Andy Pycroft,"['Parthiv Patel', 'Virat Kohli', 'Yuvraj Singh', 'AB de Villiers', 'Albie Morkel', 'Yogesh Takawale', 'Mitchell Starc', 'Yuzvendra Chahal', 'Ashok Dinda', 'Varun Aaron', 'Muttiah Muralitharan']","['Gautam Gambhir', 'Jacques Kallis', 'Manish Pandey', 'Robin Uthappa', 'Yusuf Pathan', 'Chris Lynn', 'Suryakumar Yadav', 'Vinay Kumar', 'Sunil Narine', 'Morne Morkel', 'Umesh Yadav']",KKR
SRH,DC,SRH,bat,"Dubai International Cricket Stadium , Dubai",2:30 PM,Marais Erasmus,Sundaram Ravi,Billy Bowden,Graeme Labrooy,"['Shikhar Dhawan', 'Aaron Finch', 'David Warner', 'Lokesh Rahul', 'Venugopal Rao', 'Naman Ojha', 'Daren Sammy', 'Karn Sharma', 'Amit Mishra', 'Dale Steyn', 'Bhuvneshwar Kumar']","['Murali Vijay', 'Quinton de Kock', 'Dinesh Karthik', 'Kevin Pietersen', 'Jean-Paul Duminy', 'Manoj Tiwary', 'Laxmi Shukla', 'Wayne Parnell', 'Shahbaz Nadeem', 'Jaydev Unadkat', 'Mohammed Shami']",SRH
CSK,MI,MI,bat,"Dubai International Cricket Stadium , Dubai",6:30 PM,Billy Bowden,Marais Erasmus,Sundaram Ravi,Graeme Labrooy,"['Dwayne Smith', 'Brendon McCullum', 'Suresh Raina', 'Faf du Plessis', 'MS Dhoni', 'Mithun Manhas', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Ben Hilfenhaus', 'Mohit Sharma', 'Ishwar Pandey']","['Aditya Tare', 'Michael Hussey', 'Ambati Rayudu', 'Rohit Sharma', 'Kieron Pollard', 'Corey Anderson', 'CM Gautam', 'Harbhajan Singh', 'Pragyan Ojha', 'Zaheer Khan', 'Lasith Malinga']",CSK
RR,RCB,RR,bowl,"Sheikh Zayed Stadium, Abu Dhabi",2:30 PM,Kumar Dharmasena,Chettithody Shamshuddin,Richard Illingworth,Andy Pycroft,"['Ajinkya Rahane', 'Abhishek Nayar', 'Sanju Samson', 'Shane Watson', 'Stuart Binny', 'Karun Nair', 'Steven Smith', 'Rajat Bhatia', 'Tim Southee', 'Pravin Tambe', 'Kane Richardson']","['Yogesh Takawale', 'Parthiv Patel', 'Virat Kohli', 'Yuvraj Singh', 'AB de Villiers', 'Albie Morkel', 'Sachin Rana', 'Mitchell Starc', 'Ravi Rampaul', 'Yuzvendra Chahal', 'Ashok Dinda']",RR
KKR,KXIP,KKR,bowl,"Sheikh Zayed Stadium, Abu Dhabi",6:30 PM,Kumar Dharmasena,Richard Illingworth,Chettithody Shamshuddin,Andy Pycroft,"['Gautam Gambhir', 'Jacques Kallis', 'Manish Pandey', 'Chris Lynn', 'Robin Uthappa', 'Yusuf Pathan', 'Suryakumar Yadav', 'Morne Morkel', 'Piyush Chawla', 'Sunil Narine', 'Umesh Yadav']","['Cheteshwar Pujara', 'Virender Sehwag', 'Glenn Maxwell', 'David Miller', 'George Bailey', 'Wriddhiman Saha', 'Axar Patel', 'Mitchell Johnson', 'Rishi Dhawan', 'Lakshmipathy Balaji', 'Sandeep Sharma']",KXIP
DC,MI,MI,bat,"Sharjah Cricket Stadium, Sharjah",2:30 PM,Aleem Dar,Vineet Kulkarni,Anil Chaudhary,Graeme Labrooy,"['Murali Vijay', 'Quinton de Kock', 'Kevin Pietersen', 'Dinesh Karthik', 'Jean-Paul Duminy', 'Kedar Jadhav', 'Wayne Parnell', 'Laxmi Shukla', 'Mohammed Shami', 'Jaydev Unadkat', 'Shahbaz Nadeem']","['Michael Hussey', 'Aditya Tare', 'Rohit Sharma', 'Corey Anderson', 'Ambati Rayudu', 'Kieron Pollard', 'CM Gautam', 'Harbhajan Singh', 'Zaheer Khan', 'Pragyan Ojha', 'Lasith Malinga']",DC
SRH,CSK,SRH,bat,"Sharjah Cricket Stadium, Sharjah",6:30 PM,Anil Chaudhary,Vineet Kulkarni,Aleem Dar,Graeme Labrooy,"['Aaron Finch', 'Shikhar Dhawan', 'David Warner', 'Venugopal Rao', 'Lokesh Rahul', 'Daren Sammy', 'Karn Sharma', 'Bhuvneshwar Kumar', 'Dale Steyn', 'Amit Mishra', 'Ishant Sharma']","['Brendon McCullum', 'Dwayne Smith', 'Suresh Raina', 'Faf du Plessis', 'MS Dhoni', 'Mithun Manhas', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Mohit Sharma', 'Ben Hilfenhaus', 'Ishwar Pandey']",CSK
KXIP,RCB,KXIP,bowl,"Dubai International Cricket Stadium , Dubai",6:30 PM,Billy Bowden,Sundaram Ravi,Marais Erasmus,Andy Pycroft,"['Cheteshwar Pujara', 'Virender Sehwag', 'George Bailey', 'Glenn Maxwell', 'David Miller', 'Wriddhiman Saha', 'Axar Patel', 'Rishi Dhawan', 'Mitchell Johnson', 'Lakshmipathy Balaji', 'Sandeep Sharma']","['Parthiv Patel', 'Chris Gayle', 'Yogesh Takawale', 'Virat Kohli', 'AB de Villiers', 'Yuvraj Singh', 'Albie Morkel', 'Mitchell Starc', 'Ashok Dinda', 'Yuzvendra Chahal', 'Varun Aaron']",KXIP
KKR,RR,RR,bat,"Sheikh Zayed Stadium, Abu Dhabi",6:30 PM,Aleem Dar,Anil Chaudhary,Graeme Labrooy,Graeme Labrooy,"['Gautam Gambhir', 'Jacques Kallis', 'Manish Pandey', 'Robin Uthappa', 'Shakib Al Hasan', 'Suryakumar Yadav', 'Manvinder Bisla', 'Piyush Chawla', 'Vinay Kumar', 'Sunil Narine', 'Morne Morkel']","['Ajinkya Rahane', 'Karun Nair', 'Sanju Samson', 'Shane Watson', 'Steven Smith', 'Stuart Binny', 'James Faulkner', 'Rajat Bhatia', 'Pravin Tambe', 'Kane Richardson', 'Iqbal Abdulla']",RR
MI,SRH,MI,bowl,"Dubai International Cricket Stadium , Dubai",6:30 PM,Kumar Dharmasena,Marais Erasmus,Sundaram Ravi,Andy Pycroft,"['Rohit Sharma', 'Aditya Tare', 'Ben Dunk', 'Corey Anderson', 'Ambati Rayudu', 'Kieron Pollard', 'CM Gautam', 'Harbhajan Singh', 'Lasith Malinga', 'Zaheer Khan', 'Pragyan Ojha']","['Shikhar Dhawan', 'Aaron Finch', 'David Warner', 'Lokesh Rahul', 'Naman Ojha', 'Irfan Pathan', 'Daren Sammy', 'Karn Sharma', 'Bhuvneshwar Kumar', 'Amit Mishra', 'Dale Steyn']",SRH
CSK,KKR,CSK,bat,"JSCA International Stadium Complex, Ranchi",8:00 PM,Anil Chaudhary,Nigel Llong,Nandan,Javagal Srinath,"['Dwayne Smith', 'Brendon McCullum', 'Suresh Raina', 'MS Dhoni', 'Faf du Plessis', 'Ravindra Jadeja', 'Mithun Manhas', 'Ravichandran Ashwin', 'Mohit Sharma', 'Ben Hilfenhaus', 'Ishwar Pandey']","['Gautam Gambhir', 'Jacques Kallis', 'Manish Pandey', 'Suryakumar Yadav', 'Shakib Al Hasan', 'Robin Uthappa', 'Yusuf Pathan', 'Andre Russell', 'Vinay Kumar', 'Piyush Chawla', 'Sunil Narine']",CSK
MI,KXIP,KXIP,bat,"Wankhede Stadium, Mumbai",4:00 PM,Bruce Oxenford,Chettithody Shamshuddin,Rajesh Deshpande,Ranjan Madugalle,"['Ben Dunk', 'Rohit Sharma', 'Corey Anderson', 'Ambati Rayudu', 'Kieron Pollard', 'Aditya Tare', 'CM Gautam', 'Harbhajan Singh', 'Lasith Malinga', 'Zaheer Khan', 'Jasprit Bumrah']","['Virender Sehwag', 'Cheteshwar Pujara', 'Wriddhiman Saha', 'Glenn Maxwell', 'David Miller', 'George Bailey', 'Rishi Dhawan', 'Mitchell Johnson', 'Axar Patel', 'Lakshmipathy Balaji', 'Sandeep Sharma']",MI
DC,RR,RR,bowl,"Arun Jaitley Stadium, Delhi",8:00 PM,Sanjay Hazare,Sundaram Ravi,Krishnaraj Srinath,Andy Pycroft,"['Murali Vijay', 'Quinton de Kock', 'Kevin Pietersen', 'Dinesh Karthik', 'Jean-Paul Duminy', 'Kedar Jadhav', 'Wayne Parnell', 'Mohammed Shami', 'Jaydev Unadkat', 'Shahbaz Nadeem', 'Rahul Sharma']","['Ajinkya Rahane', 'Karun Nair', 'Sanju Samson', 'Shane Watson', 'Steven Smith', 'Stuart Binny', 'Rajat Bhatia', 'James Faulkner', 'Dhawal Kulkarni', 'Kane Richardson', 'Pravin Tambe']",RR
RCB,SRH,RCB,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Kumar Dharmasena,Vineet Kulkarni,Pashchim Pathak,Roshan Mahanama,"['Parthiv Patel', 'Chris Gayle', 'Virat Kohli', 'AB de Villiers', 'Yuvraj Singh', 'Rilee Rossouw', 'Mitchell Starc', 'Ashok Dinda', 'Varun Aaron', 'Yuzvendra Chahal', 'Harshal Patel']","['Shikhar Dhawan', 'Aaron Finch', 'David Warner', 'Lokesh Rahul', 'Naman Ojha', 'Daren Sammy', 'Irfan Pathan', 'Karn Sharma', 'Bhuvneshwar Kumar', 'Dale Steyn', 'Ishant Sharma']",RCB
RR,KKR,KKR,bowl,"Sardar Patel Stadium, Ahmedabad",4:00 PM,Nigel Llong,Nandan,Anil Chaudhary,Ranjan Madugalle,"['Karun Nair', 'Ajinkya Rahane', 'Sanju Samson', 'Shane Watson', 'Stuart Binny', 'Steven Smith', 'Rajat Bhatia', 'James Faulkner', 'Tim Southee', 'Rahul Tewatia', 'Pravin Tambe']","['Gautam Gambhir', 'Manish Pandey', 'Robin Uthappa', 'Suryakumar Yadav', 'Shakib Al Hasan', 'Ryan ten Doeschate', 'Yusuf Pathan', 'Andre Russell', 'Vinay Kumar', 'Sunil Narine', 'Umesh Yadav']",RR
DC,CSK,CSK,bowl,"Arun Jaitley Stadium, Delhi",8:00 PM,Rajesh Deshpande,Bruce Oxenford,Chettithody Shamshuddin,Javagal Srinath,"['Murali Vijay', 'Quinton de Kock', 'Kevin Pietersen', 'Dinesh Karthik', 'Jean-Paul Duminy', 'Kedar Jadhav', 'Laxmi Shukla', 'Wayne Parnell', 'Shahbaz Nadeem', 'Mohammed Shami', 'Jaydev Unadkat']","['Brendon McCullum', 'Dwayne Smith', 'Suresh Raina', 'MS Dhoni', 'Faf du Plessis', 'Ravindra Jadeja', 'Mithun Manhas', 'Ravichandran Ashwin', 'Mohit Sharma', 'Ben Hilfenhaus', 'Ishwar Pandey']",CSK
MI,RCB,RCB,bowl,"Wankhede Stadium, Mumbai",8:00 PM,Sundaram Ravi,Krishnaraj Srinath,Sanjay Hazare,Andy Pycroft,"['Ben Dunk', 'CM Gautam', 'Ambati Rayudu', 'Rohit Sharma', 'Corey Anderson', 'Kieron Pollard', 'Aditya Tare', 'Lasith Malinga', 'Harbhajan Singh', 'Pawan Suyal', 'Jasprit Bumrah']","['Chris Gayle', 'Parthiv Patel', 'Virat Kohli', 'Rilee Rossouw', 'AB de Villiers', 'Yuvraj Singh', 'Mitchell Starc', 'Ashok Dinda', 'Varun Aaron', 'Harshal Patel', 'Yuzvendra Chahal']",MI
DC,KKR,DC,bat,"Arun Jaitley Stadium, Delhi",4:00 PM,Bruce Oxenford,Chettithody Shamshuddin,Rajesh Deshpande,Javagal Srinath,"['Quinton de Kock', 'Murali Vijay', 'Kevin Pietersen', 'Dinesh Karthik', 'Jean-Paul Duminy', 'Laxmi Shukla', 'Kedar Jadhav', 'Wayne Parnell', 'Shahbaz Nadeem', 'Mohammed Shami', 'Siddarth Kaul']","['Robin Uthappa', 'Gautam Gambhir', 'Manish Pandey', 'Jacques Kallis', 'Shakib Al Hasan', 'Yusuf Pathan', 'Ryan ten Doeschate', 'Suryakumar Yadav', 'Vinay Kumar', 'Sunil Narine', 'Umesh Yadav']",KKR
KXIP,CSK,CSK,bowl,"Barabati Stadium, Cuttack",8:00 PM,Kumar Dharmasena,Pashchim Pathak,Vineet Kulkarni,Roshan Mahanama,"['Virender Sehwag', 'Mandeep Singh', 'Wriddhiman Saha', 'Glenn Maxwell', 'David Miller', 'George Bailey', 'Axar Patel', 'Rishi Dhawan', 'Mitchell Johnson', 'Sandeep Sharma', 'Murali Kartik']","['Dwayne Smith', 'Brendon McCullum', 'Suresh Raina', 'Faf du Plessis', 'MS Dhoni', 'Ravindra Jadeja', 'Mithun Manhas', 'Ravichandran Ashwin', 'Mohit Sharma', 'Ben Hilfenhaus', 'Ishwar Pandey']",KXIP
RR,SRH,RR,bowl,"Sardar Patel Stadium, Ahmedabad",8:00 PM,Anil Chaudhary,Nigel Llong,Nandan,Ranjan Madugalle,"['Karun Nair', 'Ajinkya Rahane', 'Sanju Samson', 'Shane Watson', 'Stuart Binny', 'Steven Smith', 'Rajat Bhatia', 'James Faulkner', 'Pravin Tambe', 'Dhawal Kulkarni', 'Kane Richardson']","['Shikhar Dhawan', 'Aaron Finch', 'David Warner', 'Lokesh Rahul', 'Moises Henriques', 'Naman Ojha', 'Irfan Pathan', 'Karn Sharma', 'Amit Mishra', 'Dale Steyn', 'Bhuvneshwar Kumar']",SRH
RCB,KXIP,RCB,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Krishnaraj Srinath,Sundaram Ravi,Krishnamachari Srinivasan,Andy Pycroft,"['Chris Gayle', 'Parthiv Patel', 'Virat Kohli', 'AB de Villiers', 'Yuvraj Singh', 'Mitchell Starc', 'Albie Morkel', 'Sachin Rana', 'Harshal Patel', 'Yuzvendra Chahal', 'Varun Aaron']","['Virender Sehwag', 'Mandeep Singh', 'Glenn Maxwell', 'David Miller', 'George Bailey', 'Wriddhiman Saha', 'Mitchell Johnson', 'Sandeep Sharma', 'Axar Patel', 'Lakshmipathy Balaji', 'Shivam Sharma']",KXIP
DC,SRH,SRH,bowl,"Arun Jaitley Stadium, Delhi",4:00 PM,Rajesh Deshpande,Bruce Oxenford,Chettithody Shamshuddin,Javagal Srinath,"['Quinton de Kock', 'Mayank Agarwal', 'Kevin Pietersen', 'Dinesh Karthik', 'Jean-Paul Duminy', 'Kedar Jadhav', 'Laxmi Shukla', 'Rahul Shukla', 'Siddarth Kaul', 'Imran Tahir', 'Mohammed Shami']","['Shikhar Dhawan', 'Aaron Finch', 'Lokesh Rahul', 'David Warner', 'Naman Ojha', 'Karn Sharma', 'Moises Henriques', 'Irfan Pathan', 'Dale Steyn', 'Amit Mishra', 'Bhuvneshwar Kumar']",SRH
MI,CSK,CSK,bowl,"Wankhede Stadium, Mumbai",8:00 PM,Kumar Dharmasena,Vineet Kulkarni,Pashchim Pathak,Roshan Mahanama,"['Lendl Simmons', 'CM Gautam', 'Ambati Rayudu', 'Rohit Sharma', 'Corey Anderson', 'Kieron Pollard', 'Aditya Tare', 'Harbhajan Singh', 'Praveen Kumar', 'Lasith Malinga', 'Jasprit Bumrah']","['Dwayne Smith', 'Brendon McCullum', 'Suresh Raina', 'MS Dhoni', 'Faf du Plessis', 'Ravindra Jadeja', 'Mithun Manhas', 'Ravichandran Ashwin', 'Samuel Badree', 'Ishwar Pandey', 'Mohit Sharma']",CSK
KXIP,KKR,KKR,bowl,"Barabati Stadium, Cuttack",4:00 PM,Nigel Llong,Nandan,Anil Chaudhary,Ranjan Madugalle,"['Virender Sehwag', 'Mandeep Singh', 'Glenn Maxwell', 'David Miller', 'George Bailey', 'Wriddhiman Saha', 'Axar Patel', 'Mitchell Johnson', 'Rishi Dhawan', 'Parvinder Awana', 'Sandeep Sharma']","['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Jacques Kallis', 'Yusuf Pathan', 'Suryakumar Yadav', 'Ryan ten Doeschate', 'Morne Morkel', 'Piyush Chawla', 'Sunil Narine', 'Umesh Yadav']",KKR
RCB,RR,RCB,bat,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Sundaram Ravi,Rod Tucker,Krishnaraj Srinath,Andy Pycroft,"['Parthiv Patel', 'Chris Gayle', 'Virat Kohli', 'Vijay Zol', 'AB de Villiers', 'Yuvraj Singh', 'Albie Morkel', 'Mitchell Starc', 'Varun Aaron', 'Yuzvendra Chahal', 'Ashok Dinda']","['Ajinkya Rahane', 'Karun Nair', 'Sanju Samson', 'Shane Watson', 'Stuart Binny', 'Steven Smith', 'Rajat Bhatia', 'James Faulkner', 'Kane Richardson', 'Pravin Tambe', 'Rahul Tewatia']",RR
SRH,MI,SRH,bat,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Kumar Dharmasena,Vineet Kulkarni,Pashchim Pathak,Roshan Mahanama,"['Shikhar Dhawan', 'Aaron Finch', 'David Warner', 'Lokesh Rahul', 'Naman Ojha', 'Irfan Pathan', 'Moises Henriques', 'Dale Steyn', 'Karn Sharma', 'Amit Mishra', 'Bhuvneshwar Kumar']","['Lendl Simmons', 'CM Gautam', 'Ambati Rayudu', 'Rohit Sharma', 'Corey Anderson', 'Kieron Pollard', 'Aditya Tare', 'Harbhajan Singh', 'Lasith Malinga', 'Jasprit Bumrah', 'Pragyan Ojha']",MI
CSK,RR,RR,bat,"JSCA International Stadium Complex, Ranchi",4:00 PM,Bruce Oxenford,Chettithody Shamshuddin,Rajesh Deshpande,Javagal Srinath,"['Dwayne Smith', 'Brendon McCullum', 'Suresh Raina', 'MS Dhoni', 'Faf du Plessis', 'Vijay Shankar', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Mohit Sharma', 'Ishwar Pandey', 'Samuel Badree']","['Ajinkya Rahane', 'Karun Nair', 'Shane Watson', 'Dishant Yagnik', 'Stuart Binny', 'Steven Smith', 'Kevon Cooper', 'James Faulkner', 'Pravin Tambe', 'Rajat Bhatia', 'Ankit Sharma']",CSK
RCB,DC,DC,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Krishnaraj Srinath,Rod Tucker,Sundaram Ravi,Andy Pycroft,"['Chris Gayle', 'Virat Kohli', 'Vijay Zol', 'Yuvraj Singh', 'AB de Villiers', 'Sachin Rana', 'Parthiv Patel', 'Mitchell Starc', 'Yuzvendra Chahal', 'Abu Nechim', 'Muttiah Muralitharan']","['Murali Vijay', 'Quinton de Kock', 'Kevin Pietersen', 'Dinesh Karthik', 'Mayank Agarwal', 'Jean-Paul Duminy', 'Kedar Jadhav', 'Imran Tahir', 'Mohammed Shami', 'Rahul Shukla', 'Siddarth Kaul']",RCB
SRH,KXIP,KXIP,bowl,"Rajiv Gandhi International Stadium, Hyderabad",4:00 PM,Vineet Kulkarni,Pashchim Pathak,Kumar Dharmasena,Roshan Mahanama,"['Shikhar Dhawan', 'Aaron Finch', 'Lokesh Rahul', 'David Warner', 'Naman Ojha', 'Irfan Pathan', 'Moises Henriques', 'Amit Mishra', 'Karn Sharma', 'Dale Steyn', 'Bhuvneshwar Kumar']","['Virender Sehwag', 'Manan Vohra', 'Wriddhiman Saha', 'Glenn Maxwell', 'David Miller', 'George Bailey', 'Mitchell Johnson', 'Rishi Dhawan', 'Axar Patel', 'Shivam Sharma', 'Sandeep Sharma']",KXIP
KKR,MI,KKR,bowl,"Barabati Stadium, Cuttack",8:00 PM,Anil Chaudhary,Nigel Llong,Nandan,Ranjan Madugalle,"['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Shakib Al Hasan', 'Suryakumar Yadav', 'Yusuf Pathan', 'Ryan ten Doeschate', 'Morne Morkel', 'Piyush Chawla', 'Sunil Narine', 'Umesh Yadav']","['Lendl Simmons', 'CM Gautam', 'Rohit Sharma', 'Kieron Pollard', 'Ambati Rayudu', 'Aditya Tare', 'Lasith Malinga', 'Pragyan Ojha', 'Corey Anderson', 'Harbhajan Singh', 'Jasprit Bumrah']",KKR
RR,DC,DC,bowl,"Sardar Patel Stadium, Ahmedabad",8:00 PM,Sundaram Ravi,Rod Tucker,KN Anantha Padmanabhan,Andy Pycroft,"['Ajinkya Rahane', 'Karun Nair', 'Sanju Samson', 'Stuart Binny', 'Steven Smith', 'James Faulkner', 'Ben Cutting', 'Rajat Bhatia', 'Kevon Cooper', 'Dhawal Kulkarni', 'Pravin Tambe']","['Kevin Pietersen', 'Mayank Agarwal', 'Dinesh Karthik', 'Manoj Tiwary', 'Jean-Paul Duminy', 'Kedar Jadhav', 'Ross Taylor', 'Rahul Shukla', 'Siddarth Kaul', 'Shahbaz Nadeem', 'Imran Tahir']",RR
