url,match_id,team_1,team_2,win_runs,win_wickets,winner,match_drawn,match_abandoned,no_result,toss_winner,winner_choice,series,pom,match_number,city,date,day_night
https://www.espncricinfo.com/series/8048/scorecard/981019/royal-challengers-bangalore-vs-sunrisers-hyderabad-final-indian-premier-league-2016,981019,Sunrisers Hyderabad,Royal Challengers Bangalore,8,NA,Sunrisers Hyderabad,NA,NA,NA,Sunrisers Hyderabad,Bat,Indian Premier League 2016,Ben Cutting,Final,Bengaluru,May 29 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980975/kolkata-knight-riders-vs-gujarat-lions-38th-match-indian-premier-league-2016,980975,Kolkata Knight Riders,Gujarat Lions,NA,5,Gujarat Lions,NA,NA,NA,Gujarat Lions,Field,Indian Premier League 2016,Praveen Kumar,38,Kolkata,May 8 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980967/sunrisers-hyderabad-vs-gujarat-lions-34th-match-indian-premier-league-2016,980967,Gujarat Lions,Sunrisers Hyderabad,NA,5,Sunrisers Hyderabad,NA,NA,NA,Sunrisers Hyderabad,Field,Indian Premier League 2016,Bhuvneshwar Kumar,34,Hyderabad (Deccan),May 6 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980977/kings-xi-punjab-vs-royal-challengers-bangalore-39th-match-indian-premier-league-2016,980977,Royal Challengers Bangalore,Kings XI Punjab,1,NA,Royal Challengers Bangalore,NA,NA,NA,Kings XI Punjab,Field,Indian Premier League 2016,Shane Watson,39,Mohali,May 9 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980969/royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-indian-premier-league-2016,980969,Rising Pune Supergiants,Royal Challengers Bangalore,NA,7,Royal Challengers Bangalore,NA,NA,NA,Royal Challengers Bangalore,Field,Indian Premier League 2016,Virat Kohli,35,Bengaluru,May 7 2016,D/N
https://www.espncricinfo.com/series/8048/scorecard/980981/royal-challengers-bangalore-vs-mumbai-indians-41st-match-indian-premier-league-2016,980981,Royal Challengers Bangalore,Mumbai Indians,NA,6,Mumbai Indians,NA,NA,NA,Mumbai Indians,Field,Indian Premier League 2016,Krunal Pandya,41,Bengaluru,May 11 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980979/rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-indian-premier-league-2016,980979,Sunrisers Hyderabad,Rising Pune Supergiants,4,NA,Sunrisers Hyderabad,NA,NA,NA,Sunrisers Hyderabad,Bat,Indian Premier League 2016,Adam Zampa,40,Visakhapatnam,May 10 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980963/kolkata-knight-riders-vs-kings-xi-punjab-32nd-match-indian-premier-league-2016,980963,Kolkata Knight Riders,Kings XI Punjab,7,NA,Kolkata Knight Riders,NA,NA,NA,Kings XI Punjab,Field,Indian Premier League 2016,Andre Russell,32,Kolkata,May 4 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980961/gujarat-lions-vs-delhi-daredevils-31st-match-indian-premier-league-2016,980961,Gujarat Lions,Delhi Daredevils,NA,8,Delhi Daredevils,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2016,Rishabh Pant,31,Rajkot,May 3 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980965/delhi-daredevils-vs-rising-pune-supergiants-33rd-match-indian-premier-league-2016,980965,Delhi Daredevils,Rising Pune Supergiants,NA,7,Rising Pune Supergiants,NA,NA,NA,Rising Pune Supergiants,Field,Indian Premier League 2016,Ajinkya Rahane,33,Delhi,May 5 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980971/kings-xi-punjab-vs-delhi-daredevils-36th-match-indian-premier-league-2016,980971,Kings XI Punjab,Delhi Daredevils,9,NA,Kings XI Punjab,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2016,Marcus Stoinis,36,Mohali,May 7 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980973/mumbai-indians-vs-sunrisers-hyderabad-37th-match-indian-premier-league-2016,980973,Sunrisers Hyderabad,Mumbai Indians,85,NA,Sunrisers Hyderabad,NA,NA,NA,Mumbai Indians,Field,Indian Premier League 2016,Ashish Nehra,37,Visakhapatnam,May 8 2016,D/N
https://www.espncricinfo.com/series/8048/scorecard/980987/royal-challengers-bangalore-vs-gujarat-lions-44th-match-indian-premier-league-2016,980987,Royal Challengers Bangalore,Gujarat Lions,144,NA,Royal Challengers Bangalore,NA,NA,NA,Gujarat Lions,Field,Indian Premier League 2016,AB de Villiers,44,Bengaluru,May 14 2016,D/N
https://www.espncricinfo.com/series/8048/scorecard/980983/sunrisers-hyderabad-vs-delhi-daredevils-42nd-match-indian-premier-league-2016,980983,Sunrisers Hyderabad,Delhi Daredevils,NA,7,Delhi Daredevils,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2016,Chris Morris,42,Hyderabad (Deccan),May 12 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980905/kings-xi-punjab-vs-gujarat-lions-3rd-match-indian-premier-league-2016,980905,Kings XI Punjab,Gujarat Lions,NA,5,Gujarat Lions,NA,NA,NA,Gujarat Lions,Field,Indian Premier League 2016,Aaron Finch,3,Mohali,Apr 11 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980985/mumbai-indians-vs-kings-xi-punjab-43rd-match-indian-premier-league-2016,980985,Mumbai Indians,Kings XI Punjab,NA,7,Kings XI Punjab,NA,NA,NA,Mumbai Indians,Bat,Indian Premier League 2016,Marcus Stoinis,43,Visakhapatnam,May 13 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980907/royal-challengers-bangalore-vs-sunrisers-hyderabad-4th-match-indian-premier-league-2016,980907,Royal Challengers Bangalore,Sunrisers Hyderabad,45,NA,Royal Challengers Bangalore,NA,NA,NA,Sunrisers Hyderabad,Field,Indian Premier League 2016,AB de Villiers,4,Bengaluru,Apr 12 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980909/kolkata-knight-riders-vs-mumbai-indians-5th-match-indian-premier-league-2016,980909,Kolkata Knight Riders,Mumbai Indians,NA,6,Mumbai Indians,NA,NA,NA,Mumbai Indians,Field,Indian Premier League 2016,Rohit Sharma,5,Kolkata,Apr 13 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980911/gujarat-lions-vs-rising-pune-supergiants-6th-match-indian-premier-league-2016,980911,Rising Pune Supergiants,Gujarat Lions,NA,7,Gujarat Lions,NA,NA,NA,Rising Pune Supergiants,Bat,Indian Premier League 2016,Aaron Finch,6,Rajkot,Apr 14 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980989/kolkata-knight-riders-vs-rising-pune-supergiants-45th-match-indian-premier-league-2016,980989,Rising Pune Supergiants,Kolkata Knight Riders,NA,8,Kolkata Knight Riders,NA,NA,NA,Rising Pune Supergiants,Bat,Indian Premier League 2016,Yusuf Pathan,45,Kolkata,May 14 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980915/sunrisers-hyderabad-vs-kolkata-knight-riders-8th-match-indian-premier-league-2016,980915,Sunrisers Hyderabad,Kolkata Knight Riders,NA,8,Kolkata Knight Riders,NA,NA,NA,Sunrisers Hyderabad,Bat,Indian Premier League 2016,Gautam Gambhir,8,Hyderabad (Deccan),Apr 16 2016,D/N
https://www.espncricinfo.com/series/8048/scorecard/980901/mumbai-indians-vs-rising-pune-supergiants-1st-match-indian-premier-league-2016,980901,Mumbai Indians,Rising Pune Supergiants,NA,9,Rising Pune Supergiants,NA,NA,NA,Mumbai Indians,Bat,Indian Premier League 2016,Ajinkya Rahane,1,Mumbai,Apr 9 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980917/mumbai-indians-vs-gujarat-lions-9th-match-indian-premier-league-2016,980917,Mumbai Indians,Gujarat Lions,NA,3,Gujarat Lions,NA,NA,NA,Gujarat Lions,Field,Indian Premier League 2016,Aaron Finch,9,Mumbai,Apr 16 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980903/kolkata-knight-riders-vs-delhi-daredevils-2nd-match-indian-premier-league-2016,980903,Delhi Daredevils,Kolkata Knight Riders,NA,9,Kolkata Knight Riders,NA,NA,NA,Kolkata Knight Riders,Field,Indian Premier League 2016,Andre Russell,2,Kolkata,Apr 10 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980923/sunrisers-hyderabad-vs-mumbai-indians-12th-match-indian-premier-league-2016,980923,Mumbai Indians,Sunrisers Hyderabad,NA,7,Sunrisers Hyderabad,NA,NA,NA,Sunrisers Hyderabad,Field,Indian Premier League 2016,David Warner,12,Hyderabad (Deccan),Apr 18 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980913/delhi-daredevils-vs-kings-xi-punjab-7th-match-indian-premier-league-2016,980913,Kings XI Punjab,Delhi Daredevils,NA,8,Delhi Daredevils,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2016,Amit Mishra,7,Delhi,Apr 15 2016,N
https://www.espncricinfo.com/series/8048/scorecard/980927/mumbai-indians-vs-royal-challengers-bangalore-14th-match-indian-premier-league-2016,980927,Royal Challengers Bangalore,Mumbai Indians,NA,6,Mumbai Indians,NA,NA,NA,Mumbai Indians,Field,Indian Premier League 2016,Rohit Sharma,14,Mumbai,Apr 20 2016,N
