url,match_id,team_1,team_2,win_runs,win_wickets,winner,match_drawn,match_abandoned,no_result,toss_winner,winner_choice,series,pom,match_number,city,date,day_night
https://www.espncricinfo.com/series/8048/scorecard/419165/chennai-super-kings-vs-mumbai-indians-final-indian-premier-league-2009-10,419165,Chennai Super Kings,Mumbai Indians,22,NA,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2010,Suresh Raina,Final,Mumbai,Apr 25 2010,N
https://www.espncricinfo.com/series/8048/scorecard/419140/delhi-daredevils-vs-royal-challengers-bangalore-35th-match-indian-premier-league-2009-10,419140,Delhi Daredevils,Royal Challengers Bangalore,37,NA,Delhi Daredevils,NA,NA,NA,Delhi Daredevils,Bat,Indian Premier League 2010,Paul Collingwood,35,Delhi,Apr 4 2010,N
https://www.espncricinfo.com/series/8048/scorecard/419137/chennai-super-kings-vs-rajasthan-royals-32nd-match-indian-premier-league-2009-10,419137,Chennai Super Kings,Rajasthan Royals,23,NA,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2010,Murali Vijay,32,Chennai,Apr 3 2010,D/N
https://www.espncricinfo.com/series/8048/scorecard/419138/mumbai-indians-vs-deccan-chargers-33rd-match-indian-premier-league-2009-10,419138,Mumbai Indians,Deccan Chargers,63,NA,Mumbai Indians,NA,NA,NA,Mumbai Indians,Bat,Indian Premier League 2010,Ambati Rayudu,33,Mumbai (BS),Apr 3 2010,N
https://www.espncricinfo.com/series/8048/scorecard/419136/kings-xi-punjab-vs-royal-challengers-bangalore-31st-match-indian-premier-league-2009-10,419136,Kings XI Punjab,Royal Challengers Bangalore,NA,6,Royal Challengers Bangalore,NA,NA,NA,Kings XI Punjab,Bat,Indian Premier League 2010,Kevin Pietersen,31,Mohali,Apr 2 2010,N
https://www.espncricinfo.com/series/8048/scorecard/419135/kolkata-knight-riders-vs-deccan-chargers-30th-match-indian-premier-league-2009-10,419135,Kolkata Knight Riders,Deccan Chargers,24,NA,Kolkata Knight Riders,NA,NA,NA,Kolkata Knight Riders,Bat,Indian Premier League 2010,Sourav Ganguly,30,Kolkata,Apr 1 2010,N
https://www.espncricinfo.com/series/8048/scorecard/419134/delhi-daredevils-vs-rajasthan-royals-29th-match-indian-premier-league-2009-10,419134,Delhi Daredevils,Rajasthan Royals,67,NA,Delhi Daredevils,NA,NA,NA,Delhi Daredevils,Bat,Indian Premier League 2010,Dinesh Karthik,29,Delhi,Mar 31 2010,N
https://www.espncricinfo.com/series/8048/scorecard/419141/deccan-chargers-vs-rajasthan-royals-36th-match-indian-premier-league-2009-10,419141,Rajasthan Royals,Deccan Chargers,2,NA,Rajasthan Royals,NA,NA,NA,Rajasthan Royals,Bat,Indian Premier League 2010,Shane Warne,36,Nagpur,Apr 5 2010,N
https://www.espncricinfo.com/series/8048/scorecard/419139/kolkata-knight-riders-vs-kings-xi-punjab-34th-match-indian-premier-league-2009-10,419139,Kolkata Knight Riders,Kings XI Punjab,NA,8,Kings XI Punjab,NA,NA,NA,Kolkata Knight Riders,Bat,Indian Premier League 2010,Mahela Jayawardene,34,Kolkata,Apr 4 2010,D/N
https://www.espncricinfo.com/series/8048/scorecard/419133/chennai-super-kings-vs-royal-challengers-bangalore-28th-match-indian-premier-league-2009-10,419133,Royal Challengers Bangalore,Chennai Super Kings,NA,5,Chennai Super Kings,NA,NA,NA,Royal Challengers Bangalore,Bat,Indian Premier League 2010,Murali Vijay,28,Chennai,Mar 31 2010,D/N
