,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
21,KK Ahmed,DNB,0,0,0,0,0,1,3,0,38,0,12.66,7,2,4,1,0
0,S Dhawan,lbw b Prasidh Krishna,50,39,5,1,128.2,1,,,,,,,,,,
1,SP Goswami,c Russell b Kuldeep Yadav,35,26,4,1,134.61,1,,,,,,,,,,
2,KS Williamson,c Russell b Scantlebury0Searles,36,17,1,3,211.76,1,,,,,,,,,,
3,MK Pandey,c sub (RK Singh) b Prasidh Krishna,25,22,2,1,113.63,1,,,,,,,,,,
4,YK Pathan,c Uthappa b Narine,2,4,0,0,50,1,,,,,,,,,,
5,CR Brathwaite,c †Karthik b Russell,3,4,0,0,75,1,2.4,0,21,2,7.87,7,2,1,1,0
6,Shakib Al Hasan,c Narine b Prasidh Krishna,10,7,2,0,142.85,1,3,0,30,1,10,4,2,2,0,0
7,Rashid Khan,c †Karthik b Prasidh Krishna,0,1,0,0,0,1,4,0,31,0,7.75,4,1,1,0,0
8,B Kumar,run out (†Karthik),0,1,0,0,0,1,4,0,33,0,8.25,9,3,1,1,0
9,S Kaul,not out,0,0,0,0,0,1,4,0,26,2,6.5,13,3,1,1,0
10,CA Lynn,c Pandey b Kaul,55,43,4,3,127.9,2,,,,,,,,,,
11,SP Narine,c Pandey b Shakib Al Hasan,29,10,4,2,290,2,4,0,23,1,5.75,10,0,1,2,0
12,RV Uthappa,c †Goswami b Brathwaite,45,34,3,2,132.35,2,,,,,,,,,,
13,KD Karthik,not out,26,22,1,1,118.18,2,,,,,,,,,,
14,AD Russell,c Pandey b Kaul,4,4,1,0,100,2,3,0,31,1,10.33,10,5,1,1,1
15,N Rana,c Kumar b Brathwaite,7,5,1,0,140,2,1,0,5,0,5,4,1,0,0,0
16,Shubman Gill,not out,0,0,0,0,0,2,,,,,,,,,,
17,Sandeep Sharma,DNB,0,0,0,0,0,1,2,0,30,0,15,4,3,2,2,0
18,PP Chawla,DNB,0,0,0,0,0,2,2,0,19,0,9.5,2,2,0,0,0
19,JPR Scantlebury Searles,DNB,0,0,0,0,0,2,,,,,,,,,,
20,Kuldeep Yadav,DNB,0,0,0,0,0,2,4,0,35,1,8.75,4,3,1,0,0
21,M Prasidh Krishna,DNB,0,0,0,0,0,2,4,0,30,4,7.5,10,3,1,2,0
22,JPR Scantlebury0Searles,,,,,,,2,2,0,24,1,12,2,0,2,0,0
0,PP Shaw,run out (HH Pandya),12,8,2,0,150,1,,,,,,,,,,
1,GJ Maxwell,b Bumrah,22,18,4,0,122.22,1,2,0,19,0,9.5,6,1,2,0,0
2,SS Iyer,c KH Pandya b Markande,6,10,0,0,60,1,,,,,,,,,,
3,RR Pant,c Pollard b KH Pandya,64,44,4,4,145.45,1,,,,,,,,,,
4,V Shankar,not out,43,30,3,2,143.33,1,,,,,,,,,,
5,Abhishek Sharma,not out,15,10,0,1,150,1,,,,,,,,,,
6,SA Yadav,c Shankar b Lamichhane,12,4,1,1,300,2,,,,,,,,,,
7,E Lewis,st †Pant b Mishra,48,31,3,4,154.83,2,,,,,,,,,,
8,Ishan Kishan,c Shankar b Mishra,5,13,0,0,38.46,2,,,,,,,,,,
9,KA Pollard,c Boult b Lamichhane,7,7,0,0,100,2,,,,,,,,,,
10,RG Sharma,c Boult b Patel,13,11,1,0,118.18,2,,,,,,,,,,
11,KH Pandya,c sub (R Tewatia) b Lamichhane,4,3,1,0,133.33,2,2,0,11,1,5.5,5,1,0,0,0
12,HH Pandya,c sub (R Tewatia) b Mishra,27,17,2,1,158.82,2,4,0,36,0,9,8,3,2,1,0
13,BCJ Cutting,c Maxwell b Patel,37,20,2,3,185,2,4,0,36,0,9,5,2,2,1,0
14,M Markande,b Boult,3,10,0,0,30,2,2,0,21,1,10.5,2,2,1,0,0
15,JJ Bumrah,c Boult b Patel,0,1,0,0,0,2,4,0,29,1,7.25,8,3,0,3,0
16,Mustafizur Rahman,not out,0,0,0,0,0,2,4,0,34,0,8.5,9,2,2,0,0
17,HV Patel,DNB,0,0,0,0,0,1,2.3,0,28,3,11.2,6,2,2,1,0
