team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
MI,SRH,MI,bowl,"Wankhede Stadium, Mumbai",8:00 PM,Chettithody Shamshuddin,Sundaram Ravi,Abhijit Deshmukh,Vengalil Narayan Kutty,"['Suryakumar Yadav', 'Evin Lewis', 'Ishan Kishan', 'Rohit Sharma', 'Kieron Pollard', 'Krunal Pandya', 'Hardik Pandya', 'Mitchell McClenaghan', 'Mayank Markande', 'Jasprit Bumrah', 'Mustafizur Rahman']","['Shikhar Dhawan', 'Kane Williamson', 'Wriddhiman Saha', 'Manish Pandey', 'Shakib Al Hasan', 'Yusuf Pathan', 'Mohammad Nabi', 'Rashid Khan', 'Basil Thampi', 'Sandeep Sharma', 'Siddarth Kaul']",SRH
RCB,CSK,CSK,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Nigel Llong,Virender Sharma,Anil Chaudhary,Sunil Chaturvedi,"['Quinton de Kock', 'Virat Kohli', 'AB de Villiers', 'Mandeep Singh', 'Corey Anderson', 'Colin de Grandhomme', 'Washington Sundar', 'Pawan Negi', 'Umesh Yadav', 'Mohammed Siraj', 'Yuzvendra Chahal']","['Shane Watson', 'Ambati Rayudu', 'Suresh Raina', 'Sam Billings', 'MS Dhoni', 'Dwayne Bravo', 'Ravindra Jadeja', 'Harbhajan Singh', 'Deepak Chahar', 'Shardul Thakur', 'Imran Tahir']",CSK
SRH,KXIP,KXIP,bowl,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Nandan,Yeshwant Barde,Rod Tucker,Javagal Srinath,"['Shikhar Dhawan', 'Kane Williamson', 'Wriddhiman Saha', 'Manish Pandey', 'Shakib Al Hasan', 'Yusuf Pathan', 'Mohammad Nabi', 'Rashid Khan', 'Basil Thampi', 'Siddarth Kaul', 'Sandeep Sharma']","['Lokesh Rahul', 'Chris Gayle', 'Mayank Agarwal', 'Karun Nair', 'Aaron Finch', 'Manoj Tiwary', 'Ravichandran Ashwin', 'Andrew Tye', 'Barinder Sran', 'Ankit Rajpoot', 'Mujeeb Ur Rahman']",SRH
DC,KKR,KKR,bowl,"Arun Jaitley Stadium, Delhi",8:00 PM,Chettithody Shamshuddin,Sundaram Ravi,Nand Kishore,Sir Richie Richardson,"['Prithvi Shaw', 'Colin Munro', 'Glenn Maxwell', 'Rishabh Pant', 'Shreyas Iyer', 'Vijay Shankar', 'Rahul Tewatia', 'Liam Plunkett', 'Amit Mishra', 'Avesh Khan', 'Trent Boult']","['Chris Lynn', 'Sunil Narine', 'Robin Uthappa', 'Nitish Rana', 'Dinesh Karthik', 'Andre Russell', 'Shubman Gill', 'Mitchell Johnson', 'Piyush Chawla', 'Shivam Mavi', 'Kuldeep Yadav']",DC
CSK,MI,MI,bowl,"Maharashtra Cricket Association Stadium, Pune",8:00 PM,Nitin Menon,Chris Gaffaney,Anil Dandekar,Vengalil Narayan Kutty,"['Shane Watson', 'Ambati Rayudu', 'Suresh Raina', 'Sam Billings', 'Ravindra Jadeja', 'MS Dhoni', 'Dwayne Bravo', 'Harbhajan Singh', 'Deepak Chahar', 'Shardul Thakur', 'Imran Tahir']","['Suryakumar Yadav', 'Evin Lewis', 'Ishan Kishan', 'Rohit Sharma', 'Jean-Paul Duminy', 'Krunal Pandya', 'Hardik Pandya', 'Ben Cutting', 'Mitchell McClenaghan', 'Mayank Markande', 'Jasprit Bumrah']",MI
RR,SRH,SRH,bat,"Sawai Mansingh Stadium, Jaipur",4:00 PM,Bruce Oxenford,Nand Kishore,Sundaram Ravi,Andy Pycroft,"['Ajinkya Rahane', 'Rahul Tripathi', 'Sanju Samson', 'Ben Stokes', 'Jos Buttler', 'Mahipal Lomror', 'Krishnappa Gowtham', 'Jofra Archer', 'Dhawal Kulkarni', 'Ish Sodhi', 'Jaydev Unadkat']","['Shikhar Dhawan', 'Alex Hales', 'Kane Williamson', 'Manish Pandey', 'Shakib Al Hasan', 'Yusuf Pathan', 'Wriddhiman Saha', 'Rashid Khan', 'Basil Thampi', 'Siddarth Kaul', 'Sandeep Sharma']",SRH
RCB,KKR,KKR,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Nigel Llong,Anil Chaudhary,Virender Sharma,Manu Nayyar,"['Brendon McCullum', 'Quinton de Kock', 'Virat Kohli', 'Manan Vohra', 'Mandeep Singh', 'Colin de Grandhomme', 'Murugan Ashwin', 'Tim Southee', 'Umesh Yadav', 'Mohammed Siraj', 'Yuzvendra Chahal']","['Chris Lynn', 'Sunil Narine', 'Robin Uthappa', 'Nitish Rana', 'Dinesh Karthik', 'Shubman Gill', 'Andre Russell', 'Shivam Mavi', 'Piyush Chawla', 'Mitchell Johnson', 'Kuldeep Yadav']",KKR
CSK,DC,DC,bowl,"Maharashtra Cricket Association Stadium, Pune",8:00 PM,Anil Dandekar,Chettithody Shamshuddin,Nandan,Vengalil Narayan Kutty,"['Shane Watson', 'Ambati Rayudu', 'Suresh Raina', 'Faf du Plessis', 'MS Dhoni', 'Ravindra Jadeja', 'Dwayne Bravo', 'Karn Sharma', 'Harbhajan Singh', 'Lungi Ngidi', 'KM Asif']","['Prithvi Shaw', 'Colin Munro', 'Shreyas Iyer', 'Rishabh Pant', 'Glenn Maxwell', 'Vijay Shankar', 'Rahul Tewatia', 'Liam Plunkett', 'Amit Mishra', 'Avesh Khan', 'Trent Boult']",CSK
RCB,MI,MI,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Nitin Menon,Marais Erasmus,Yeshwant Barde,Javagal Srinath,"['Quinton de Kock', 'Brendon McCullum', 'Virat Kohli', 'Manan Vohra', 'Mandeep Singh', 'Colin de Grandhomme', 'Washington Sundar', 'Tim Southee', 'Umesh Yadav', 'Mohammed Siraj', 'Yuzvendra Chahal']","['Suryakumar Yadav', 'Rohit Sharma', 'Ishan Kishan', 'Jean-Paul Duminy', 'Hardik Pandya', 'Krunal Pandya', 'Kieron Pollard', 'Ben Cutting', 'Mitchell McClenaghan', 'Mayank Markande', 'Jasprit Bumrah']",RCB
DC,RR,RR,bowl,"Arun Jaitley Stadium, Delhi",8:00 PM,Nandan,Virender Sharma,Bruce Oxenford,Andy Pycroft,"['Prithvi Shaw', 'Colin Munro', 'Shreyas Iyer', 'Rishabh Pant', 'Glenn Maxwell', 'Vijay Shankar', 'Liam Plunkett', 'Amit Mishra', 'Shahbaz Nadeem', 'Avesh Khan', 'Trent Boult']","['Ajinkya Rahane', 'D Arcy Short', 'Sanju Samson', 'Rahul Tripathi', 'Ben Stokes', 'Jos Buttler', 'Krishnappa Gowtham', 'Jofra Archer', 'Shreyas Gopal', 'Jaydev Unadkat', 'Dhawal Kulkarni']",DC
KKR,CSK,KKR,bowl,"Eden Gardens, Kolkata",8:00 PM,Abhijit Deshmukh,Kumar Dharmasena,Anil Chaudhary,Vengalil Narayan Kutty,"['Chris Lynn', 'Sunil Narine', 'Robin Uthappa', 'Dinesh Karthik', 'Rinku Singh', 'Shubman Gill', 'Andre Russell', 'Shivam Mavi', 'Piyush Chawla', 'Mitchell Johnson', 'Kuldeep Yadav']","['Shane Watson', 'Faf du Plessis', 'Suresh Raina', 'Ambati Rayudu', 'MS Dhoni', 'Dwayne Bravo', 'Ravindra Jadeja', 'Karn Sharma', 'Harbhajan Singh', 'Lungi Ngidi', 'KM Asif']",KKR
KXIP,MI,MI,bowl,"Holkar Cricket Stadium, Indore",8:00 PM,Sundaram Ravi,Anil Dandekar,Chettithody Shamshuddin,Manu Nayyar,"['Lokesh Rahul', 'Chris Gayle', 'Mayank Agarwal', 'Karun Nair', 'Yuvraj Singh', 'Marcus Stoinis', 'Ravichandran Ashwin', 'Axar Patel', 'Andrew Tye', 'Ankit Rajpoot', 'Mujeeb Ur Rahman']","['Suryakumar Yadav', 'Evin Lewis', 'Ishan Kishan', 'Jean-Paul Duminy', 'Rohit Sharma', 'Hardik Pandya', 'Krunal Pandya', 'Ben Cutting', 'Mitchell McClenaghan', 'Mayank Markande', 'Jasprit Bumrah']",MI
CSK,RCB,CSK,bowl,"Maharashtra Cricket Association Stadium, Pune",4:00 PM,Nitin Menon,Yeshwant Barde,Marais Erasmus,Javagal Srinath,"['Shane Watson', 'Ambati Rayudu', 'Suresh Raina', 'MS Dhoni', 'Dhruv Shorey', 'Ravindra Jadeja', 'Dwayne Bravo', 'David Willey', 'Harbhajan Singh', 'Lungi Ngidi', 'Shardul Thakur']","['Parthiv Patel', 'Brendon McCullum', 'Virat Kohli', 'AB de Villiers', 'Mandeep Singh', 'Colin de Grandhomme', 'Tim Southee', 'Murugan Ashwin', 'Umesh Yadav', 'Mohammed Siraj', 'Yuzvendra Chahal']",CSK
SRH,DC,DC,bat,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Bruce Oxenford,Nandan,Virender Sharma,Andy Pycroft,"['Alex Hales', 'Shikhar Dhawan', 'Kane Williamson', 'Manish Pandey', 'Shakib Al Hasan', 'Yusuf Pathan', 'Wriddhiman Saha', 'Bhuvneshwar Kumar', 'Rashid Khan', 'Siddarth Kaul', 'Sandeep Sharma']","['Prithvi Shaw', 'Naman Ojha', 'Shreyas Iyer', 'Rishabh Pant', 'Glenn Maxwell', 'Vijay Shankar', 'Daniel Christian', 'Liam Plunkett', 'Amit Mishra', 'Avesh Khan', 'Trent Boult']",SRH
MI,KKR,KKR,bowl,"Wankhede Stadium, Mumbai",4:00 PM,Kumar Dharmasena,Abhijit Deshmukh,Anil Chaudhary,Vengalil Narayan Kutty,"['Suryakumar Yadav', 'Evin Lewis', 'Ishan Kishan', 'Rohit Sharma', 'Jean-Paul Duminy', 'Hardik Pandya', 'Krunal Pandya', 'Ben Cutting', 'Mitchell McClenaghan', 'Mayank Markande', 'Jasprit Bumrah']","['Chris Lynn', 'Sunil Narine', 'Robin Uthappa', 'Shubman Gill', 'Nitish Rana', 'Dinesh Karthik', 'Andre Russell', 'Piyush Chawla', 'Mitchell Johnson', 'Prasidh Krishna', 'Kuldeep Yadav']",MI
KXIP,RR,KXIP,bowl,"Holkar Cricket Stadium, Indore",8:00 PM,Chettithody Shamshuddin,Sundaram Ravi,Anil Dandekar,Manu Nayyar,"['Lokesh Rahul', 'Chris Gayle', 'Karun Nair', 'Mayank Agarwal', 'Marcus Stoinis', 'Manoj Tiwary', 'Ravichandran Ashwin', 'Axar Patel', 'Andrew Tye', 'Ankit Rajpoot', 'Mujeeb Ur Rahman']","['Jos Buttler', 'D Arcy Short', 'Ajinkya Rahane', 'Sanju Samson', 'Ben Stokes', 'Rahul Tripathi', 'Krishnappa Gowtham', 'Jofra Archer', 'Shreyas Gopal', 'Anureet Singh', 'Jaydev Unadkat']",KXIP
SRH,RCB,RCB,bowl,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Bruce Oxenford,Virender Sharma,Nandan,Andy Pycroft,"['Alex Hales', 'Shikhar Dhawan', 'Kane Williamson', 'Manish Pandey', 'Shakib Al Hasan', 'Yusuf Pathan', 'Wriddhiman Saha', 'Bhuvneshwar Kumar', 'Rashid Khan', 'Siddarth Kaul', 'Sandeep Sharma']","['Parthiv Patel', 'Manan Vohra', 'Virat Kohli', 'AB de Villiers', 'Mandeep Singh', 'Moeen Ali', 'Colin de Grandhomme', 'Tim Southee', 'Umesh Yadav', 'Mohammed Siraj', 'Yuzvendra Chahal']",SRH
RR,KXIP,RR,bat,"Sawai Mansingh Stadium, Jaipur",8:00 PM,Nitin Menon,Marais Erasmus,Yeshwant Barde,Javagal Srinath,"['Jos Buttler', 'Ajinkya Rahane', 'Sanju Samson', 'Ben Stokes', 'Stuart Binny', 'Mahipal Lomror', 'Jofra Archer', 'Krishnappa Gowtham', 'Jaydev Unadkat', 'Ish Sodhi', 'Anureet Singh']","['Lokesh Rahul', 'Chris Gayle', 'Akshdeep Nath', 'Karun Nair', 'Axar Patel', 'Marcus Stoinis', 'Manoj Tiwary', 'Ravichandran Ashwin', 'Andrew Tye', 'Mohit Sharma', 'Mujeeb Ur Rahman']",RR
KKR,MI,KKR,bowl,"Eden Gardens, Kolkata",8:00 PM,KN Anantha Padmanabhan,Anil Kumar Chaudhary,Kumar Dharmasena,Prakash Bhatt,"['Chris Lynn', 'Sunil Narine', 'Robin Uthappa', 'Nitish Rana', 'Dinesh Karthik', 'Rinku Singh', 'Andre Russell', 'Piyush Chawla', 'Tom Curran', 'Prasidh Krishna', 'Kuldeep Yadav']","['Suryakumar Yadav', 'Evin Lewis', 'Rohit Sharma', 'Hardik Pandya', 'Krunal Pandya', 'Jean-Paul Duminy', 'Ishan Kishan', 'Ben Cutting', 'Mitchell McClenaghan', 'Mayank Markande', 'Jasprit Bumrah']",MI
