,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
0,M Vijay,c Tiwary b Fernando,26,19,1,2,136.84,1,,,,,,,,,,
1,ML Hayden,c †Rayudu b Pollard,17,31,1,1,54.83,1,,,,,,,,,,
2,SK Raina,not out,57,35,3,3,162.85,1,2,0,21,1,10.5,4,2,1,2,0
3,S Badrinath,c Malinga b Fernando,14,11,2,0,127.27,1,,,,,,,,,,
4,MS Dhoni,c Fernando b Khan,22,15,2,1,146.66,1,,,,,,,,,,
5,JA Morkel,run out (†Rayudu),15,6,1,1,250,1,3,0,20,1,6.66,8,3,0,1,0
6,S Anirudha,not out,6,3,1,0,200,1,,,,,,,,,,
7,S Dhawan,c †Dhoni b Bollinger,0,8,0,0,0,2,,,,,,,,,,
8,SR Tendulkar,c Vijay b Jakati,48,45,7,0,106.66,2,,,,,,,,,,
9,AM Nayar,run out (†Dhoni),27,26,1,2,103.84,2,,,,,,,,,,
10,Harbhajan Singh,lbw b Raina,1,2,0,0,50,2,4,0,30,0,7.5,10,1,2,0,0
11,AT Rayudu,run out (Vijay/†Dhoni/Morkel),21,14,1,1,150,2,,,,,,,,,,
12,SS Tiwary,c Raina b Jakati,0,2,0,0,0,2,,,,,,,,,,
13,JP Duminy,c Jakati b Muralitharan,6,7,0,0,85.71,2,,,,,,,,,,
14,KA Pollard,c Hayden b Morkel,27,10,3,2,270,2,4,0,45,1,11.25,3,2,3,0,0
15,Z Khan,run out (Ashwin/†Dhoni),1,3,0,0,33.33,2,4,0,34,1,8.5,9,2,2,1,0
16,SL Malinga,not out,1,1,0,0,100,2,4,0,33,0,8.25,11,4,0,1,0
17,CRD Fernando,not out,2,2,0,0,100,2,4,0,23,2,5.75,14,2,1,2,0
18,R Ashwin,DNB,0,0,0,0,0,1,4,1,24,0,6,13,3,0,2,0
19,SB Jakati,DNB,0,0,0,0,0,1,3,0,26,2,8.66,6,1,2,0,0
20,DE Bollinger,DNB,0,0,0,0,0,1,4,0,31,1,7.75,10,2,2,0,0
21,M Muralitharan,DNB,0,0,0,0,0,1,4,0,17,1,4.25,11,1,0,0,0
0,DA Warner,c Kohli b Kumble,33,22,3,2,150,1,,,,,,,,,,
1,V Sehwag,b Mithun,35,22,5,2,159.09,1,,,,,,,,,,
2,G Gambhir,run out (Appanna),1,1,0,0,100,1,,,,,,,,,,
3,PD Collingwood,not out,75,46,3,7,163.04,1,,,,,,,,,,
4,KD Karthik,c White b Appanna,6,4,1,0,150,1,,,,,,,,,,
5,KM Jadhav,run out (†Uthappa),7,9,0,0,77.77,1,,,,,,,,,,
6,DL Vettori,not out,19,17,2,0,111.76,1,4,0,40,1,10,7,2,3,0,0
7,JH Kallis,c Collingwood b Sangwan,54,42,5,1,128.57,2,3,0,26,0,8.66,8,3,1,0,0
8,CL White,c Warner b Mishra,4,11,0,0,36.36,2,1,0,19,0,19,2,1,2,1,0
9,KP Pietersen,b Sangwan,16,19,0,1,84.21,2,1,0,3,0,3,4,0,0,0,0
10,RV Uthappa,c Warner b Sangwan,12,9,0,1,133.33,2,,,,,,,,,,
11,LRPL Taylor,lbw b Bhatia,22,10,0,3,220,2,,,,,,,,,,
12,V Kohli,b Maharoof,13,11,1,0,118.18,2,,,,,,,,,,
13,R Dravid,c Warner b Mishra,14,9,2,0,155.55,2,,,,,,,,,,
14,R Vinay Kumar,b Vettori,3,3,0,0,100,2,4,0,35,0,8.75,10,5,1,0,0
15,A Mithun,b Mishra,5,4,1,0,125,2,3,0,39,1,13,2,2,3,1,1
16,A Kumble,not out,1,1,0,0,100,2,4,0,33,1,8.25,12,3,2,0,0
17,KP Appanna,not out,1,2,0,0,50,2,4,0,24,1,6,10,0,2,0,0
18,R Bhatia,DNB,0,0,0,0,0,1,4,0,24,1,6,5,1,0,0,0
19,A Mishra,DNB,0,0,0,0,0,1,4,0,32,3,8,13,1,3,0,1
20,MF Maharoof,DNB,0,0,0,0,0,1,4,0,28,1,7,9,4,0,0,0
21,PJ Sangwan,DNB,0,0,0,0,0,1,4,0,22,3,5.5,7,1,0,0,0
0,M Vijay,c Fazal b Watson,127,56,8,11,226.78,1,,,,,,,,,,
1,ML Hayden,c Watson b Wagh,34,21,5,1,161.9,1,,,,,,,,,,
2,SK Raina,c Tait b Warne,13,7,2,0,185.71,1,1,0,8,0,8,1,1,0,0,0
3,JA Morkel,run out (Narwal),62,34,3,5,182.35,1,4,0,56,2,14,4,10,1,0,0
4,MS Dhoni,c Narwal b Watson,0,1,0,0,0,1,,,,,,,,,,
5,S Badrinath,not out,4,1,1,0,400,1,,,,,,,,,,
6,S Anirudha,not out,0,0,0,0,0,1,,,,,,,,,,
7,MJ Lumb,c Anirudha b Morkel,37,26,6,1,142.3,2,,,,,,,,,,
8,NV Ojha,not out,94,55,8,6,170.9,2,,,,,,,,,,
9,YK Pathan,c Bollinger b Morkel,4,2,1,0,200,2,4,0,44,0,11,5,3,3,0,0
10,SR Watson,b Bollinger,60,25,5,5,240,2,4,0,47,2,11.75,8,4,3,1,0
11,FY Fazal,c Anirudha b Muralitharan,4,5,0,0,80,2,,,,,,,,,,
12,AA Jhunjhunwala,c Raina b Bollinger,7,4,0,1,175,2,2,0,18,0,9,4,0,1,0,0
13,AS Raut,not out,2,4,0,0,50,2,,,,,,,,,,
14,M Muralitharan,DNB,0,0,0,0,0,1,4,0,52,1,13,9,2,6,1,0
15,SB Jakati,DNB,0,0,0,0,0,1,3,0,37,0,12.33,4,1,4,0,0
16,DE Bollinger,DNB,0,0,0,0,0,1,4,0,15,2,3.75,15,1,0,1,1
17,S Tyagi,DNB,0,0,0,0,0,1,4,0,45,0,11.25,8,5,2,2,0
18,S Narwal,DNB,0,0,0,0,0,2,2,0,41,0,20.5,2,2,5,0,0
19,SB Wagh,DNB,0,0,0,0,0,2,1,0,16,1,16,2,4,0,0,0
20,SK Warne,DNB,0,0,0,0,0,2,3,0,32,1,10.66,6,1,3,0,0
21,SW Tait,DNB,0,0,0,0,0,2,4,0,44,0,11,8,5,2,1,0
0,S Dhawan,st †Gilchrist b Ojha,14,13,1,0,107.69,1,,,,,,,,,,
1,SR Tendulkar,lbw b R Sharma,35,25,5,0,140,1,,,,,,,,,,
2,SS Tiwary,c Harris b Ojha,44,35,1,3,125.71,1,,,,,,,,,,
3,DJ Bravo,b Ojha,2,8,0,0,25,1,2,0,12,0,6,5,1,0,0,0
4,AT Rayudu,not out,55,29,6,2,189.65,1,,,,,,,,,,
5,KA Pollard,c Symonds b Harris,21,10,3,0,210,1,4,0,26,2,6.5,7,0,0,2,1
6,HH Gibbs,c Tendulkar b Khan,17,15,3,0,113.33,2,,,,,,,,,,
7,AC Gilchrist,b Khan,19,14,1,1,135.71,2,,,,,,,,,,
8,VVS Laxman,run out (Pollard/†Rayudu),4,7,0,0,57.14,2,,,,,,,,,,
9,A Symonds,b McLaren,21,18,2,0,116.66,2,4,0,32,0,8,5,1,1,1,0
10,RG Sharma,c & b Pollard,11,13,0,0,84.61,2,3,0,26,0,8.66,4,2,0,2,0
11,MD Mishra,c Bravo b Pollard,5,7,0,0,71.42,2,,,,,,,,,,
12,TL Suman,c †Rayudu b Harbhajan Singh,11,16,0,0,68.75,2,,,,,,,,,,
13,RJ Harris,c Dhawan b McLaren,13,10,1,0,130,2,4,0,40,1,10,7,6,0,0,0
14,R Sharma,c Bravo b Harbhajan Singh,5,7,1,0,71.42,2,3,0,24,1,8,8,1,2,0,0
15,Jaskaran Singh,not out,0,2,0,0,0,2,2,0,28,0,14,1,3,1,1,0
16,PP Ojha,b Malinga,2,2,0,0,100,2,4,0,26,3,6.5,12,3,1,0,0
17,R Sathish,DNB,0,0,0,0,0,1,,,,,,,,,,
18,R McLaren,DNB,0,0,0,0,0,1,4,0,28,2,7,8,3,0,0,0
19,Harbhajan Singh,DNB,0,0,0,0,0,1,3,1,16,2,5.33,10,2,0,0,0
20,Z Khan,DNB,0,0,0,0,0,1,2,0,10,2,5,5,1,0,0,0
21,SL Malinga,DNB,0,0,0,0,0,1,3.2,0,20,1,6,11,1,1,1,0
0,SE Marsh,c Dravid b Vinay Kumar,2,9,0,0,22.22,1,,,,,,,,,,
1,MS Bisla,b Kumble,28,26,4,0,107.69,1,,,,,,,,,,
2,KC Sangakkara,c Kallis b Steyn,45,27,8,0,166.66,1,,,,,,,,,,
3,RS Bopara,not out,42,33,3,0,127.27,1,,,,,,,,,,
4,Yuvraj Singh,c White b Kallis,36,20,3,2,180,1,2,0,14,0,7,4,1,0,0,0
5,IK Pathan,run out (Pandey/†Uthappa),16,5,2,1,320,1,3.1,0,36,1,11.36,4,6,0,1,0
