url,match_id,team_1,team_2,win_runs,win_wickets,winner,match_drawn,match_abandoned,no_result,toss_winner,winner_choice,series,pom,match_number,city,date,day_night
https://www.espncricinfo.com/series/8048/scorecard/1082650/mumbai-indians-vs-rising-pune-supergiant-final-indian-premier-league-2017,1082650,Mumbai Indians,Rising Pune Supergiant,1,NA,Mumbai Indians,NA,NA,NA,Mumbai Indians,Bat,Indian Premier League 2017,Krunal Pandya,Final,Hyderabad (Deccan),May 21 2017,N
https://www.espncricinfo.com/series/8048/scorecard/1082617/kolkata-knight-riders-vs-royal-challengers-bangalore-27th-match-indian-premier-league-2017,1082617,Kolkata Knight Riders,Royal Challengers Bangalore,82,NA,Kolkata Knight Riders,NA,NA,NA,Royal Challengers Bangalore,Field,Indian Premier League 2017,Nathan Coulter-Nile,27,Kolkata,Apr 23 2017,N
https://www.espncricinfo.com/series/8048/scorecard/1082616/gujarat-lions-vs-kings-xi-punjab-26th-match-indian-premier-league-2017,1082616,Kings XI Punjab,Gujarat Lions,26,NA,Kings XI Punjab,NA,NA,NA,Gujarat Lions,Field,Indian Premier League 2017,Hashim Amla,26,Rajkot,Apr 23 2017,D/N
https://www.espncricinfo.com/series/8048/scorecard/1082648/sunrisers-hyderabad-vs-kolkata-knight-riders-eliminator-indian-premier-league-2017,1082648,Sunrisers Hyderabad,Kolkata Knight Riders,NA,7,Kolkata Knight Riders,NA,NA,NA,Kolkata Knight Riders,Field,Indian Premier League 2017,Nathan Coulter-Nile,Eliminator,Bengaluru,May 17 2017,N
https://www.espncricinfo.com/series/8048/scorecard/1082613/kolkata-knight-riders-vs-gujarat-lions-23rd-match-indian-premier-league-2017,1082613,Kolkata Knight Riders,Gujarat Lions,NA,4,Gujarat Lions,NA,NA,NA,Gujarat Lions,Field,Indian Premier League 2017,Suresh Raina,23,Kolkata,Apr 21 2017,N
https://www.espncricinfo.com/series/8048/scorecard/1082612/kings-xi-punjab-vs-mumbai-indians-22nd-match-indian-premier-league-2017,1082612,Kings XI Punjab,Mumbai Indians,NA,8,Mumbai Indians,NA,NA,NA,Mumbai Indians,Field,Indian Premier League 2017,Jos Buttler,22,Indore,Apr 20 2017,N
https://www.espncricinfo.com/series/8048/scorecard/1082618/mumbai-indians-vs-rising-pune-supergiant-28th-match-indian-premier-league-2017,1082618,Rising Pune Supergiant,Mumbai Indians,3,NA,Rising Pune Supergiant,NA,NA,NA,Mumbai Indians,Field,Indian Premier League 2017,Ben Stokes,28,Mumbai,Apr 24 2017,N
https://www.espncricinfo.com/series/8048/scorecard/1082649/mumbai-indians-vs-kolkata-knight-riders-qualifier-2-indian-premier-league-2017,1082649,Kolkata Knight Riders,Mumbai Indians,NA,6,Mumbai Indians,NA,NA,NA,Mumbai Indians,Field,Indian Premier League 2017,Karn Sharma,Qualifier,Bengaluru,May 19 2017,N
https://www.espncricinfo.com/series/8048/scorecard/1082614/mumbai-indians-vs-delhi-daredevils-25th-match-indian-premier-league-2017,1082614,Mumbai Indians,Delhi Daredevils,14,NA,Mumbai Indians,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2017,Mitchell McClenaghan,25,Mumbai,Apr 22 2017,N
https://www.espncricinfo.com/series/8048/scorecard/1082615/rising-pune-supergiant-vs-sunrisers-hyderabad-24th-match-indian-premier-league-2017,1082615,Sunrisers Hyderabad,Rising Pune Supergiant,NA,6,Rising Pune Supergiant,NA,NA,NA,Rising Pune Supergiant,Field,Indian Premier League 2017,MS Dhoni,24,Pune,Apr 22 2017,D/N
https://www.espncricinfo.com/series/8048/scorecard/1082620/rising-pune-supergiant-vs-kolkata-knight-riders-30th-match-indian-premier-league-2017,1082620,Rising Pune Supergiant,Kolkata Knight Riders,NA,7,Kolkata Knight Riders,NA,NA,NA,Kolkata Knight Riders,Field,Indian Premier League 2017,Robin Uthappa,30,Pune,Apr 26 2017,N
https://www.espncricinfo.com/series/8048/scorecard/1082619/royal-challengers-bangalore-vs-sunrisers-hyderabad-29th-match-indian-premier-league-2017,1082619,Royal Challengers Bangalore,Sunrisers Hyderabad,NA,NA,NA,NA,Yes,NA,no toss,Bat,Indian Premier League 2017,,29,Bengaluru,Apr 25 2017,N
https://www.espncricinfo.com/series/8048/scorecard/1082621/royal-challengers-bangalore-vs-gujarat-lions-31st-match-indian-premier-league-2017,1082621,Royal Challengers Bangalore,Gujarat Lions,NA,7,Gujarat Lions,NA,NA,NA,Gujarat Lions,Field,Indian Premier League 2017,Andrew Tye,31,Bengaluru,Apr 27 2017,N
https://www.espncricinfo.com/series/8048/scorecard/1082591/sunrisers-hyderabad-vs-royal-challengers-bangalore-1st-match-indian-premier-league-2017,1082591,Sunrisers Hyderabad,Royal Challengers Bangalore,35,NA,Sunrisers Hyderabad,NA,NA,NA,Royal Challengers Bangalore,Field,Indian Premier League 2017,Yuvraj Singh,1,Hyderabad (Deccan),Apr 5 2017,N
