team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
CSK ,MI,Chennai Super Kings,bowl,"Newlands, Cape Town",12:30 PM,Billy Doctrove,Krishna Hariharan,Russell Tiffin,Gundappa Viswanath,"['Manpreet Gony', 'Joginder Sharma', 'Jacob Oram', 'Suresh Raina', 'Ravichandran Ashwin', 'Thilan Thushara', 'S Badrinath', 'MS Dhoni', 'Andrew Flintoff', 'Matthew Hayden', 'Parthiv Patel']","['Rohan Raje', 'Zaheer Khan', 'Harbhajan Singh', 'Dwayne Bravo', 'Lasith Malinga', 'Pinal Shah', 'Abhishek Nayar', 'Jean-Paul Duminy', 'Shikhar Dhawan', 'Sachin Tendulkar', 'Sanath Jayasuriya']",Mumbai Indians
RCB ,RR,Royal Challengers Bangalore,bat,"Newlands, Cape Town",05:10 PM,Billy Doctrove,Russell Tiffin,Krishna Hariharan,Gundappa Viswanath,"['Anil Kumble', 'Vinay Kumar', 'Praveen Kumar', 'Balachandra Akhil', 'Virat Kohli', 'Dale Steyn', 'Rahul Dravid', 'Kevin Pietersen', 'Ross Taylor', 'Robin Uthappa', 'Jesse Ryder']","['Kamran Khan', 'Munaf Patel', 'Ravindra Jadeja', 'Yusuf Pathan', 'Niraj Patel', 'Swapnil Asnodkar', 'Mahesh Rawat', 'Shane Warne', 'Dimitri Mascarenhas', 'Tyron Henderson', 'Graeme Smith']",Royal Challengers Bangalore
DC ,KXIP,Delhi Capitals,bowl,"Newlands, Cape Town",12:30 PM,Mark Benson,Shashank Ranade,Tony Hill,Yashpal Sharma,"['Pradeep Sangwan', 'Aavishkar Salvi', 'Daniel Vettori', 'Manoj Tiwary', 'Tillakaratne Dilshan', 'Yo Mahesh', 'Dirk Nannes', 'Dinesh Karthik', 'AB de Villiers', 'Virender Sehwag', 'Gautam Gambhir']","['Yusuf Abdulla', 'Vikram Singh', 'Vikramjeet Singh Malik', 'Taruwar Kohli', 'Irfan Pathan', 'Piyush Chawla', 'Mahela Jayawardene', 'Kumar Sangakkara', 'Yuvraj Singh', 'Karan Goel', 'Ravi Bopara']",Delhi Daredevils
DCG ,KKR,Kolkata Knight Riders,bat,"Newlands, Cape Town",06:50 PM,Mark Benson,Billy Doctrove,Shashank Ranade,Yashpal Sharma,"['RP Singh', 'Pragyan Ojha', 'Venugopal Rao', 'Herschelle Gibbs', 'Adam Gilchrist', 'Fidel Edwards', 'Dwaraka Ravi Teja', 'Harmeet Singh', 'Scott Styris', 'Rohit Sharma', 'VVS Laxman']","['Ishant Sharma', 'Murali Kartik', 'Ajit Agarkar', 'Moises Henriques', 'Ashok Dinda', 'Laxmi Shukla', 'Aakash Chopra', 'Brad Hodge', 'Sourav Ganguly', 'Chris Gayle', 'Brendon McCullum']",Deccan Chargers
RCB ,CSK,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",04:30 PM,Brian Jerling,Simon Taufel,Russell Tiffin,Gundappa Viswanath,"['Dale Steyn', 'Vinay Kumar', 'Rajesh Bishnoi', 'Virat Kohli', 'Jacques Kallis', 'Robin Uthappa', 'Praveen Kumar', 'Anil Kumble', 'Rahul Dravid', 'Kevin Pietersen', 'Ross Taylor']","['Muttiah Muralitharan', 'Manpreet Gony', 'Lakshmipathy Balaji', 'Joginder Sharma', 'S Badrinath', 'Albie Morkel', 'Andrew Flintoff', 'MS Dhoni', 'Suresh Raina', 'Matthew Hayden', 'Parthiv Patel']",Chennai Super Kings
KXIP ,KKR,Kolkata Knight Riders,bowl,"Kingsmead, Durban",12:30 PM,Daryl Harper,Shashank Ranade,Tyron Wijewardene,Dev Govindjee,"['Yusuf Abdulla', 'Vikram Singh', 'Vikramjeet Singh Malik', 'Piyush Chawla', 'Taruwar Kohli', 'Mahela Jayawardene', 'Yuvraj Singh', 'Kumar Sangakkara', 'Irfan Pathan', 'Karan Goel', 'Ravi Bopara']","['Murali Kartik', 'Ishant Sharma', 'Laxmi Shukla', 'Moises Henriques', 'Aakash Chopra', 'Sourav Ganguly', 'Brad Hodge', 'Brendon McCullum', 'Ashok Dinda', 'Yashpal Singh', 'Chris Gayle']",Kolkata Knight Riders
MI ,RR,NA,NA,NA,NA,NA,NA,NA,NA,[],[],NA
RCB ,DCG,Deccan Chargers,bat,"Newlands, Cape Town",04:30 PM,Marais Erasmus,Amiesh Saheba,Mark Benson,Yashpal Sharma,"['Dale Steyn', 'Anil Kumble', 'Praveen Kumar', 'Karn Sharma', 'Rajesh Bishnoi', 'Virat Kohli', 'Rahul Dravid', 'Kevin Pietersen', 'Robin Uthappa', 'Jacques Kallis', 'Jesse Ryder']","['Pragyan Ojha', 'Fidel Edwards', 'RP Singh', 'Harmeet Singh', 'Dwaraka Ravi Teja', 'Venugopal Rao', 'Scott Styris', 'Rohit Sharma', 'VVS Laxman', 'Herschelle Gibbs', 'Adam Gilchrist']",Deccan Chargers
CSK ,DC,Delhi Capitals,bat,"Kingsmead, Durban",12:30 PM,Billy Doctrove,Simon Taufel,Shashank Ranade,Dev Govindjee,"['Muttiah Muralitharan', 'Lakshmipathy Balaji', 'Albie Morkel', 'Joginder Sharma', 'Manpreet Gony', 'S Badrinath', 'Andrew Flintoff', 'MS Dhoni', 'Suresh Raina', 'Matthew Hayden', 'Parthiv Patel']","['Ashish Nehra', 'Pradeep Sangwan', 'Aavishkar Salvi', 'Dirk Nannes', 'Dinesh Karthik', 'Daniel Vettori', 'Manoj Tiwary', 'Tillakaratne Dilshan', 'AB de Villiers', 'Virender Sehwag', 'Gautam Gambhir']",Delhi Daredevils
KKR ,RR,Kolkata Knight Riders,bowl,"Newlands, Cape Town",04:45 PM,Mark Benson,Marais Erasmus,Amiesh Saheba,Gundappa Viswanath,"['Ajit Agarkar', 'Yashpal Singh', 'Sourav Ganguly', 'Chris Gayle', 'Anureet Singh', 'Ajantha Mendis', 'Ishant Sharma', 'Sanjay Bangar', 'Brad Hodge', 'Laxmi Shukla', 'Brendon McCullum']","['Mahesh Rawat', 'Shane Warne', 'Abhishek Raut', 'Yusuf Pathan', 'Kamran Khan', 'Munaf Patel', 'Dimitri Mascarenhas', 'Ravindra Jadeja', 'Rob Quiney', 'Paul Valthaty', 'Graeme Smith']",Match tied (Rajasthan Royals
RCB ,KXIP,Royal Challengers Bangalore,bat,"Kingsmead, Durban",04:30 PM,Billy Doctrove,Tyron Wijewardene,Simon Taufel,Dev Govindjee,"['Pankaj Singh', 'Vinay Kumar', 'Virat Kohli', 'Ross Taylor', 'Anil Kumble', 'Praveen Kumar', 'Rahul Dravid', 'Kevin Pietersen', 'Jacques Kallis', 'Robin Uthappa', 'Jesse Ryder']","['Ranadeb Bose', 'Piyush Chawla', 'Irfan Pathan', 'Mahela Jayawardene', 'Kumar Sangakkara', 'Ravi Bopara', 'Yusuf Abdulla', 'Vikram Singh', 'Wilkin Mota', 'Yuvraj Singh', 'Karan Goel']",Kings XI Punjab
DCG ,MI,Deccan Chargers,bat,"Kingsmead, Durban",12:30 PM,Kumar Dharmasena,Simon Taufel,Shashank Ranade,Dev Govindjee,"['Pragyan Ojha', 'Fidel Edwards', 'RP Singh', 'VVS Laxman', 'Harmeet Singh', 'Dwaraka Ravi Teja', 'Venugopal Rao', 'Rohit Sharma', 'Dwayne Smith', 'Herschelle Gibbs', 'Adam Gilchrist']","['Zaheer Khan', 'Harbhajan Singh', 'Abhishek Nayar', 'Dwayne Bravo', 'Sanath Jayasuriya', 'Dhawal Kulkarni', 'Lasith Malinga', 'Pinal Shah', 'Shikhar Dhawan', 'Jean-Paul Duminy', 'Sachin Tendulkar']",Deccan Chargers
CSK ,KKR,NA,NA,NA,NA,NA,NA,NA,NA,[],[],NA
RCB ,DC,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",12:30 PM,Sudhir Asnani,Brian Jerling,Billy Doctrove,Yashpal Sharma,"['KP Appanna', 'Anil Kumble', 'Pankaj Singh', 'Vinay Kumar', 'Balachandra Akhil', 'Mark Boucher', 'Virat Kohli', 'Ross Taylor', 'Kevin Pietersen', 'Robin Uthappa', 'Jacques Kallis']","['Pradeep Sangwan', 'Daniel Vettori', 'Dinesh Karthik', 'Gautam Gambhir', 'Ashish Nehra', 'Dirk Nannes', 'Amit Mishra', 'Mithun Manhas', 'AB de Villiers', 'Tillakaratne Dilshan', 'Virender Sehwag']",Delhi Daredevils
KXIP ,RR,Kings XI Punjab,bat,"Newlands, Cape Town",04:45 PM,Marais Erasmus,Krishna Hariharan,Mark Benson,Gundappa Viswanath,"['Wilkin Mota', 'Piyush Chawla', 'Irfan Pathan', 'Mahela Jayawardene', 'Yusuf Abdulla', 'Vikram Singh', 'Ramesh Powar', 'Yuvraj Singh', 'Kumar Sangakkara', 'Karan Goel', 'Ravi Bopara']","['Shane Warne', 'Abhishek Raut', 'Dimitri Mascarenhas', 'Yusuf Pathan', 'Rob Quiney', 'Graeme Smith', 'Kamran Khan', 'Munaf Patel', 'Mahesh Rawat', 'Ravindra Jadeja', 'Swapnil Asnodkar']",Kings XI Punjab
CSK ,DCG,Deccan Chargers,bowl,"Kingsmead, Durban",12:30 PM,Ian Howell,Tyron Wijewardene,Shashank Ranade,Dev Govindjee,"['Lakshmipathy Balaji', 'Joginder Sharma', 'S Badrinath', 'Albie Morkel', 'Muttiah Muralitharan', 'Manpreet Gony', 'Jacob Oram', 'MS Dhoni', 'Suresh Raina', 'Matthew Hayden', 'Parthiv Patel']","['Pragyan Ojha', 'Azhar Bilakhia', 'Dwayne Smith', 'Rohit Sharma', 'Adam Gilchrist', 'Shoaib Ahmed', 'Fidel Edwards', 'RP Singh', 'Venugopal Rao', 'VVS Laxman', 'Herschelle Gibbs']",Deccan Chargers
KKR ,MI,Mumbai Indians,bat,"St George's Park, Port Elizabeth",04:45 PM,Brian Jerling,Russell Tiffin,Sudhir Asnani,Yashpal Sharma,"['Anureet Singh', 'Ajantha Mendis', 'Arindam Ghosh', 'Yashpal Singh', 'Sourav Ganguly', 'Brad Hodge', 'Ashok Dinda', 'Ishant Sharma', 'Laxmi Shukla', 'Chris Gayle', 'Brendon McCullum']","['Lasith Malinga', 'Zaheer Khan', 'Saurabh Tiwary', 'Shikhar Dhawan', 'Pinal Shah', 'Dwayne Bravo', 'Abhishek Nayar', 'Jean-Paul Duminy', 'Harbhajan Singh', 'Sachin Tendulkar', 'Sanath Jayasuriya']",Mumbai Indians
DC ,RR,Delhi Capitals,bat,"SuperSport Park, Centurion",04:30 PM,Gary Baxter,Rudi Koertzen,Daryl Harper,Javagal Srinath,"['Pradeep Sangwan', 'Amit Mishra', 'Mithun Manhas', 'Dinesh Karthik', 'Dirk Nannes', 'Ashish Nehra', 'Daniel Vettori', 'Tillakaratne Dilshan', 'AB de Villiers', 'Virender Sehwag', 'Gautam Gambhir']","['Mahesh Rawat', 'Shane Warne', 'Swapnil Asnodkar', 'Graeme Smith', 'Kamran Khan', 'Munaf Patel', 'Dimitri Mascarenhas', 'Yusuf Pathan', 'Ravindra Jadeja', 'Paul Valthaty', 'Rob Quiney']",Rajasthan Royals
RCB ,KKR,Kolkata Knight Riders,bat,"Kingsmead, Durban",12:30 PM,Mark Benson,Tyron Wijewardene,Suresh Shastri,Dev Govindjee,"['KP Appanna', 'Anil Kumble', 'Praveen Kumar', 'Manish Pandey', 'Roelof van der Merwe', 'Shreevats Goswami', 'Pankaj Singh', 'Mark Boucher', 'Virat Kohli', 'Kevin Pietersen', 'Jacques Kallis']","['Ishant Sharma', 'Murali Kartik', 'Ajit Agarkar', 'Laxmi Shukla', 'Ashok Dinda', 'Wriddhiman Saha', 'Morne van Wyk', 'Sourav Ganguly', 'Brad Hodge', 'Chris Gayle', 'Brendon McCullum']",Royal Challengers Bangalore
KXIP ,MI,Kings XI Punjab,bat,"Kingsmead, Durban",04:30 PM,Mark Benson,Suresh Shastri,Tyron Wijewardene,Dev Govindjee,"['Vikramjeet Singh Malik', 'Ramesh Powar', 'Piyush Chawla', 'Irfan Pathan', 'Yusuf Abdulla', 'Wilkin Mota', 'Mahela Jayawardene', 'Yuvraj Singh', 'Kumar Sangakkara', 'Karan Goel', 'Ravi Bopara']","['Zaheer Khan', 'Saurabh Tiwary', 'Harbhajan Singh', 'Abhishek Nayar', 'Dwayne Bravo', 'Jean-Paul Duminy', 'Shikhar Dhawan', 'Sachin Tendulkar', 'Lasith Malinga', 'Pinal Shah', 'Sanath Jayasuriya']",Kings XI Punjab
DCG ,DC,Delhi Capitals,bowl,"SuperSport Park, Centurion",12:30 PM,Gary Baxter,Amiesh Saheba,Rudi Koertzen,Gundappa Viswanath,"['Fidel Edwards', 'RP Singh', 'Shoaib Ahmed', 'Venugopal Rao', 'Pragyan Ojha', 'Dwayne Smith', 'Tirumalsetti Suman', 'Rohit Sharma', 'Azhar Bilakhia', 'Herschelle Gibbs', 'Adam Gilchrist']","['Dirk Nannes', 'Pradeep Sangwan', 'Daniel Vettori', 'Mithun Manhas', 'Tillakaratne Dilshan', 'AB de Villiers', 'Gautam Gambhir', 'Ashish Nehra', 'Amit Mishra', 'Dinesh Karthik', 'Virender Sehwag']",Delhi Daredevils
CSK ,RR,Rajasthan Royals,bowl,"SuperSport Park, Centurion",04:30 PM,Gary Baxter,Rudi Koertzen,Amiesh Saheba,Gundappa Viswanath,"['Muttiah Muralitharan', 'Lakshmipathy Balaji', 'Shadab Jakati', 'Sudeep Tyagi', 'MS Dhoni', 'Jacob Oram', 'Albie Morkel', 'S Badrinath', 'Suresh Raina', 'Matthew Hayden', 'Parthiv Patel']","['Siddharth Trivedi', 'Munaf Patel', 'Ravindra Jadeja', 'Swapnil Asnodkar', 'Rob Quiney', 'Kamran Khan', 'Mahesh Rawat', 'Shane Warne', 'Dimitri Mascarenhas', 'Yusuf Pathan', 'Graeme Smith']",Chennai Super Kings
KKR ,MI,Mumbai Indians,bat,"Buffalo Park, East London",12:30 PM,Marais Erasmus,Shavir Tarapore,Billy Doctrove,Yashpal Sharma,"['Ishant Sharma', 'Murali Kartik', 'Wriddhiman Saha', 'Laxmi Shukla', 'Brad Hodge', 'Chris Gayle', 'Ashok Dinda', 'Ajit Agarkar', 'Brendon McCullum', 'Morne van Wyk', 'Sourav Ganguly']","['Pinal Shah', 'Zaheer Khan', 'Ajinkya Rahane', 'Graham Napier', 'Lasith Malinga', 'Saurabh Tiwary', 'Jean-Paul Duminy', 'Abhishek Nayar', 'Harbhajan Singh', 'Sachin Tendulkar', 'Sanath Jayasuriya']",Mumbai Indians
RCB ,KXIP,Royal Challengers Bangalore,bat,"Kingsmead, Durban",04:45 PM,Kumar Dharmasena,Sundaram Ravi,Simon Taufel,Dev Govindjee,"['KP Appanna', 'Roelof van der Merwe', 'Mark Boucher', 'Anil Kumble', 'Praveen Kumar', 'Virat Kohli', 'Robin Uthappa', 'Jacques Kallis', 'Rajesh Bishnoi', 'Shreevats Goswami', 'Jesse Ryder']","['Yusuf Abdulla', 'Vikramjeet Singh Malik', 'Tanmay Srivastava', 'Irfan Pathan', 'Simon Katich', 'Karan Goel', 'Yuvraj Singh', 'Ramesh Powar', 'Piyush Chawla', 'Mahela Jayawardene', 'Kumar Sangakkara']",Royal Challengers Bangalore
DCG ,RR,Deccan Chargers,bat,"St George's Park, Port Elizabeth",12:30 PM,Sudhir Asnani,Brian Jerling,Mark Benson,Srinivas Venkataraghavan,"['Pragyan Ojha', 'Shoaib Ahmed', 'Fidel Edwards', 'RP Singh', 'Venugopal Rao', 'Dwayne Smith', 'Tirumalsetti Suman', 'Rohit Sharma', 'Azhar Bilakhia', 'Adam Gilchrist', 'Herschelle Gibbs']","['Siddharth Trivedi', 'Shane Harwood', 'Yusuf Pathan', 'Abhishek Raut', 'Lee Carseldine', 'Swapnil Asnodkar', 'Munaf Patel', 'Shane Warne', 'Ravindra Jadeja', 'Naman Ojha', 'Graeme Smith']",Rajasthan Royals
