Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb,50,100,0,4_haul,5_haul,BSR,BWA,hard_hit,bat_consistency,pca_bat,Bowl_index,bowl_consistency,bowl_pca
MEK Hussey,0,484.0,404.0,51.0,6.0,119.50617283950618,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5947258055278228,0.7715789796737209,2.7598229138401242,-1.1309643922744193,0.9516926108604846,-0.7294110947332817
M Vijay,0,406.0,321.0,28.0,20.0,126.08695652173914,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6970430719115905,0.9042024076405751,2.276993171143154,-1.1309643922744193,0.9510525411559041,-0.7294110947332817
MS Dhoni,0,378.0,234.0,24.0,22.0,160.85106382978725,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.2705345372590473,1.5600521740730016,2.241606912417065,-1.1309643922744193,0.9485350122022419,-0.7294110947332817
SK Raina,0,388.0,285.0,31.0,16.0,135.66433566433568,19.0,27.3,0.0,201.0,4.0,7.102473498233215,68.0,15.0,8.0,8.0,0.0,3.0,0.0,1.0,0.0,0.0,32.760000000000005,40.2,0.8846260446379257,1.0866248297751784,2.205320180768163,1.634711437160509,-0.71353253942472,1.2568054996632
JA Morkel,0,129.0,98.0,8.0,7.0,130.3030303030303,17.0,43.0,1.0,365.0,15.0,8.295454545454545,99.0,41.0,9.0,9.0,1.0,0.0,0.0,4.0,0.0,0.0,16.125,22.8125,0.7271061562081772,0.946019612230037,0.47265592370501613,0.5006494591518041,-0.05271231180691171,-0.7584204030914099
S Badrinath,0,377.0,296.0,37.0,9.0,126.93602693602695,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.7684750157957878,0.8948291107229853,2.109131655167972,-1.1309643922744193,0.9509747536585543,-0.7294110947332817
DJ Bravo,0,11.0,6.0,1.0,1.0,157.14285714285714,7.0,20.0,0.0,157.0,6.0,7.476190476190476,42.0,10.0,6.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,17.142857142857142,22.428571428571427,2.3759507026286637,1.5601053475492217,-0.1787395308063268,0.4942472349348465,-0.9118467442614843,0.2636450633136178
MA Agarwal,0,108.0,96.0,14.0,2.0,111.34020618556701,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8921551114700882,0.6244293052704935,0.27435664766951134,-1.1309643922744193,0.9525911210807915,-0.7294110947332817
CH Gayle,0,564.0,316.0,53.0,39.0,177.91798107255522,18.0,32.0,0.0,218.0,7.0,6.606060606060606,74.0,9.0,10.0,2.0,2.0,5.0,2.0,2.0,0.0,0.0,24.0,27.25,2.4313204696296573,1.9785327337536618,3.667257037222315,0.8676137356925512,-0.531573970240266,0.23485309318493167
V Kohli,0,507.0,409.0,48.0,16.0,123.65853658536585,23.0,15.0,0.0,125.0,1.0,7.8125,20.0,11.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,45.0,62.5,0.7834081651103402,0.8689284859976334,2.9503496447497177,2.8523873597639793,-1.1424381321401678,3.346948866366569
