Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb,50,100,0,4_haul,5_haul,BSR,BWA,hard_hit,bat_consistency,pca_bat,Bowl_index,bowl_consistency,bowl_pca
V Sehwag,0,436.0,305.0,52.0,18.0,142.48366013071896,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3874383165252853,1.0517915165956484,2.1599722883816317,-1.121405464274777,1.063161387684412,-0.7487287956499169
M Vohra,0,324.0,233.0,27.0,16.0,138.46153846153845,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8802910794975076,0.9379094127906985,1.4265034639091758,-1.121405464274777,1.0634866645935757,-0.7487287956499169
GJ Bailey,0,240.0,180.0,17.0,10.0,132.5966850828729,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.49044874059270144,0.7955270324098583,0.8838644354586327,-1.121405464274777,1.0639960681284732,-0.7487287956499169
WP Saha,0,362.0,249.0,33.0,18.0,144.79999999999998,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.1083996736180686,1.05316308152716,1.6968371701480425,-1.121405464274777,1.062982204503968,-0.7487287956499169
GJ Maxwell,0,457.0,251.0,33.0,34.0,181.34920634920636,21.0,9.0,0.0,109.0,1.0,10.9,12.0,7.0,7.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,27.0,54.5,1.8057437191335926,1.7524250092017502,2.4075429492415363,1.6972337954494379,-1.4288289661335587,2.2793844781250576
DA Miller,0,392.0,262.0,31.0,18.0,149.0494296577947,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909043463371313,1.128545757148829,1.8558368444516193,-1.121405464274777,1.0626678688091544,-0.7487287956499169
RV Uthappa,0,660.0,478.0,74.0,18.0,137.78705636743217,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9739057949829653,0.9445699945142619,3.4351444673126235,-1.121405464274777,1.0635430571700757,-0.7487287956499169
G Gambhir,0,290.0,249.0,32.0,4.0,115.99999999999999,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.43216558125052634,0.4948114748821848,1.1405414125270612,-1.121405464274777,1.0657143513074299,-0.7487287956499169
MK Pandey,0,382.0,329.0,34.0,9.0,115.75757575757575,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.27779295006359267,0.4897189455662056,1.650550367160352,-1.121405464274777,1.0657430696945414,-0.7487287956499169
YK Pathan,0,268.0,165.0,15.0,20.0,161.44578313253012,25.0,1.0,0.0,10.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,6.0,10.0,1.185528381341917,1.3296797810002339,1.1814212164405238,-0.4808056325192736,-1.503980957487531,-0.06539410292426366
Shakib Al Hasan,0,198.0,134.0,19.0,7.0,146.66666666666666,20.0,46.0,1.0,311.0,10.0,6.617021276595745,110.0,18.0,13.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0,25.09090909090909,28.272727272727273,0.9798317103778199,1.0686599398680967,0.7158453344273235,0.7082897353879438,0.06376817198019132,-0.3044802997260691
RN ten Doeschate,0,52.0,33.0,3.0,4.0,152.94117647058823,18.0,5.0,0.0,35.0,1.0,5.833333333333333,13.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,15.0,17.5,1.1296148608295993,1.1665828315355555,-0.12058947593038218,0.04794343496145914,-1.462640969634286,0.3697220476353701
SA Yadav,0,133.0,98.0,13.0,4.0,134.34343434343435,25.0,1.0,0.0,8.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,8.0,0.7445538555698086,0.8110899619155544,0.2817342419802764,-0.5723198941986313,-1.441504732516614,-0.17482933862526898
PP Chawla,0,31.0,18.0,4.0,1.0,163.1578947368421,17.0,36.3,0.0,276.0,14.0,7.39946380697051,74.0,17.0,12.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,14.52,18.4,1.7751427611804524,1.3881919169733428,-0.20235833618818225,0.10852985625938545,-0.3493581555812271,-0.6783731220688753
SP Narine,0,9.0,13.0,0.0,0.0,64.28571428571429,25.0,60.0,0.0,379.0,21.0,6.213114754098361,157.0,25.0,13.0,0.0,2.0,0.0,0.0,12.0,2.0,0.0,16.363636363636363,17.227272727272727,-1.1907962404315748,-0.6065722031957639,-0.7093452744477838,0.09280648707302376,0.6202386039107425,-1.8998287901362596
AR Patel,0,60.0,57.0,6.0,1.0,103.44827586206897,22.0,62.0,2.0,371.0,16.0,5.888888888888889,160.0,32.0,8.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,21.88235294117647,21.823529411764707,0.16944474996290668,0.1978698153012297,-0.2632175198383001,0.3914708268427952,0.780108994743008,-1.4499474943253974
MG Johnson,0,56.0,50.0,4.0,3.0,109.80392156862746,18.0,49.300000000000004,0.0,397.0,17.0,7.892644135188866,133.0,41.0,13.0,13.0,5.0,0.0,0.0,7.0,0.0,0.0,16.433333333333334,22.055555555555557,0.3561444937425415,0.344279900567953,-0.26033492823933,0.29345178581029596,0.09966246512472618,-1.2768091329199822
L Balaji,0,1.0,3.0,0.0,0.0,25.0,10.0,30.0,0.0,256.0,10.0,8.258064516129032,71.0,25.0,10.0,4.0,1.0,0.0,0.0,7.0,1.0,0.0,16.363636363636363,23.272727272727273,-1.1907962404315748,-1.2607433715033483,-0.8976170741348294,0.3396022793686918,-0.5084770865266531,-0.2713779577929363
Karanveer Singh,0,1.0,1.0,0.0,0.0,50.0,7.0,20.0,0.0,164.0,11.0,7.809523809523809,42.0,9.0,9.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,10.0,13.666666666666666,-1.1907962404315748,-0.8017883167223678,-0.8045230094068992,-0.1612320203056439,-0.8248398673256933,-0.5242751047494418
P Awana,0,0.0,0.0,0.0,0.0,0.0,9.0,20.3,1.0,210.0,6.0,9.859154929577464,46.0,26.0,8.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,17.400000000000002,30.0,-1.1907962404315748,-1.6920921071997583,-0.995958779680654,0.6252709649799669,0.7346917136865514,0.4656895986274534
M Morkel,0,4.0,3.0,0.0,0.0,100.0,17.0,44.0,1.0,327.0,11.0,7.266666666666667,144.0,36.0,11.0,12.0,2.0,0.0,0.0,10.0,0.0,0.0,22.0,27.25,-1.1907962404315748,0.03330283558588195,-0.6025919574973556,0.6026215432513435,-0.0016114746817083724,-0.8831584604906788
UT Yadav,0,2.0,4.0,0.0,0.0,40.0,21.0,45.0,0.0,367.0,11.0,7.978260869565218,106.0,40.0,8.0,10.0,3.0,0.0,0.0,11.0,0.0,0.0,22.5,30.583333333333332,-1.1907962404315748,-1.0253995013073867,-0.8365129944801769,0.7412634392061577,-0.061887855721970315,-0.2553449081163603
CA Pujara,0,112.0,114.0,15.0,0.0,97.3913043478261,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2792778734109082,0.16911392273453965,0.024216669613816934,-1.121405464274777,1.0683302943416322,-0.7487287956499169
BR Dunk,0,40.0,35.0,7.0,0.0,111.11111111111111,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0007031329817564,0.4648432818314908,-0.33973887654862733,-1.121405464274777,1.0663175085923366,-0.7487287956499169
CM Gautam,0,99.0,93.0,10.0,5.0,105.31914893617021,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607698686077846,0.333227871385003,-0.013965652031444425,-1.121405464274777,1.0671038669333353,-0.7487287956499169
AT Rayudu,0,347.0,266.0,30.0,8.0,129.9625468164794,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41325466530916183,0.7491010862514007,1.4964165647451164,-1.121405464274777,1.0642397093129283,-0.7487287956499169
RG Sharma,0,386.0,297.0,31.0,16.0,129.53020134228188,20.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,0.5867765974473113,0.7645354025904474,1.7471058504192207,-0.6638341558779889,-1.3464498290854003,-0.2470627944845725
