url,match_id,team_1,team_2,win_runs,win_wickets,winner,match_drawn,match_abandoned,no_result,toss_winner,winner_choice,series,pom,match_number,city,date,day_night
https://www.espncricinfo.com/series/8048/scorecard/1136563/kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-indian-premier-league-2018,1136563,Royal Challengers Bangalore,Kolkata Knight Riders,NA,4,Kolkata Knight Riders,NA,NA,NA,Kolkata Knight Riders,Field,Indian Premier League 2018,Sunil Narine,3,Kolkata,Apr 8 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136564/sunrisers-hyderabad-vs-rajasthan-royals-4th-match-indian-premier-league-2018,1136564,Rajasthan Royals,Sunrisers Hyderabad,NA,9,Sunrisers Hyderabad,NA,NA,NA,Sunrisers Hyderabad,Field,Indian Premier League 2018,Shikhar Dhawan,4,Hyderabad (Deccan),Apr 9 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136567/sunrisers-hyderabad-vs-mumbai-indians-7th-match-indian-premier-league-2018,1136567,Mumbai Indians,Sunrisers Hyderabad,NA,1,Sunrisers Hyderabad,NA,NA,NA,Sunrisers Hyderabad,Field,Indian Premier League 2018,Rashid Khan,7,Hyderabad (Deccan),Apr 12 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136568/royal-challengers-bangalore-vs-kings-xi-punjab-8th-match-indian-premier-league-2018,1136568,Kings XI Punjab,Royal Challengers Bangalore,NA,4,Royal Challengers Bangalore,NA,NA,NA,Royal Challengers Bangalore,Field,Indian Premier League 2018,Umesh Yadav,8,Bengaluru,Apr 13 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136566/rajasthan-royals-vs-delhi-daredevils-6th-match-indian-premier-league-2018,1136566,Rajasthan Royals,Delhi Daredevils,10,NA,Rajasthan Royals,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2018,Sanju Samson,6,Jaipur,Apr 11 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136603/rajasthan-royals-vs-chennai-super-kings-43rd-match-indian-premier-league-2018,1136603,Chennai Super Kings,Rajasthan Royals,NA,4,Rajasthan Royals,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2018,Jos Buttler,43,Jaipur,May 11 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136571/royal-challengers-bangalore-vs-rajasthan-royals-11th-match-indian-premier-league-2018,1136571,Rajasthan Royals,Royal Challengers Bangalore,19,NA,Rajasthan Royals,NA,NA,NA,Royal Challengers Bangalore,Field,Indian Premier League 2018,Sanju Samson,11,Bengaluru,Apr 15 2018,D/N
https://www.espncricinfo.com/series/8048/scorecard/1136570/kolkata-knight-riders-vs-sunrisers-hyderabad-10th-match-indian-premier-league-2018,1136570,Kolkata Knight Riders,Sunrisers Hyderabad,NA,5,Sunrisers Hyderabad,NA,NA,NA,Sunrisers Hyderabad,Field,Indian Premier League 2018,Billy Stanlake,10,Kolkata,Apr 14 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136569/mumbai-indians-vs-delhi-daredevils-9th-match-indian-premier-league-2018,1136569,Mumbai Indians,Delhi Daredevils,NA,7,Delhi Daredevils,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2018,Jason Roy,9,Mumbai,Apr 14 2018,D/N
https://www.espncricinfo.com/series/8048/scorecard/1136574/mumbai-indians-vs-royal-challengers-bangalore-14th-match-indian-premier-league-2018,1136574,Mumbai Indians,Royal Challengers Bangalore,46,NA,Mumbai Indians,NA,NA,NA,Royal Challengers Bangalore,Field,Indian Premier League 2018,Rohit Sharma,14,Mumbai,Apr 17 2018,N
https://www.espncricinfo.com/series/8048/scorecard/1136577/chennai-super-kings-vs-rajasthan-royals-17th-match-indian-premier-league-2018,1136577,Chennai Super Kings,Rajasthan Royals,64,NA,Chennai Super Kings,NA,NA,NA,Rajasthan Royals,Field,Indian Premier League 2018,Shane Watson,17,Pune,Apr 20 2018,N
