team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
SRH,CSK,SRH,bowl,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Subrat Das,Nigel Llong,Krishnaraj Srinath,Roshan Mahanama,"['Parthiv Patel', 'Shikhar Dhawan', 'Hanuma Vihari', 'Kumar Sangakkara', 'Thisara Perera', 'Daren Sammy', 'Ashish Reddy', 'Karn Sharma', 'Dale Steyn', 'Amit Mishra', 'Ishant Sharma']","['Michael Hussey', 'Murali Vijay', 'Suresh Raina', 'S Badrinath', 'MS Dhoni', 'Dwayne Bravo', 'Ravindra Jadeja', 'Chris Morris', 'Ravichandran Ashwin', 'Jason Holder', 'Mohit Sharma']",CSK
KXIP,RR,RR,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali",4:00 PM,Kumar Dharmasena,Sundaram Ravi,Nandan,Roshan Mahanama,"['Adam Gilchrist', 'Mandeep Singh', 'Shaun Marsh', 'David Hussey', 'David Miller', 'Bipul Sharma', 'Rajagopal Sathish', 'Piyush Chawla', 'Praveen Kumar', 'Manpreet Gony', 'Parvinder Awana']","['Rahul Dravid', 'Ajinkya Rahane', 'Shane Watson', 'Brad Hodge', 'Sanju Samson', 'Dishant Yagnik', 'Kevon Cooper', 'James Faulkner', 'Siddharth Trivedi', 'Ajit Chandila', 'S Sreesanth']",RR
PWI,KKR,KKR,bat,"Maharashtra Cricket Association Stadium, Pune",8:00 PM,Asad Rauf,Sudhir Asnani,Simon Taufel,Javagal Srinath,"['Robin Uthappa', 'Aaron Finch', 'Udit Birla', 'Yuvraj Singh', 'Mitchell Marsh', 'Angelo Mathews', 'Mahesh Rawat', 'Parvez Rasool', 'Wayne Parnell', 'Bhuvneshwar Kumar', 'Krishnakant Upadhyay']","['Manvinder Bisla', 'Gautam Gambhir', 'Jacques Kallis', 'Yusuf Pathan', 'Manoj Tiwary', 'Eoin Morgan', 'Ryan ten Doeschate', 'Rajat Bhatia', 'Iqbal Abdulla', 'Sunil Narine', 'Lakshmipathy Balaji']",KKR
DC,RCB,DC,bowl,"Arun Jaitley Stadium, Delhi",8:00 PM,Nigel Llong,Krishnaraj Srinath,Vineet Kulkarni,Ranjan Madugalle,"['David Warner', 'Virender Sehwag', 'Mahela Jayawardene', 'Ben Rohrer', 'Unmukt Chand', 'Kedar Jadhav', 'Irfan Pathan', 'Shahbaz Nadeem', 'Morne Morkel', 'Siddarth Kaul', 'Umesh Yadav']","['Chris Gayle', 'Cheteshwar Pujara', 'Virat Kohli', 'AB de Villiers', 'Saurabh Tiwary', 'Moises Henriques', 'Ravi Rampaul', 'Vinay Kumar', 'JS Mohammad', 'Jaydev Unadkat', 'Murali Kartik']",RCB
PWI,MI,PWI,bat,"Maharashtra Cricket Association Stadium, Pune",4:00 PM,Asad Rauf,Anil Chaudhary,Sudhir Asnani,Javagal Srinath,"['Robin Uthappa', 'Aaron Finch', 'Manish Pandey', 'Yuvraj Singh', 'Angelo Mathews', 'Abhishek Nayar', 'Bhuvneshwar Kumar', 'Parvez Rasool', 'Kane Richardson', 'Ashok Dinda', 'Ajantha Mendis']","['Dwayne Smith', 'Sachin Tendulkar', 'Dinesh Karthik', 'Rohit Sharma', 'Glenn Maxwell', 'Ambati Rayudu', 'Harbhajan Singh', 'Mitchell Johnson', 'Lasith Malinga', 'Pragyan Ojha', 'Abu Nechim']",MI
KXIP,SRH,KXIP,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM,Subrat Das,Rod Tucker,Chettithody Shamshuddin,Andy Pycroft,"['Adam Gilchrist', 'Mandeep Singh', 'Shaun Marsh', 'Luke Pomersbach', 'David Miller', 'Rajagopal Sathish', 'Piyush Chawla', 'Praveen Kumar', 'Harmeet Singh', 'Parvinder Awana', 'Sandeep Sharma']","['Parthiv Patel', 'Shikhar Dhawan', 'Hanuma Vihari', 'Cameron White', 'Thisara Perera', 'Daren Sammy', 'Biplab Samantray', 'Karn Sharma', 'Amit Mishra', 'Dale Steyn', 'Ishant Sharma']",SRH
KKR,RCB,KKR,bowl,"JSCA International Stadium Complex, Ranchi",4:00 PM,Nigel Llong,Krishnaraj Srinath,Vineet Kulkarni,Ranjan Madugalle,"['Manvinder Bisla', 'Gautam Gambhir', 'Jacques Kallis', 'Yusuf Pathan', 'Ryan ten Doeschate', 'Manoj Tiwary', 'Debabrata Das', 'Rajat Bhatia', 'Sachithra Senanayake', 'Sunil Narine', 'Lakshmipathy Balaji']","['Cheteshwar Pujara', 'Chris Gayle', 'Virat Kohli', 'AB de Villiers', 'Saurabh Tiwary', 'Moises Henriques', 'Vinay Kumar', 'Ravi Rampaul', 'Murali Kartik', 'Abhimanyu Mithun', 'Jaydev Unadkat']",KKR
RR,CSK,RR,bowl,"Sawai Mansingh Stadium, Jaipur",8:00 PM,Kumar Dharmasena,Nandan,Sundaram Ravi,Roshan Mahanama,"['Rahul Dravid', 'Ajinkya Rahane', 'Shane Watson', 'Stuart Binny', 'Sanju Samson', 'Brad Hodge', 'Dishant Yagnik', 'Vikramjeet Singh Malik', 'Kevon Cooper', 'James Faulkner', 'Siddharth Trivedi']","['Murali Vijay', 'Michael Hussey', 'Suresh Raina', 'S Badrinath', 'MS Dhoni', 'Dwayne Bravo', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Chris Morris', 'Jason Holder', 'Mohit Sharma']",RR
MI,SRH,SRH,bat,"Wankhede Stadium, Mumbai",8:00 PM,Anil Chaudhary,Simon Taufel,Asad Rauf,Javagal Srinath,"['Dwayne Smith', 'Sachin Tendulkar', 'Dinesh Karthik', 'Rohit Sharma', 'Ambati Rayudu', 'Kieron Pollard', 'Harbhajan Singh', 'Mitchell Johnson', 'Dhawal Kulkarni', 'Lasith Malinga', 'Pragyan Ojha']","['Parthiv Patel', 'Shikhar Dhawan', 'Hanuma Vihari', 'Cameron White', 'Biplab Samantray', 'Daren Sammy', 'Karn Sharma', 'Thisara Perera', 'Dale Steyn', 'Amit Mishra', 'Ishant Sharma']",MI
RCB,KXIP,KXIP,bowl,"M.Chinnaswamy Stadium, Bengaluru",4:00 PM,Kumar Dharmasena,Sundaram Ravi,Nandan,Roshan Mahanama,"['Chris Gayle', 'Cheteshwar Pujara', 'Virat Kohli', 'AB de Villiers', 'Moises Henriques', 'Arun Karthik', 'Lokesh Rahul', 'Vinay Kumar', 'Zaheer Khan', 'Muttiah Muralitharan', 'Jaydev Unadkat']","['Mandeep Singh', 'Adam Gilchrist', 'Shaun Marsh', 'David Miller', 'Manan Vohra', 'Azhar Mahmood', 'Rajagopal Sathish', 'Piyush Chawla', 'Manpreet Gony', 'Parvinder Awana', 'Sandeep Sharma']",KXIP
