Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb,50,100,0,4_haul,5_haul,BSR,BWA,hard_hit,bat_consistency,pca_bat,Bowl_index,bowl_consistency,bowl_pca
LMP Simmons,0,540.0,441.0,56.0,21.0,122.17194570135747,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5588995132692811,0.4841420552105881,2.600304576303063,-1.088808394258294,1.0650616623059834,-0.6631905567281796
PA Patel,0,339.0,246.0,47.0,5.0,137.24696356275302,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9505998084028974,0.7567310837103483,1.4702409558438017,-1.088808394258294,1.0636275951349305,-0.6631905567281796
RG Sharma,0,482.0,333.0,41.0,21.0,144.31137724550896,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6820734335039946,0.8601052941638263,2.2954617939517763,-1.088808394258294,1.0630579558081665,-0.6631905567281796
KA Pollard,0,419.0,256.0,28.0,28.0,163.03501945525292,22.0,12.4,0.0,120.0,3.0,8.955223880597014,15.0,10.0,3.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,18.6,30.0,1.0301141937593574,1.2072436516791172,2.004073822683173,0.4925515003764121,-1.2664439894446808,0.7024772871836226
AT Rayudu,0,281.0,193.0,18.0,16.0,144.84536082474227,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5702195657397642,0.8481677791870442,1.1086465443043791,-1.088808394258294,1.06301714128514,-0.6631905567281796
HH Pandya,0,112.0,62.0,9.0,8.0,177.77777777777777,14.0,17.0,0.0,176.0,1.0,9.777777777777779,31.0,22.0,5.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,51.0,88.0,1.590325994293251,1.4956974810582782,0.26921705034139065,2.9989389052525484,-1.159806852871228,3.2235334204759143
Harbhajan Singh,0,117.0,73.0,9.0,9.0,158.10810810810813,21.0,57.0,1.0,446.0,18.0,7.689655172413793,119.0,37.0,15.0,7.0,0.0,1.0,0.0,8.0,0.0,0.0,18.0,23.473684210526315,1.3034598172933134,1.100377226815996,0.22720006325735742,0.2619800823495748,0.4731769402934598,-0.887346905797764
DR Smith,0,399.0,335.0,52.0,16.0,118.75,21.0,2.0,0.0,17.0,1.0,5.666666666666667,4.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,6.0,8.5,0.8627500856926025,0.4243876664132908,1.7899962245736047,-0.5347186744216861,-1.4311453178055733,-0.19663782722801473
MEK Hussey,0,77.0,70.0,5.0,3.0,108.45070422535213,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1047390056943414,0.18847132965437582,-0.21229664426295122,-1.088808394258294,1.0667103640868985,-0.6631905567281796
SK Raina,0,374.0,305.0,31.0,16.0,122.22222222222223,23.0,12.0,0.0,93.0,2.0,7.153846153846154,25.0,6.0,4.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,24.0,31.0,0.33657927289836176,0.45640880332448397,1.5752475604684122,0.618901053782313,-1.2762993962311628,0.7715231540024904
MS Dhoni,0,372.0,305.0,27.0,17.0,121.56862745098039,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.23084159759999734,0.43405640164282083,1.5436928182536238,-1.088808394258294,1.0651263965976139,-0.6631905567281796
DJ Bravo,0,195.0,148.0,22.0,5.0,130.8724832214765,23.0,51.8,0.0,426.0,26.0,8.068181818181818,97.0,30.0,17.0,9.0,1.0,1.0,0.0,5.0,0.0,0.0,11.51111111111111,15.777777777777779,0.6343952308416289,0.598930729824107,0.5746078214935604,-0.11735437430834653,0.22983983387798462,-1.2411805809468146
P Negi,0,116.0,73.0,10.0,5.0,156.75675675675674,15.0,30.0,0.0,252.0,6.0,8.129032258064516,57.0,17.0,12.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,25.714285714285715,36.0,0.8662202410595373,1.0874227371120264,0.19776721487267876,0.8301733158784991,-0.6449898506666892,0.5814890862752675
F du Plessis,0,380.0,304.0,37.0,5.0,124.59016393442623,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.16520334670440098,0.4741675794659572,1.5861468416052558,-1.088808394258294,1.0648084369887225,-0.6631905567281796
RA Jadeja,0,132.0,126.0,7.0,3.0,103.93700787401573,23.0,42.4,0.0,330.0,11.0,7.603686635944701,88.0,21.0,17.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,21.2,27.5,-0.47074591724059217,0.031682828166527906,0.06233340627578433,0.4581648596530495,-0.12549618051482653,-0.22185072935677333
R Ashwin,0,52.0,32.0,6.0,1.0,157.57575757575756,19.0,39.0,0.0,228.0,10.0,5.7,115.0,12.0,10.0,5.0,1.0,0.0,0.0,8.0,0.0,0.0,21.272727272727273,20.727272727272727,0.9678011527098085,1.0620399118154988,-0.17059869253984586,0.2217740670411868,-0.26263137514092366,-0.703393854123421
MM Sharma,0,28.0,18.0,1.0,2.0,147.36842105263156,21.0,57.0,0.0,481.0,14.0,8.293103448275861,122.0,46.0,15.0,6.0,2.0,0.0,0.0,12.0,0.0,0.0,22.8,32.06666666666667,0.3829554462748371,0.813090267078956,-0.35204107110954846,0.6465393410111142,0.33591087502895345,-0.43193044361479427
J Suchith,0,48.0,32.0,4.0,2.0,145.45454545454547,18.0,39.0,0.0,337.0,10.0,8.425,71.0,27.0,13.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,21.272727272727273,30.636363636363637,0.640975610878501,0.820748924786156,-0.2408813510284172,0.5689023261589594,-0.3084725481044573,0.07902270942385427
MJ McClenaghan,0,13.0,6.0,0.0,2.0,185.71428571428572,17.0,47.0,0.0,386.0,18.0,8.041666666666666,124.0,38.0,15.0,21.0,2.0,0.0,0.0,10.0,0.0,0.0,14.842105263157896,20.31578947368421,1.761520325728698,1.5956224266955494,-0.29294717951971033,0.09812216153349991,0.01924675624063348,-1.1125472665498994
R Vinay Kumar,0,0.0,2.0,0.0,0.0,0.0,17.0,43.3,0.0,368.0,7.0,8.306997742663658,96.0,40.0,12.0,3.0,1.0,0.0,0.0,13.0,0.0,0.0,32.474999999999994,46.0,-1.3199776401093437,-1.866336564499735,-1.0579531211513475,1.2955724065397376,1.4274664087105704,0.6600661509557193
SL Malinga,0,6.0,10.0,1.0,0.0,54.54545454545454,20.0,60.0,3.0,444.0,24.0,7.278688524590164,149.0,47.0,9.0,14.0,4.0,0.0,0.0,14.0,1.0,0.0,14.4,17.76,-0.3395010146154214,-0.8563673053326197,-0.8200319743638549,-0.005209788870852473,0.8957544512390878,-1.5920119283308194
A Nehra,0,1.0,7.0,0.0,0.0,12.5,22.0,62.0,0.0,449.0,22.0,7.126984126984127,174.0,48.0,13.0,12.0,1.0,0.0,0.0,15.0,1.0,0.0,16.17391304347826,19.52173913043478,-1.3199776401093437,-1.6645585180635698,-1.0064465603157078,0.0877659470952135,0.7226538979844824,-1.6995013801609589
M Vijay,0,230.0,210.0,27.0,6.0,109.00473933649289,16.0,4.0,0.0,28.0,0.0,5.6,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,28.0,0.36681390043233314,0.22552052704932204,0.6992123753954892,0.4937817476882488,-1.548771476046684,0.9054751557495176
V Sehwag,0,98.0,80.0,12.0,3.0,120.98765432098766,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6772895599708684,0.4563613212115564,-0.028824716790503167,-1.088808394258294,1.0651893385058215,-0.6631905567281796
GJ Maxwell,0,144.0,106.0,13.0,8.0,134.57943925233644,14.0,9.0,0.0,82.0,2.0,8.2,18.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.333333333333332,0.7967522710037035,0.7066861201580251,0.28982354839779556,0.3820479529443377,-1.3770804542961879,0.584025466498271
DA Miller,0,303.0,236.0,20.0,16.0,127.84810126582278,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3182871012222734,0.5558920143925683,1.169762695114574,-1.088808394258294,1.0644823089509352,-0.6631905567281796
GJ Bailey,0,259.0,190.0,22.0,7.0,135.6020942408377,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3175723260297202,0.6854156007948544,0.9404818487561614,-1.088808394258294,1.0637686855475799,-0.6631905567281796
WP Saha,0,230.0,189.0,12.0,10.0,121.05263157894737,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0711600434276111,0.3986465485254181,0.6933509046034222,-1.088808394258294,1.065182269189517,-0.6631905567281796
AR Patel,0,194.0,167.0,12.0,8.0,115.47619047619047,19.0,42.0,0.0,362.0,11.0,8.418604651162791,83.0,22.0,20.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,30.166666666666668,-0.036020154343493156,0.291776130636648,0.4753798407839547,0.548328116033494,-0.19633570593540245,-0.0835612012237014
MG Johnson,0,18.0,29.0,0.0,1.0,60.0,13.0,31.5,1.0,303.0,8.0,9.323076923076924,83.0,33.0,14.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,21.0,33.666666666666664,-0.9604695440949056,-0.7298231309595644,-0.7371095758420272,0.6693432965544696,-0.46408543446019546,0.10077640007384558
UBT Chand,0,102.0,83.0,13.0,2.0,121.42857142857142,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6059585885394323,0.46113081079553925,-0.001498517271076174,-1.088808394258294,1.065141515447162,-0.6631905567281796
