url,match_id,team_1,team_2,win_runs,win_wickets,winner,match_drawn,match_abandoned,no_result,toss_winner,winner_choice,series,pom,match_number,city,date,day_night
https://www.espncricinfo.com/series/8048/scorecard/548381/kolkata-knight-riders-vs-chennai-super-kings-final-indian-premier-league-2012,548381,Chennai Super Kings,Kolkata Knight Riders,NA,5,Kolkata Knight Riders,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2012,Manvinder  Bisla,Final,Chennai,May 27 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548350/royal-challengers-bangalore-vs-kings-xi-punjab-44th-match-indian-premier-league-2012,548350,Royal Challengers Bangalore,Kings XI Punjab,NA,4,Kings XI Punjab,NA,NA,NA,Kings XI Punjab,Field,Indian Premier League 2012,Azhar Mahmood,44,Bengaluru,May 2 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548352/chennai-super-kings-vs-deccan-chargers-46th-match-indian-premier-league-2012,548352,Chennai Super Kings,Deccan Chargers,10,NA,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2012,Suresh Raina,46,Chennai,May 4 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548349/rajasthan-royals-vs-delhi-daredevils-43rd-match-indian-premier-league-2012,548349,Rajasthan Royals,Delhi Daredevils,NA,6,Delhi Daredevils,NA,NA,NA,Rajasthan Royals,Bat,Indian Premier League 2012,Pawan Negi,43,Jaipur,May 1 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548355/mumbai-indians-vs-chennai-super-kings-49th-match-indian-premier-league-2012,548355,Chennai Super Kings,Mumbai Indians,NA,2,Mumbai Indians,NA,NA,NA,Mumbai Indians,Field,Indian Premier League 2012,Dwayne Smith,49,Mumbai,May 6 2012,D/N
https://www.espncricinfo.com/series/8048/scorecard/548354/kings-xi-punjab-vs-rajasthan-royals-48th-match-indian-premier-league-2012,548354,Rajasthan Royals,Kings XI Punjab,43,NA,Rajasthan Royals,NA,NA,NA,Rajasthan Royals,Bat,Indian Premier League 2012,Shane Watson,48,Mohali,May 5 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548348/deccan-chargers-vs-pune-warriors-42nd-match-indian-premier-league-2012,548348,Deccan Chargers,Pune Warriors,13,NA,Deccan Chargers,NA,NA,NA,Deccan Chargers,Bat,Indian Premier League 2012,Kumar Sangakkara,42,Cuttack,May 1 2012,D/N
https://www.espncricinfo.com/series/8048/scorecard/548351/pune-warriors-vs-mumbai-indians-45th-match-indian-premier-league-2012,548351,Mumbai Indians,Pune Warriors,1,NA,Mumbai Indians,NA,NA,NA,Mumbai Indians,Bat,Indian Premier League 2012,Lasith Malinga,45,Pune,May 3 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548357/delhi-daredevils-vs-kolkata-knight-riders-51st-match-indian-premier-league-2012,548357,Delhi Daredevils,Kolkata Knight Riders,NA,6,Kolkata Knight Riders,NA,NA,NA,Delhi Daredevils,Bat,Indian Premier League 2012,Jacques Kallis,51,Delhi,May 7 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548353/kolkata-knight-riders-vs-pune-warriors-47th-match-indian-premier-league-2012,548353,Kolkata Knight Riders,Pune Warriors,7,NA,Kolkata Knight Riders,NA,NA,NA,Kolkata Knight Riders,Bat,Indian Premier League 2012,Sunil Narine,47,Kolkata,May 5 2012,D/N
https://www.espncricinfo.com/series/8048/scorecard/548358/pune-warriors-vs-rajasthan-royals-52nd-match-indian-premier-league-2012,548358,Pune Warriors,Rajasthan Royals,NA,7,Rajasthan Royals,NA,NA,NA,Pune Warriors,Bat,Indian Premier League 2012,Shane Watson,52,Pune,May 8 2012,D/N
https://www.espncricinfo.com/series/8048/scorecard/548356/royal-challengers-bangalore-vs-deccan-chargers-50th-match-indian-premier-league-2012,548356,Deccan Chargers,Royal Challengers Bangalore,NA,5,Royal Challengers Bangalore,NA,NA,NA,Royal Challengers Bangalore,Field,Indian Premier League 2012,AB de Villiers,50,Bengaluru,May 6 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548359/deccan-chargers-vs-kings-xi-punjab-53rd-match-indian-premier-league-2012,548359,Kings XI Punjab,Deccan Chargers,25,NA,Kings XI Punjab,NA,NA,NA,Deccan Chargers,Field,Indian Premier League 2012,Mandeep Singh,53,Hyderabad (Deccan),May 8 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548360/mumbai-indians-vs-royal-challengers-bangalore-54th-match-indian-premier-league-2012,548360,Mumbai Indians,Royal Challengers Bangalore,NA,9,Royal Challengers Bangalore,NA,NA,NA,Royal Challengers Bangalore,Field,Indian Premier League 2012,Chris Gayle,54,Mumbai,May 9 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548329/deccan-chargers-vs-delhi-daredevils-55th-match-indian-premier-league-2012,548329,Deccan Chargers,Delhi Daredevils,NA,9,Delhi Daredevils,NA,NA,NA,Deccan Chargers,Bat,Indian Premier League 2012,David Warner,55,Hyderabad (Deccan),May 10 2012,D/N
https://www.espncricinfo.com/series/8048/scorecard/548361/rajasthan-royals-vs-chennai-super-kings-56th-match-indian-premier-league-2012,548361,Rajasthan Royals,Chennai Super Kings,NA,4,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Field,Indian Premier League 2012,Ben Hilfenhaus,56,Jaipur,May 10 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548309/rajasthan-royals-vs-kings-xi-punjab-4th-match-indian-premier-league-2012,548309,Rajasthan Royals,Kings XI Punjab,31,NA,Rajasthan Royals,NA,NA,NA,Kings XI Punjab,Field,Indian Premier League 2012,Ajinkya Rahane,4,Jaipur,Apr 6 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548306/chennai-super-kings-vs-mumbai-indians-1st-match-indian-premier-league-2012,548306,Chennai Super Kings,Mumbai Indians,NA,8,Mumbai Indians,NA,NA,NA,Mumbai Indians,Field,Indian Premier League 2012,Richard Levi,1,Chennai,Apr 4 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548308/mumbai-indians-vs-pune-warriors-3rd-match-indian-premier-league-2012,548308,Pune Warriors,Mumbai Indians,28,NA,Pune Warriors,NA,NA,NA,Mumbai Indians,Field,Indian Premier League 2012,Steven Smith,3,Mumbai,Apr 6 2012,D/N
https://www.espncricinfo.com/series/8048/scorecard/548310/royal-challengers-bangalore-vs-delhi-daredevils-5th-match-indian-premier-league-2012,548310,Royal Challengers Bangalore,Delhi Daredevils,20,NA,Royal Challengers Bangalore,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2012,AB de Villiers,5,Bengaluru,Apr 7 2012,D/N
https://www.espncricinfo.com/series/8048/scorecard/548311/deccan-chargers-vs-chennai-super-kings-6th-match-indian-premier-league-2012,548311,Chennai Super Kings,Deccan Chargers,74,NA,Chennai Super Kings,NA,NA,NA,Deccan Chargers,Field,Indian Premier League 2012,Ravindra Jadeja,6,Visakhapatnam,Apr 7 2012,N
https://www.espncricinfo.com/series/8048/scorecard/548316/delhi-daredevils-vs-chennai-super-kings-11th-match-indian-premier-league-2012,548316,Chennai Super Kings,Delhi Daredevils,NA,8,Delhi Daredevils,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2012,Morne Morkel,11,Delhi,Apr 10 2012,N
