,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
0,Q de Kock,c †Dhoni b Thakur,29,17,0,4,170.58,1,,,,,,,,,,
1,RG Sharma,c †Dhoni b Chahar,15,14,1,1,107.14,1,,,,,,,,,,
2,SA Yadav,b Imran Tahir,15,17,1,0,88.23,1,,,,,,,,,,
3,Ishan Kishan,c Raina b Imran Tahir,23,26,3,0,88.46,1,,,,,,,,,,
4,KH Pandya,c & b Thakur,7,7,0,0,100,1,3,0,39,1,13,8,3,4,0,0
5,KA Pollard,not out,41,25,3,3,164,1,,,,,,,,,,
6,HH Pandya,lbw b Chahar,16,10,1,1,160,1,1,0,3,0,3,4,0,0,1,0
7,RD Chahar,c du Plessis b Chahar,0,2,0,0,0,1,4,0,14,1,3.5,13,1,0,0,0
8,MJ McClenaghan,run out (du Plessis/Bravo),0,2,0,0,0,1,4,0,24,0,6,12,2,0,2,0
9,JJ Bumrah,not out,0,0,0,0,0,1,4,0,14,2,3.5,13,0,0,0,0
10,F du Plessis,st †de Kock b KH Pandya,26,13,3,1,200,2,,,,,,,,,,
11,SR Watson,run out (KH Pandya/†de Kock),80,59,8,4,135.59,2,,,,,,,,,,
12,SK Raina,lbw b Chahar,8,14,0,0,57.14,2,,,,,,,,,,
13,AT Rayudu,c †de Kock b Bumrah,1,4,0,0,25,2,,,,,,,,,,
14,MS Dhoni,run out (Ishan Kishan),2,8,0,0,25,2,,,,,,,,,,
15,DJ Bravo,c †de Kock b Bumrah,15,15,0,1,100,2,3,0,24,0,8,7,4,0,1,0
16,RA Jadeja,not out,5,5,0,0,100,2,2,0,12,0,6,3,1,0,0,0
17,SN Thakur,lbw b Malinga,2,2,0,0,100,2,4,0,37,2,9.25,10,0,4,0,0
18,SL Malinga,DNB,0,0,0,0,0,1,4,0,49,1,12.25,7,5,2,1,0
19,DL Chahar,DNB,0,0,0,0,0,2,4,1,26,3,6.5,17,1,3,1,0
20,Harbhajan Singh,DNB,0,0,0,0,0,2,4,0,27,0,6.75,7,3,0,1,0
21,Imran Tahir,DNB,0,0,0,0,0,2,3,0,23,2,7.66,7,0,2,0,0
0,PA Patel,c Rana b Narine,11,11,2,0,100,1,,,,,,,,,,
1,V Kohli,c Shubman Gill b Gurney,100,58,9,4,172.41,1,,,,,,,,,,
2,AD Nath,c Uthappa b Russell,13,15,0,1,86.66,1,,,,,,,,,,
3,MM Ali,c Prasidh Krishna b Kuldeep Yadav,66,28,5,6,235.71,1,1,0,13,0,13,3,0,2,0,0
4,MP Stoinis,not out,17,8,2,1,212.5,1,4,0,32,1,8,13,1,3,1,0
5,CA Lynn,c Kohli b Steyn,1,2,0,0,50,2,,,,,,,,,,
6,SP Narine,c †Patel b Saini,18,16,4,0,112.5,2,4,0,32,1,8,6,2,1,1,0
7,Shubman Gill,c Kohli b Steyn,9,11,1,0,81.81,2,,,,,,,,,,
8,RV Uthappa,c Negi b Stoinis,9,20,1,0,45,2,,,,,,,,,,
9,N Rana,not out,85,46,9,5,184.78,2,,,,,,,,,,
10,AD Russell,run out (Kohli/Ali),65,25,2,9,260,2,3,0,17,1,5.66,8,0,1,0,0
11,KD Karthik,not out,0,0,0,0,0,2,,,,,,,,,,
12,H Klaasen,DNB,0,0,0,0,0,1,,,,,,,,,,
13,P Negi,DNB,0,0,0,0,0,1,,,,,,,,,,
14,DW Steyn,DNB,0,0,0,0,0,1,4,0,40,2,10,12,5,2,0,0
15,Mohammed Siraj,DNB,0,0,0,0,0,1,4,0,38,0,9.5,13,5,1,3,0
16,YS Chahal,DNB,0,0,0,0,0,1,3,0,45,0,15,6,3,4,4,0
17,NA Saini,DNB,0,0,0,0,0,1,4,0,31,1,7.75,12,3,2,0,0
18,PP Chawla,DNB,0,0,0,0,0,2,1,0,10,0,10,1,0,1,0,0
19,Kuldeep Yadav,DNB,0,0,0,0,0,2,4,0,59,1,14.75,6,5,5,1,0
20,HF Gurney,DNB,0,0,0,0,0,2,4,0,42,1,10.5,8,4,2,3,0
21,M Prasidh Krishna,DNB,0,0,0,0,0,2,4,0,52,0,13,5,7,2,0,0
0,SR Watson,b Nadeem,31,29,4,0,106.89,1,,,,,,,,,,
1,F du Plessis,c †Bairstow b Shankar,45,31,3,3,145.16,1,,,,,,,,,,
2,SK Raina,lbw b Rashid Khan,13,13,2,0,100,1,,,,,,,,,,
3,AT Rayudu,not out,25,21,2,0,119.04,1,,,,,,,,,,
4,KM Jadhav,lbw b Rashid Khan,1,2,0,0,50,1,,,,,,,,,,
5,SW Billings,c Shankar b Ahmed,0,4,0,0,0,1,,,,,,,,,,
6,RA Jadeja,not out,10,20,0,0,50,1,4,0,22,0,5.5,8,1,0,0,0
7,DA Warner,c du Plessis b Chahar,50,25,10,0,200,2,,,,,,,,,,
8,JM Bairstow,not out,61,44,3,3,138.63,2,,,,,,,,,,
9,KS Williamson,c & b Imran Tahir,3,5,0,0,60,2,,,,,,,,,,
10,V Shankar,c †Billings b Imran Tahir,7,11,0,0,63.63,2,2,0,11,1,5.5,5,1,0,0,0
11,DJ Hooda,c du Plessis b Sharma,13,16,1,0,81.25,2,,,,,,,,,,
12,YK Pathan,not out,0,0,0,0,0,2,,,,,,,,,,
