,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
0,MEK Hussey,b Kallis,54,43,4,2,125.58,1,,,,,,,,,,
1,M Vijay,c Shakib Al Hasan b Bhatia,42,32,4,1,131.25,1,,,,,,,,,,
2,SK Raina,c Lee b Shakib Al Hasan,73,38,3,5,192.1,1,,,,,,,,,,
3,MS Dhoni,not out,14,9,2,0,155.55,1,,,,,,,,,,
4,MS Bisla,c Badrinath b Morkel,89,48,8,5,185.41,2,,,,,,,,,,
5,G Gambhir,b Hilfenhaus,2,4,0,0,50,2,,,,,,,,,,
6,JH Kallis,c Jadeja b Hilfenhaus,69,49,7,1,140.81,2,4,0,34,1,8.5,7,3,1,1,1
7,LR Shukla,c Hussey b Bravo,3,6,0,0,50,2,,,,,,,,,,
8,YK Pathan,c Badrinath b Ashwin,1,2,0,0,50,2,1,0,17,0,17,0,2,1,0,0
9,Shakib Al Hasan,not out,11,7,1,0,157.14,2,3,0,25,1,8.33,5,1,1,1,0
10,MK Tiwary,not out,9,3,2,0,300,2,,,,,,,,,,
11,DJ Bravo,DNB,0,0,0,0,0,1,3.4,0,49,1,13.36,3,4,3,2,0
12,RA Jadeja,DNB,0,0,0,0,0,1,,,,,,,,,,
13,JA Morkel,DNB,0,0,0,0,0,1,4,0,38,1,9.5,5,5,0,2,0
14,R Ashwin,DNB,0,0,0,0,0,1,4,0,41,1,10.25,6,1,3,0,0
15,BW Hilfenhaus,DNB,0,0,0,0,0,1,4,0,25,2,6.25,11,2,0,1,1
16,SB Jakati,DNB,0,0,0,0,0,1,4,0,38,0,9.5,5,6,0,0,0
17,S Badrinath,DNB,0,0,0,0,0,1,,,,,,,,,,
18,R Bhatia,DNB,0,0,0,0,0,2,3,0,23,1,7.66,5,2,0,0,0
19,Iqbal Abdulla,DNB,0,0,0,0,0,2,1,0,9,0,9,2,1,0,0,0
20,SP Narine,DNB,0,0,0,0,0,2,4,0,37,0,9.25,5,1,2,0,0
21,B Lee,DNB,0,0,0,0,0,2,4,0,42,0,10.5,9,3,3,0,1
0,MA Agarwal,b Harris,7,9,0,1,77.77,1,,,,,,,,,,
1,CH Gayle,c sub (DA Miller) b Azhar Mahmood,71,42,6,4,169.04,1,,,,,,,,,,
2,V Kohli,b Chawla,45,42,3,2,107.14,1,,,,,,,,,,
3,AB de Villiers,c Chawla b Azhar Mahmood,17,13,1,1,130.76,1,,,,,,,,,,
4,AB McDonald,c †Saini b Azhar Mahmood,9,10,1,0,90,1,4,0,25,2,6.25,9,3,0,0,0
